error_model,jitter_std,jitter_iteration,acquisition,mean_absolute_loss,mean_fragility
misclick,0.01,0,random,0.44184471090858546,0.0
misclick,0.01,0,sobol,0.4349266360614753,0.00043014645247813646
misclick,0.01,20,random,0.3840194425054645,-0.00011132724331025335
misclick,0.01,20,sobol,0.38101510335576516,0.001225178743138195
misclick,0.05,0,random,0.44005525415106944,-0.0017894567575160354
misclick,0.05,0,sobol,0.4377778639154283,0.003281374306431036
misclick,0.05,20,random,0.38466883346034547,0.0005380637115707215
misclick,0.05,20,sobol,0.37931376912466297,-0.000476155487964035
misclick,0.15,0,random,0.4424953030687007,0.0006505921601152474
misclick,0.15,0,sobol,0.4346972880180955,0.00020079840909832076
misclick,0.15,20,random,0.3791817448574367,-0.004949024891338045
misclick,0.15,20,sobol,0.37805075293104257,-0.0017391716815843658
misclick,0.4,0,random,0.4556326786785795,0.01378796776999407
misclick,0.4,0,sobol,0.4403217602595699,0.005825270650572768
misclick,0.4,20,random,0.38744273136379265,0.0033119616150179333
misclick,0.4,20,sobol,0.373149477137534,-0.0066404474750929475
