acquisition,dataset,max_abs_excess_auc,max_abs_excess_final,runs
random,ackley,55.41079298229852,2.372058544736237,40
random,branin,5.174185703670783,0.1042686510068183,40
random,eggholder,53.81684811314322,0.8086645055438526,40
random,griewank,10.39709748123508,0.2684082754396264,40
random,hartmann_3,36.05223132742662,0.8084722558014394,40
random,hartmann_6,170.88885469617188,2.706168803755584,40
random,hicks_law,31.0435992207878,1.4401315892435171,40
random,levy_10,36.74360663530871,0.4284057657755893,40
random,michalewicz,75.74983393847486,2.230692079238084,40
random,moving_peaks,14.522906543047467,0.5596813592814371,40
random,powell,3.005218136241766,0.0097277866711879,40
random,power_law_practice,15.759972199642512,0.2657798425584439,40
random,rastrigin,18.650337879593124,1.3221161527440275,40
random,rosenbrock,3.347357019453444,0.0469459570446725,40
random,schwefel,69.60205305015693,0.7635180334757194,40
random,shekel,353.0557300072719,7.654894228968672,40
random,steering_law,7.155219637616055,0.2277570319649603,40
random,stevens,21.990875203659627,0.81684887550174,40
random,weber_fechner,13.709725737414097,0.4128691198838639,40
random,yerkes_dodson,35.18613588851093,0.5033467745093985,40
sobol,ackley,49.80905678157035,1.5941305970205022,40
sobol,branin,5.1638100663075575,0.0620080624769803,40
sobol,eggholder,45.19841970446004,0.7352164368479037,40
sobol,griewank,10.204126091738786,0.5625143895483755,40
sobol,hartmann_3,21.30330452355262,0.6872641368908785,40
sobol,hartmann_6,64.256953068363,2.5198805124848214,40
sobol,hicks_law,25.193710103006737,1.4396405773146703,40
sobol,levy_10,38.91372418698072,0.8167448326987121,40
sobol,michalewicz,48.9110755127582,2.0554216389705866,40
sobol,moving_peaks,14.87104218252783,0.5451305252315954,40
sobol,powell,2.1154705486258325,0.0156041986377135,40
sobol,power_law_practice,7.427496474802908,0.1335946078522174,40
sobol,rastrigin,23.42017381809885,0.6188499554068823,40
sobol,rosenbrock,9.18474765578426,0.027408932529877,40
sobol,schwefel,18.237620253054654,0.8826803295797494,40
sobol,shekel,90.965309010091,4.7321211052302345,40
sobol,steering_law,4.715841687109524,0.1400839270218824,40
sobol,stevens,32.738734061723974,0.3415772300273059,40
sobol,weber_fechner,18.037951353591968,0.1711302965044075,40
sobol,yerkes_dodson,26.499395830287284,0.442868381428473,40
