error_model,jitter_std,jitter_iteration,dataset,acquisition,fragility,absolute_loss,inference_excess,acq_failures,seeds
misclick,0.01,0,ackley,ei,0.010845158323436088,0.5315107702214743,0.41814646537513667,0,5
misclick,0.01,0,ackley,logei,-0.010905277017579857,0.5095505005989758,-0.09324594260291512,0,5
misclick,0.01,0,ackley,pi,-0.004485531439541366,0.7165076741768003,-0.4562353411174108,0,5
misclick,0.01,0,ackley,qnei,0.03111845670057613,0.6070052918424379,0.7303167669397365,0,5
misclick,0.01,0,ackley,qucb,0.029658935560048894,0.5261681503859601,0.4788754026064218,0,5
misclick,0.01,0,ackley,random,0.0,0.8535469774712915,0.0,0,5
misclick,0.01,0,ackley,sobol,0.0,0.8989130937957114,0.0,0,5
misclick,0.01,0,ackley,ucb,0.009559130902461518,0.4964438516372419,0.1012520011177969,0,5
misclick,0.01,0,branin,ei,0.006284242582074539,0.06257490963776505,0.01479542705804556,0,5
misclick,0.01,0,branin,logei,0.0,0.05692357482011099,0.0,0,5
misclick,0.01,0,branin,pi,0.0,0.06023395256720263,0.0,0,5
misclick,0.01,0,branin,qnei,4.76591314582613e-05,0.054884424934482,1.7036333239284217e-05,0,5
misclick,0.01,0,branin,qucb,0.005392406553891386,0.06516777851380814,0.00250145898076882,0,5
misclick,0.01,0,branin,random,0.0,0.07178802005502306,0.0,0,5
misclick,0.01,0,branin,sobol,0.0,0.08539625416996204,0.0,0,5
misclick,0.01,0,branin,ucb,0.0016223593355128324,0.06137270862763081,0.0033588413625220926,0,5
misclick,0.01,0,eggholder,ei,-1.4254229008048118e-05,0.2958769978964971,-8.140317076598e-05,0,5
misclick,0.01,0,eggholder,logei,7.96762315251905e-05,0.25027833982634146,0.00047218609582174,0,5
misclick,0.01,0,eggholder,pi,9.822552504389114e-05,0.2942066230662566,0.00068560207661318,0,5
misclick,0.01,0,eggholder,qnei,0.00022716070821742499,0.3457865470255883,0.02926364757367706,0,5
misclick,0.01,0,eggholder,qucb,0.009555783279763974,0.3121662278181446,0.1083642340637331,0,5
misclick,0.01,0,eggholder,random,0.0,0.4133927113222464,0.0,0,5
misclick,0.01,0,eggholder,sobol,0.0,0.3524637153450956,0.0,0,5
misclick,0.01,0,eggholder,ucb,-0.011026988822988335,0.31911809216429265,-0.1214372145799393,0,5
misclick,0.01,0,griewank,ei,0.0005281923229120682,0.17581890816766937,0.0014591284628143399,0,5
misclick,0.01,0,griewank,logei,0.0005891018615663431,0.1582152227464242,0.00299147237372572,0,5
misclick,0.01,0,griewank,pi,0.00019836023064285463,0.21899543237496194,0.0011896230339028002,0,5
misclick,0.01,0,griewank,qnei,0.0005848633630003509,0.1852747901353734,-0.0054824480827709,0,5
misclick,0.01,0,griewank,qucb,-0.013577753558243316,0.19915087695094508,0.00937995961394256,0,5
misclick,0.01,0,griewank,random,0.0,0.3852582294365331,0.0,0,5
misclick,0.01,0,griewank,sobol,0.0,0.4531712117048909,0.0,0,5
misclick,0.01,0,griewank,ucb,0.006985110439625561,0.20845999679514327,0.032503704512434936,0,5
misclick,0.01,0,hartmann_3,ei,0.0008640378572401205,0.13770445072281506,0.00533695888560208,0,5
misclick,0.01,0,hartmann_3,logei,0.0011265153113468418,0.1380243410473493,0.00621418336861,0,5
misclick,0.01,0,hartmann_3,pi,1.6222806847127642e-06,0.1489185663660933,5.97106720134e-05,0,5
misclick,0.01,0,hartmann_3,qnei,4.937828040740132e-05,0.14188012692296065,0.0024686702816286003,0,5
misclick,0.01,0,hartmann_3,qucb,0.03854838195998271,0.1957586107311609,-0.0007453713062229,0,5
misclick,0.01,0,hartmann_3,random,0.0,0.3643312733705107,0.0,0,5
misclick,0.01,0,hartmann_3,sobol,0.0,0.28424250081558555,0.0,0,5
misclick,0.01,0,hartmann_3,ucb,0.010590402489284815,0.1537983140504813,0.04529137756431806,0,5
misclick,0.01,0,hartmann_6,ei,0.0018560898621715633,0.21611937146807972,0.013506068551968661,0,5
misclick,0.01,0,hartmann_6,logei,0.0001411703797808092,0.2339764066989251,-0.00650736499611302,0,5
misclick,0.01,0,hartmann_6,pi,0.01623677305510359,0.3629603723693192,0.5745277844550924,0,5
misclick,0.01,0,hartmann_6,qnei,0.003973736970469257,0.2157173077921247,-0.00296633451164376,0,5
misclick,0.01,0,hartmann_6,qucb,0.02558946096301723,0.31735796530389615,0.01555487622223666,0,5
misclick,0.01,0,hartmann_6,random,0.0,0.6872714513218645,0.0,0,5
misclick,0.01,0,hartmann_6,sobol,0.0,0.6276568758832031,0.0,0,5
misclick,0.01,0,hartmann_6,ucb,-0.0028826461391472913,0.31177344554395475,0.01013372942539552,0,5
misclick,0.01,0,hicks_law,ei,0.0,0.10226349156858075,0.0,0,5
misclick,0.01,0,hicks_law,logei,0.0,0.10236977958540514,0.0,0,5
misclick,0.01,0,hicks_law,pi,0.0,0.15154415228296145,0.0,0,5
misclick,0.01,0,hicks_law,qnei,0.0,0.10249909124233399,0.0,0,5
misclick,0.01,0,hicks_law,qucb,-0.003095815320804433,0.09606340013601425,0.0,0,5
misclick,0.01,0,hicks_law,random,0.0,0.6374693945496765,0.0,0,5
misclick,0.01,0,hicks_law,sobol,0.00860292904956273,0.671892023727065,0.11109908623571219,0,5
misclick,0.01,0,hicks_law,ucb,0.0,0.09916906483424252,0.0,0,5
misclick,0.01,0,levy_10,ei,0.011819136581854007,0.2531789618767597,0.06492675249050148,0,5
misclick,0.01,0,levy_10,logei,-0.005930545200415192,0.3128662280012062,-0.00893150076706154,0,5
misclick,0.01,0,levy_10,pi,0.003678370913594922,0.25832160221188555,0.033090455279090755,0,5
misclick,0.01,0,levy_10,qnei,-0.0072412006914923275,0.25430454511584577,0.01000328941240794,0,5
misclick,0.01,0,levy_10,qucb,-0.051656400194910336,0.3122575074906725,-0.2846676453049144,0,5
misclick,0.01,0,levy_10,random,0.0,0.35629472105826576,0.0,0,5
misclick,0.01,0,levy_10,sobol,0.0,0.36067398747878465,0.0,0,5
misclick,0.01,0,levy_10,ucb,0.005173828682249764,0.31197419026199796,0.044864849657821615,0,5
misclick,0.01,0,michalewicz,ei,0.005707689311402343,0.6427005606802407,0.1570321588704461,0,5
misclick,0.01,0,michalewicz,logei,0.015909759938880032,0.6092001032565006,0.35834150450314173,0,5
misclick,0.01,0,michalewicz,pi,0.010222153502528553,0.6172053680146906,0.38221510180221513,0,5
