error_model,jitter_std,jitter_iteration,acquisition,mean_rank_fragility,mean_fragility,median_fragility,mean_absolute_loss,n_benchmarks
misclick,0.01,0,logei,3.0,0.0015514856332871454,0.0,0.2512151619091542,20
misclick,0.01,0,pi,3.225,0.002600423835426798,0.00014829287784337287,0.27284926522534886,20
misclick,0.01,0,qnei,3.225,0.0029630443997166927,4.8518705932831314e-05,0.2539098595597885,20
misclick,0.01,0,ei,3.25,0.0022854749670469642,0.0006961150900760943,0.2517469260487448,20
misclick,0.01,0,ucb,4.0,0.004580718831759972,0.0018705177056371567,0.28239982645535927,20
misclick,0.01,0,qucb,4.3,0.008563143403730858,0.009432401814845165,0.29133912438058795,20
misclick,0.01,20,qnei,2.775,-0.00017206272026803533,0.0,0.1436023051975594,20
misclick,0.01,20,ei,2.9,0.0,0.0,0.1401806839576179,20
misclick,0.01,20,logei,3.15,0.00021816774413203386,0.0,0.1414840293943554,20
misclick,0.01,20,ucb,3.675,0.0009894297388847416,0.0,0.170177984143849,20
misclick,0.01,20,pi,4.0,0.0019720285391578345,0.0,0.16345713149755245,20
misclick,0.01,20,qucb,4.5,0.0024531938249348025,8.90948487464924e-05,0.1772404330321346,20
misclick,0.05,0,qnei,2.65,0.016034180652631208,0.005686356493509819,0.266980995812703,20
misclick,0.05,0,qucb,3.1,0.01539716185876305,0.014806590772104774,0.29817314283562013,20
misclick,0.05,0,ucb,3.6,0.028909392468446742,0.02028437266377052,0.30672850009204605,20
misclick,0.05,0,logei,3.6,0.028680832787396103,0.018642973541084913,0.27834450906326313,20
misclick,0.05,0,ei,3.75,0.026278914126338183,0.01183812798058001,0.275740365208036,20
misclick,0.05,0,pi,4.3,0.05442293134249972,0.05119137395787866,0.32467177273242187,20
misclick,0.05,20,logei,3.15,0.0007301235855543188,2.9280077114359178e-06,0.14199598523577767,20
misclick,0.05,20,pi,3.2,0.005935924880709211,0.00044097409518917643,0.1674210278391038,20
misclick,0.05,20,qucb,3.275,0.0027956017837095547,1.24174009959366e-05,0.17758284099090937,20
misclick,0.05,20,qnei,3.375,0.0037483611396860175,4.794463676684761e-05,0.14752272905751349,20
misclick,0.05,20,ucb,3.575,0.0025260546063650734,9.154205400645576e-05,0.17171460901132934,20
misclick,0.05,20,ei,4.425,0.01451915717695496,0.003540505403718775,0.15469984113457294,20
misclick,0.15,0,qucb,2.7,0.03667920383688304,0.02158714676624289,0.3194551848137401,20
misclick,0.15,0,ucb,2.95,0.04510275436225537,0.027797442231096866,0.3229218619858546,20
misclick,0.15,0,logei,3.15,0.058957974896129396,0.048426187146592845,0.30862165117199647,20
misclick,0.15,0,qnei,3.2,0.07320275446212056,0.05178207508270261,0.3241495696221922,20
misclick,0.15,0,ei,4.2,0.09796780126264532,0.09871701913247438,0.34742925234434324,20
misclick,0.15,0,pi,4.8,0.09825817579291032,0.10329532858523363,0.36850701718283246,20
misclick,0.15,20,ucb,3.025,0.007132597326571205,0.0004313428331071816,0.17632115173153548,20
misclick,0.15,20,qnei,3.125,0.01113691138849311,0.0033080711521985993,0.15491127930632054,20
misclick,0.15,20,qucb,3.525,0.015610305011529598,0.0020069144487181913,0.19039754421872937,20
misclick,0.15,20,ei,3.625,0.021996906204342623,0.00466187152614039,0.16217759016196057,20
misclick,0.15,20,pi,3.825,0.03320308646047243,0.024898533906872994,0.19468818941886706,20
misclick,0.15,20,logei,3.875,0.028416961389966765,0.004729100051717534,0.16968282304019014,20
misclick,0.4,0,ucb,2.3,0.09665618586917582,0.0684722459790105,0.37447529349277525,20
misclick,0.4,0,qucb,2.75,0.1077969597741131,0.08301448287868454,0.3905729407509701,20
misclick,0.4,0,qnei,3.8,0.14388836207314037,0.13515218711650495,0.39483517723321215,20
misclick,0.4,0,ei,3.95,0.14887762410827782,0.1614894185111055,0.3983390751899757,20
misclick,0.4,0,pi,4.0,0.1530921982863198,0.13874072738108584,0.42334103967624187,20
misclick,0.4,0,logei,4.2,0.16121656507982057,0.14902150467035233,0.4108802413556877,20
misclick,0.4,20,ei,2.825,0.029075016748515446,0.015233561649611696,0.16925570070613336,20
misclick,0.4,20,qucb,3.025,0.023783561138941655,0.002008687483720838,0.19857080034614147,20
misclick,0.4,20,logei,3.325,0.032273624039486616,0.002969381716130112,0.17353948568970995,20
misclick,0.4,20,qnei,3.35,0.038313001081080135,0.0025529452987902825,0.18208736899890757,20
misclick,0.4,20,ucb,3.875,0.04234920997467533,0.005151137696162846,0.21153776437963961,20
misclick,0.4,20,pi,4.6,0.04681913328589777,0.03753216884555731,0.2083042362442924,20
