error_model,jitter_iteration,n_runs,n_benchmarks,n_cells,n_nonpositive_cells,gain_prediction,beta_c,beta_z,beta_z_lo,beta_z_hi,gain_gap,gain_gap_lo,gain_gap_hi,verdict,loglog_beta_c,loglog_beta_z,loglog_beta_z_lo,loglog_beta_z_hi,loglog_gain_gap,loglog_gain_gap_lo,loglog_gain_gap_hi,loglog_verdict,bootstrap_reps_used
misclick,0,2400,20,80,6,0.1979935494056635,0.8020064505943365,0.9744001923177575,0.8606904456887775,1.9154075515753473,0.7764066429120939,0.660981544118047,1.725019943193002,neither,0.8265240515306043,1.5263987655931652,1.1351783580058905,2.324415933855602,1.3529228171237695,0.9524942793993733,2.125675943719596,neither,2000
misclick,20,2400,20,80,18,0.08140424267810598,0.918595757321894,1.3416188793953256,1.177758798168225,2.5790532807622486,1.2602146367172198,1.0969510317272773,2.464819776052167,neither,0.9868019530130742,2.2168496155283552,1.7064337217387586,3.5442326270779714,2.2036515685414293,1.6010762037576636,3.598054329071581,neither,2000
