dataset,acquisition,seed,error_model,jitter_std,jitter_iteration,variant,budget,k,tolerance,extra,censored,multiplier
ackley,ei,10,misclick,0.01,0,,50,10,0.0,0.0,False,1.0
ackley,ei,10,misclick,0.01,0,,50,10,0.01,0.0,False,1.0
ackley,ei,10,misclick,0.01,0,,50,25,0.0,0.0,False,1.0
ackley,ei,10,misclick,0.01,0,,50,25,0.01,0.0,False,1.0
ackley,ei,10,misclick,0.05,0,,50,10,0.0,0.0,False,1.0
ackley,ei,10,misclick,0.05,0,,50,10,0.01,0.0,False,1.0
ackley,ei,10,misclick,0.05,0,,50,25,0.0,11.0,False,1.44
ackley,ei,10,misclick,0.05,0,,50,25,0.01,11.0,False,1.44
ackley,ei,10,misclick,0.15,0,,50,10,0.0,-4.0,False,0.6
ackley,ei,10,misclick,0.15,0,,50,10,0.01,0.0,False,1.0
ackley,ei,10,misclick,0.15,0,,50,25,0.0,25.0,True,2.0
ackley,ei,10,misclick,0.15,0,,50,25,0.01,25.0,True,2.0
ackley,ei,10,misclick,0.4,0,,50,10,0.0,1.0,False,1.1
ackley,ei,10,misclick,0.4,0,,50,10,0.01,0.0,False,1.0
ackley,ei,10,misclick,0.4,0,,50,25,0.0,25.0,True,2.0
ackley,ei,10,misclick,0.4,0,,50,25,0.01,25.0,True,2.0
ackley,ei,10,misclick,0.01,20,,50,10,0.0,0.0,False,1.0
ackley,ei,10,misclick,0.01,20,,50,10,0.01,0.0,False,1.0
ackley,ei,10,misclick,0.01,20,,50,25,0.0,0.0,False,1.0
ackley,ei,10,misclick,0.01,20,,50,25,0.01,0.0,False,1.0
ackley,ei,10,misclick,0.05,20,,50,10,0.0,0.0,False,1.0
ackley,ei,10,misclick,0.05,20,,50,10,0.01,0.0,False,1.0
ackley,ei,10,misclick,0.05,20,,50,25,0.0,0.0,False,1.0
ackley,ei,10,misclick,0.05,20,,50,25,0.01,0.0,False,1.0
ackley,ei,10,misclick,0.15,20,,50,10,0.0,0.0,False,1.0
ackley,ei,10,misclick,0.15,20,,50,10,0.01,0.0,False,1.0
ackley,ei,10,misclick,0.15,20,,50,25,0.0,12.0,False,1.48
ackley,ei,10,misclick,0.15,20,,50,25,0.01,12.0,False,1.48
ackley,ei,10,misclick,0.4,20,,50,10,0.0,0.0,False,1.0
ackley,ei,10,misclick,0.4,20,,50,10,0.01,0.0,False,1.0
ackley,ei,10,misclick,0.4,20,,50,25,0.0,25.0,True,2.0
ackley,ei,10,misclick,0.4,20,,50,25,0.01,25.0,True,2.0
ackley,ei,11,misclick,0.01,0,,50,10,0.0,0.0,False,1.0
ackley,ei,11,misclick,0.01,0,,50,10,0.01,0.0,False,1.0
ackley,ei,11,misclick,0.01,0,,50,25,0.0,0.0,False,1.0
ackley,ei,11,misclick,0.01,0,,50,25,0.01,0.0,False,1.0
