dataset,acquisition,error_model,jitter_std,jitter_iteration,n_seeds
ackley,ei,misclick,0.01,0,5
ackley,ei,misclick,0.01,20,5
ackley,ei,misclick,0.05,0,5
ackley,ei,misclick,0.05,20,5
ackley,ei,misclick,0.15,0,5
ackley,ei,misclick,0.15,20,5
ackley,ei,misclick,0.4,0,5
ackley,ei,misclick,0.4,20,5
ackley,logei,misclick,0.01,0,5
ackley,logei,misclick,0.01,20,5
ackley,logei,misclick,0.05,0,5
ackley,logei,misclick,0.05,20,5
ackley,logei,misclick,0.15,0,5
ackley,logei,misclick,0.15,20,5
ackley,logei,misclick,0.4,0,5
ackley,logei,misclick,0.4,20,5
ackley,pi,misclick,0.01,0,5
ackley,pi,misclick,0.01,20,5
ackley,pi,misclick,0.05,0,5
ackley,pi,misclick,0.05,20,5
ackley,pi,misclick,0.15,0,5
ackley,pi,misclick,0.15,20,5
ackley,pi,misclick,0.4,0,5
ackley,pi,misclick,0.4,20,5
ackley,qnei,misclick,0.01,0,5
ackley,qnei,misclick,0.01,20,5
ackley,qnei,misclick,0.05,0,5
ackley,qnei,misclick,0.05,20,5
ackley,qnei,misclick,0.15,0,5
ackley,qnei,misclick,0.15,20,5
ackley,qnei,misclick,0.4,0,5
ackley,qnei,misclick,0.4,20,5
ackley,qucb,misclick,0.01,0,5
ackley,qucb,misclick,0.01,20,5
ackley,qucb,misclick,0.05,0,5
ackley,qucb,misclick,0.05,20,5
ackley,qucb,misclick,0.15,0,5
ackley,qucb,misclick,0.15,20,5
ackley,qucb,misclick,0.4,0,5
ackley,qucb,misclick,0.4,20,5
ackley,random,misclick,0.01,0,5
ackley,random,misclick,0.01,20,5
ackley,random,misclick,0.05,0,5
ackley,random,misclick,0.05,20,5
ackley,random,misclick,0.15,0,5
ackley,random,misclick,0.15,20,5
ackley,random,misclick,0.4,0,5
ackley,random,misclick,0.4,20,5
ackley,sobol,misclick,0.01,0,5
ackley,sobol,misclick,0.01,20,5
ackley,sobol,misclick,0.05,0,5
ackley,sobol,misclick,0.05,20,5
ackley,sobol,misclick,0.15,0,5
ackley,sobol,misclick,0.15,20,5
ackley,sobol,misclick,0.4,0,5
ackley,sobol,misclick,0.4,20,5
ackley,ucb,misclick,0.01,0,5
ackley,ucb,misclick,0.01,20,5
ackley,ucb,misclick,0.05,0,5
ackley,ucb,misclick,0.05,20,5
ackley,ucb,misclick,0.15,0,5
ackley,ucb,misclick,0.15,20,5
ackley,ucb,misclick,0.4,0,5
ackley,ucb,misclick,0.4,20,5
branin,ei,misclick,0.01,0,5
branin,ei,misclick,0.01,20,5
branin,ei,misclick,0.05,0,5
branin,ei,misclick,0.05,20,5
branin,ei,misclick,0.15,0,5
branin,ei,misclick,0.15,20,5
branin,ei,misclick,0.4,0,5
branin,ei,misclick,0.4,20,5
branin,logei,misclick,0.01,0,5
branin,logei,misclick,0.01,20,5
branin,logei,misclick,0.05,0,5
branin,logei,misclick,0.05,20,5
branin,logei,misclick,0.15,0,5
branin,logei,misclick,0.15,20,5
branin,logei,misclick,0.4,0,5
branin,logei,misclick,0.4,20,5
branin,pi,misclick,0.01,0,5
branin,pi,misclick,0.01,20,5
branin,pi,misclick,0.05,0,5
branin,pi,misclick,0.05,20,5
branin,pi,misclick,0.15,0,5
branin,pi,misclick,0.15,20,5
branin,pi,misclick,0.4,0,5
branin,pi,misclick,0.4,20,5
branin,qnei,misclick,0.01,0,5
branin,qnei,misclick,0.01,20,5
branin,qnei,misclick,0.05,0,5
branin,qnei,misclick,0.05,20,5
branin,qnei,misclick,0.15,0,5
branin,qnei,misclick,0.15,20,5
branin,qnei,misclick,0.4,0,5
branin,qnei,misclick,0.4,20,5
branin,qucb,misclick,0.01,0,5
branin,qucb,misclick,0.01,20,5
branin,qucb,misclick,0.05,0,5
branin,qucb,misclick,0.05,20,5
branin,qucb,misclick,0.15,0,5
branin,qucb,misclick,0.15,20,5
branin,qucb,misclick,0.4,0,5
branin,qucb,misclick,0.4,20,5
branin,random,misclick,0.01,0,5
branin,random,misclick,0.01,20,5
branin,random,misclick,0.05,0,5
branin,random,misclick,0.05,20,5
branin,random,misclick,0.15,0,5
branin,random,misclick,0.15,20,5
branin,random,misclick,0.4,0,5
branin,random,misclick,0.4,20,5
branin,sobol,misclick,0.01,0,5
branin,sobol,misclick,0.01,20,5
branin,sobol,misclick,0.05,0,5
branin,sobol,misclick,0.05,20,5
branin,sobol,misclick,0.15,0,5
branin,sobol,misclick,0.15,20,5
branin,sobol,misclick,0.4,0,5
branin,sobol,misclick,0.4,20,5
branin,ucb,misclick,0.01,0,5
branin,ucb,misclick,0.01,20,5
branin,ucb,misclick,0.05,0,5
branin,ucb,misclick,0.05,20,5
branin,ucb,misclick,0.15,0,5
branin,ucb,misclick,0.15,20,5
branin,ucb,misclick,0.4,0,5
