dataset,acquisition,seed,error_model,jitter_std,jitter_iteration,variant,budget,k,tolerance,extra,censored,multiplier
ackley,logei,10,gaussian,0.25,0,mind0.05,50,10,0.01,-3.0,False,0.7
ackley,logei,10,gaussian,0.25,0,mind0.05,50,25,0.01,4.0,False,1.16
ackley,logei,10,gaussian,1.0,0,mind0.05,50,10,0.01,3.0,False,1.3
ackley,logei,10,gaussian,1.0,0,mind0.05,50,25,0.01,15.0,False,1.6
ackley,logei,10,gaussian,5.0,0,mind0.05,50,10,0.01,29.0,False,3.9
ackley,logei,10,gaussian,5.0,0,mind0.05,50,25,0.01,30.0,True,2.2
ackley,logei,10,gaussian,0.25,20,mind0.05,50,10,0.01,0.0,False,1.0
ackley,logei,10,gaussian,0.25,20,mind0.05,50,25,0.01,-3.0,False,0.88
ackley,logei,10,gaussian,1.0,20,mind0.05,50,10,0.01,0.0,False,1.0
ackley,logei,10,gaussian,1.0,20,mind0.05,50,25,0.01,-3.0,False,0.88
ackley,logei,10,gaussian,5.0,20,mind0.05,50,10,0.01,0.0,False,1.0
ackley,logei,10,gaussian,5.0,20,mind0.05,50,25,0.01,-3.0,False,0.88
ackley,logei,11,gaussian,0.25,0,mind0.05,50,10,0.01,6.0,False,1.6
ackley,logei,11,gaussian,0.25,0,mind0.05,50,25,0.01,-7.0,False,0.72
ackley,logei,11,gaussian,1.0,0,mind0.05,50,10,0.01,4.0,False,1.4
ackley,logei,11,gaussian,1.0,0,mind0.05,50,25,0.01,-9.0,False,0.64
ackley,logei,11,gaussian,5.0,0,mind0.05,50,10,0.01,25.0,False,3.5
ackley,logei,11,gaussian,5.0,0,mind0.05,50,25,0.01,12.0,False,1.48
ackley,logei,11,gaussian,0.25,20,mind0.05,50,10,0.01,18.0,False,2.8
ackley,logei,11,gaussian,0.25,20,mind0.05,50,25,0.01,7.0,False,1.28
ackley,logei,11,gaussian,1.0,20,mind0.05,50,10,0.01,17.0,False,2.7
ackley,logei,11,gaussian,1.0,20,mind0.05,50,25,0.01,13.0,False,1.52
ackley,logei,11,gaussian,5.0,20,mind0.05,50,10,0.01,31.0,False,4.1
ackley,logei,11,gaussian,5.0,20,mind0.05,50,25,0.01,18.0,False,1.72
ackley,logei,7,gaussian,0.25,0,mind0.05,50,10,0.01,-2.0,False,0.8
