dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_x0,delta_excess_x1,delta_excess_x2,delta_excess_x3,delta_excess_x4,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
iso_michalewicz,composite,logei,gradient_boosting,gaussian,0.228088,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,1.5350084195166582,-4.391089099613623,-0.08782178199227264,17.816129798721107
iso_michalewicz,composite,logei,gradient_boosting,gaussian,0.912351,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,3.4003721749302613,107.86231646877678,2.1572463293755355,101.75418444500316
iso_michalewicz,composite,logei,gradient_boosting,gaussian,4.561754,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,2.050400438099841,90.09005040710281,1.8018010081420561,48.332304984087315
iso_michalewicz,composite,qnei,gradient_boosting,gaussian,0.228088,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,-0.007956325460194424,-0.4299467884806063,-0.008598935769612126,5.034178396865116
iso_michalewicz,composite,qnei,gradient_boosting,gaussian,0.912351,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,1.6038698394288797,85.0422478186045,1.7008449563720904,36.056464401192244
iso_michalewicz,composite,qnei,gradient_boosting,gaussian,4.561754,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,1.9414919727733535,106.68037497152832,2.1336074994305663,53.933590458653526
iso_michalewicz,composite,ucb,gradient_boosting,gaussian,0.228088,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,-1.18267191230653,-15.213274575739973,-0.3042654915147991,-37.08622374003532
iso_michalewicz,composite,ucb,gradient_boosting,gaussian,0.912351,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.12209704044449454,5.944268465525056,0.11888536931050098,21.937054838972983
iso_michalewicz,composite,ucb,gradient_boosting,gaussian,4.561754,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,1.0924448117175571,57.11247223396103,1.142249444679221,48.571528941726285
iso_michalewicz,composite,ei,gradient_boosting,gaussian,0.228088,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.5178932911295817,11.66592874643149,0.23331857492862973,3.9789177110025093
iso_michalewicz,composite,ei,gradient_boosting,gaussian,0.912351,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,1.9571348390718253,79.96806462914708,1.599361292582942,77.36449819030736
iso_michalewicz,composite,ei,gradient_boosting,gaussian,4.561754,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,1.4312153511191372,55.68950303333375,1.113790060666675,32.54117961156422
iso_michalewicz,composite,random,gradient_boosting,gaussian,0.228088,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_michalewicz,composite,random,gradient_boosting,gaussian,0.912351,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_michalewicz,composite,random,gradient_boosting,gaussian,4.561754,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_michalewicz,composite,sobol,gradient_boosting,gaussian,0.228088,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_michalewicz,composite,sobol,gradient_boosting,gaussian,0.912351,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_michalewicz,composite,sobol,gradient_boosting,gaussian,4.561754,0,10,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_michalewicz,composite,logei,gradient_boosting,gaussian,0.228088,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,-0.26349538858459143,9.817546773847113,0.19635093547694238,5.9422974780506905
iso_michalewicz,composite,logei,gradient_boosting,gaussian,0.912351,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.5644676680381617,23.780512710483663,0.4756102542096734,10.562316677765153
iso_michalewicz,composite,logei,gradient_boosting,gaussian,4.561754,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.6033962989653578,60.47112053110584,1.2094224106221172,23.93404360044738
iso_michalewicz,composite,qnei,gradient_boosting,gaussian,0.228088,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,0.7432864010176101,24.91000650985211,0.49820013019704223,7.401938023328938
iso_michalewicz,composite,qnei,gradient_boosting,gaussian,0.912351,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,1.2416146265784125,55.28800683433593,1.1057601366867185,41.10055212418786
iso_michalewicz,composite,qnei,gradient_boosting,gaussian,4.561754,0,11,"x0,x1,x2,x3,x4",0.0,0.0,0.0,0.0,0.0,0.0,2.0986718684916297,111.67768246877858,2.233553649375572,50.92785748653691
