arm,procedure,family,k,error_model,scope,jitter_std,jitter_iteration,n_runs,n_landscapes,claim_rate,claim_rate_lo,claim_rate_hi,false_claim_rate,false_claim_rate_lo,false_claim_rate_hi,false_discovery_share,false_discovery_share_lo,false_discovery_share_hi,power,power_lo,power_hi,size,size_lo,size_hi,truly_better_share,truly_better_share_lo,truly_better_share_hi,clean_claim_rate,shipped_d_share,d_is_c_share
output-boba,confirm_k2,confirmation,2.0,ar1,cell,0.05,0.0,600,20,0.895,0.8033333333333333,0.9733333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.9242685025817556,0.852485312787832,0.986509842664986,0.0,0.0,0.0,0.9683333333333334,0.94,0.9916666666666667,0.9766666666666667,0.97,0.0
output-boba,confirm_k2,confirmation,2.0,ar1,cell,0.05,20.0,600,20,0.9016666666666666,0.7899583333333333,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.9185059422750425,0.8206397240661201,0.9949494949494949,0.0,0.0,0.0,0.9816666666666667,0.96,0.9966666666666667,0.9766666666666667,0.97,0.0016666666666666668
output-boba,confirm_k2,confirmation,2.0,ar1,cell,0.25,0.0,600,20,0.7033333333333334,0.5666666666666667,0.8183749999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.7339130434782609,0.6093163969319975,0.8367011956297671,0.0,0.0,0.0,0.9583333333333334,0.92,0.99,0.9766666666666667,0.9366666666666666,0.0033333333333333335
output-boba,confirm_k2,confirmation,2.0,ar1,cell,0.25,20.0,600,20,0.6766666666666666,0.5483333333333333,0.8016666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.7024221453287197,0.5782897041072244,0.818502970458183,0.0,0.0,0.0,0.9633333333333334,0.935,0.99,0.9766666666666667,0.9316666666666666,0.0033333333333333335
output-boba,confirm_k2,confirmation,2.0,ar1,cell,1.0,0.0,600,20,0.30333333333333334,0.18833333333333332,0.4283749999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.36254980079681276,0.2362744836775483,0.4942555742805289,0.0,0.0,0.0,0.8366666666666667,0.785,0.89,0.9766666666666667,0.7966666666666666,0.006666666666666667
output-boba,confirm_k2,confirmation,2.0,ar1,cell,1.0,20.0,600,20,0.35833333333333334,0.235,0.49166666666666664,0.006666666666666667,0.0016666666666666668,0.013333333333333334,0.018604651162790697,0.00366266944734098,0.044313520967399704,0.39811320754716983,0.2714570858283433,0.5310289979499366,0.05714285714285714,0.015625,0.11429742388758775,0.8833333333333333,0.8132916666666666,0.9433749999999997,0.9766666666666667,0.8416666666666667,0.0016666666666666668
output-boba,confirm_k2,confirmation,2.0,ar1,cell,5.0,0.0,600,20,0.05333333333333334,0.03666666666666667,0.07166666666666667,0.016666666666666666,0.0033333333333333335,0.03333333333333333,0.3125,0.08333333333333333,0.5,0.07166123778501629,0.046664596273291926,0.09887434342340388,0.034129692832764506,0.007168458781362007,0.0656745875883739,0.5116666666666667,0.435,0.5883333333333334,0.9766666666666667,0.5016666666666667,0.011666666666666667
output-boba,confirm_k2,confirmation,2.0,ar1,cell,5.0,20.0,600,20,0.095,0.058333333333333334,0.13833333333333334,0.016666666666666666,0.006666666666666667,0.028333333333333332,0.17543859649122806,0.06121826779492285,0.3715178571428567,0.13623188405797101,0.07640642303433001,0.1993873896237455,0.0392156862745098,0.017857142857142856,0.06093299239444007,0.575,0.465,0.6783749999999998,0.9766666666666667,0.5583333333333333,0.006666666666666667
output-boba,confirm_k2,confirmation,2.0,ar1,pooled,,,4800,20,0.49833333333333335,0.4195833333333333,0.569171875,0.005,0.0027083333333333334,0.0075,0.010033444816053512,0.0048614943105190645,0.017385253854099707,0.5909658098327926,0.5113197469932135,0.6582538885803438,0.03026481715006305,0.018105220032465393,0.04316546762589928,0.8347916666666667,0.7922916666666666,0.871875,0.9766666666666667,0.8133333333333334,0.004375
output-boba,confirm_k2,confirmation,2.0,bias,cell,0.05,0.0,600,20,0.865,0.77,0.945,0.0016666666666666668,0.0,0.005,0.0019267822736030828,0.0,0.005917452113104286,0.8900343642611683,0.8013617944488274,0.9621993127147767,0.05555555555555555,0.0,0.25,0.97,0.95,0.9883333333333333,0.9766666666666667,0.9666666666666667,0.0
output-boba,confirm_k2,confirmation,2.0,bias,cell,0.05,20.0,600,20,0.8733333333333333,0.7699583333333333,0.955,0.0016666666666666668,0.0,0.005,0.0019083969465648854,0.0,0.0063025210084033615,0.9032815198618307,0.8034117305458769,0.9744930332539107,0.047619047619047616,0.0,0.125,0.965,0.9366666666666666,0.9883333333333333,0.9766666666666667,0.95,0.0
output-boba,confirm_k2,confirmation,2.0,bias,cell,0.25,0.0,600,20,0.5683333333333334,0.42833333333333334,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5940766550522648,0.45877016129032255,0.7223431362218045,0.0,0.0,0.0,0.9566666666666667,0.9233333333333333,0.9833749999999998,0.9766666666666667,0.925,0.0033333333333333335
output-boba,confirm_k2,confirmation,2.0,bias,cell,0.25,20.0,600,20,0.565,0.43333333333333335,0.6983333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.5978835978835979,0.4705638609034774,0.7215619694397284,0.0,0.0,0.0,0.945,0.9033333333333333,0.9833333333333333,0.9766666666666667,0.9066666666666666,0.0
output-boba,confirm_k2,confirmation,2.0,bias,cell,1.0,0.0,600,20,0.23,0.15666666666666668,0.3133749999999998,0.006666666666666667,0.0016666666666666668,0.013333333333333334,0.028985507246376812,0.005988023952095809,0.06796116504854369,0.25918762088974856,0.17656661149502903,0.35418023547094185,0.04819277108433735,0.012654272151898734,0.0945945945945946,0.8616666666666667,0.8116666666666666,0.91,0.9766666666666667,0.7866666666666666,0.0016666666666666668
output-boba,confirm_k2,confirmation,2.0,bias,cell,1.0,20.0,600,20,0.265,0.151625,0.39666666666666667,0.005,0.0,0.011666666666666667,0.018867924528301886,0.0,0.0552232447171097,0.30174081237911027,0.1753643277390668,0.4383327374040613,0.03614457831325301,0.0,0.06666666666666667,0.8616666666666667,0.7833333333333333,0.93,0.9766666666666667,0.7616666666666667,0.0016666666666666668
output-boba,confirm_k2,confirmation,2.0,bias,cell,5.0,0.0,600,20,0.03666666666666667,0.023333333333333334,0.05,0.008333333333333333,0.0016666666666666668,0.015,0.22727272727272727,0.0689080459770115,0.4230769230769231,0.051515151515151514,0.02821316614420063,0.07491880145312545,0.018518518518518517,0.004306320646730577,0.035399101107936724,0.55,0.48333333333333334,0.6216666666666667,0.9766666666666667,0.53,0.016666666666666666
output-boba,confirm_k2,confirmation,2.0,bias,cell,5.0,20.0,600,20,0.051666666666666666,0.03666666666666667,0.06666666666666667,0.018333333333333333,0.005,0.03333333333333333,0.3548387096774194,0.1332608695652174,0.5758797653958938,0.0749063670411985,0.05063113355141516,0.10098085861728212,0.03303303303303303,0.01072314375421141,0.056701415602400364,0.445,0.3383333333333333,0.56,0.9766666666666667,0.485,0.0
output-boba,confirm_k2,confirmation,2.0,bias,pooled,,,4800,20,0.431875,0.36040625,0.49959374999999995,0.005208333333333333,0.0027083333333333334,0.007916666666666667,0.0120598166907863,0.005789616899063856,0.02063996804154599,0.5207220950928044,0.44596749779832673,0.5905676761645042,0.02883506343713956,0.016347505019777765,0.04192714508441618,0.819375,0.78,0.8570833333333333,0.9766666666666667,0.7889583333333333,0.002916666666666667
output-boba,confirm_k2,confirmation,2.0,drift,cell,0.05,0.0,600,20,0.8583333333333333,0.7632916666666666,0.94,0.0016666666666666668,0.0,0.005,0.001941747572815534,0.0,0.006622516556291391,0.889273356401384,0.8056954258976318,0.9579301637060257,0.045454545454545456,0.0,0.11764705882352941,0.9633333333333334,0.9366249999999999,0.9866666666666667,0.9766666666666667,0.9683333333333334,0.0016666666666666668
output-boba,confirm_k2,confirmation,2.0,drift,cell,0.05,20.0,600,20,0.8533333333333334,0.7383333333333333,0.9416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.8797250859106529,0.7851827558269974,0.9509306260575296,0.0,0.0,0.0,0.97,0.9416666666666667,0.9916666666666667,0.9766666666666667,0.9566666666666667,0.0
output-boba,confirm_k2,confirmation,2.0,drift,cell,0.25,0.0,600,20,0.5766666666666667,0.43995833333333334,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6027874564459931,0.4691151538862806,0.7268320050904089,0.0,0.0,0.0,0.9566666666666667,0.9233333333333333,0.9833333333333333,0.9766666666666667,0.9266666666666666,0.0
output-boba,confirm_k2,confirmation,2.0,drift,cell,0.25,20.0,600,20,0.5533333333333333,0.42,0.6866666666666666,0.0016666666666666668,0.0,0.005,0.0030120481927710845,0.0,0.011071135711357108,0.5807017543859649,0.4473006106587713,0.70990317236373,0.03333333333333333,0.0,0.08337765957446784,0.95,0.9149583333333333,0.9833333333333333,0.9766666666666667,0.9166666666666666,0.0
output-boba,confirm_k2,confirmation,2.0,drift,cell,1.0,0.0,600,20,0.245,0.15995833333333334,0.34,0.006666666666666667,0.0,0.015,0.027210884353741496,0.0,0.07273835920177377,0.2782101167315175,0.18108936625640243,0.3850920432220038,0.046511627906976744,0.0,0.1111111111111111,0.8566666666666667,0.8,0.9066666666666666,0.9766666666666667,0.7633333333333333,0.006666666666666667
output-boba,confirm_k2,confirmation,2.0,drift,cell,1.0,20.0,600,20,0.23666666666666666,0.14166666666666666,0.3466666666666667,0.006666666666666667,0.0,0.015,0.028169014084507043,0.0,0.08247659131750684,0.27380952380952384,0.16594827586206898,0.390159632034632,0.041666666666666664,0.0,0.07258431085043987,0.84,0.7582916666666666,0.9133749999999998,0.9766666666666667,0.7716666666666666,0.0016666666666666668
output-boba,confirm_k2,confirmation,2.0,drift,cell,5.0,0.0,600,20,0.05333333333333334,0.03166666666666667,0.075,0.023333333333333334,0.008333333333333333,0.04,0.4375,0.2,0.6364801864801858,0.056782334384858045,0.03514236870130598,0.07902447104718509,0.04946996466431095,0.017064846416382253,0.0833400321543408,0.5283333333333333,0.44995833333333335,0.6133333333333333,0.9766666666666667,0.5,0.01
output-boba,confirm_k2,confirmation,2.0,drift,cell,5.0,20.0,600,20,0.05333333333333334,0.03166666666666667,0.07666666666666666,0.013333333333333334,0.005,0.023333333333333334,0.25,0.08820332480818414,0.5,0.0995850622406639,0.05555555555555555,0.1406278935185185,0.022284122562674095,0.007712082262210797,0.04022014469326601,0.40166666666666667,0.30333333333333334,0.5100416666666665,0.9766666666666667,0.47833333333333333,0.0
