iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,ceiling_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,231.29204155818286,378.980533603269,-186.71189064857197,-546.1941891714974,85.91670844047724,-424.505487931683,0.006815473149144578,-1.011223851248003,True,-1.0180393243971475,logei,0.0,False,1.245004527596541,15,71f7fdcd-0fb8-4791-b9ef-beb134e775c0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.006815473149144578,2.747040342509826,2.747040342509826,2.747040342509826,2.747040342509826,0.006815473149144578,2.747040342509826,griewank
2,262.5256522505655,-185.57219510899233,-51.58838926935448,571.1254648682104,337.75923332643686,412.5480543167712,0.013433820423212818,-1.5947826380743513,True,-1.608216458497564,logei,0.0,False,1.245004527596541,15,71f7fdcd-0fb8-4791-b9ef-beb134e775c0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.013433820423212818,2.740421995235758,5.487462337745583,2.740421995235758,2.7437311688727917,0.006815473149144578,2.747040342509826,griewank
3,66.1372608898323,529.9456351030717,-578.0090167498682,467.0206870702334,-132.2898199801037,-321.91184653942315,-0.9101463155183621,-1.524281622723643,True,-0.614135307205281,logei,0.0,False,1.245004527596541,15,71f7fdcd-0fb8-4791-b9ef-beb134e775c0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.013433820423212818,3.664002131177333,9.151464468922917,2.740421995235758,3.050488156307639,0.006815473149144578,2.747040342509826,griewank
4,41.2730727040331,533.6283343833079,-202.8020270351193,490.34541730643036,-39.20206499389724,560.7453177464774,-0.6257648593963341,1.212478403809785,True,1.8382432632061192,logei,0.0,False,1.245004527596541,15,71f7fdcd-0fb8-4791-b9ef-beb134e775c0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.013433820423212818,3.379620675055305,12.531085143978222,2.740421995235758,3.1327712859945556,-0.6257648593963341,3.379620675055305,griewank
5,317.07238007902197,340.0246171966488,-166.16702048310776,105.34558825619865,-301.74100860896164,360.166380015566,0.9296154124310505,1.2071794855092413,True,0.27756407307819075,logei,0.0,False,1.245004527596541,15,71f7fdcd-0fb8-4791-b9ef-beb134e775c0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9296154124310505,1.8242404032279202,14.355325547206142,1.8242404032279202,2.8710651094412283,-0.6257648593963341,3.379620675055305,griewank
6,309.22446136450344,498.36347082531546,-114.22931216410473,-5.6111624451451485,-441.15158293961207,544.4532034407193,-0.4857270417219993,-1.113755272568137,True,-0.6280282308461377,logei,0.31028420000802726,False,1.245004527596541,15,71f7fdcd-0fb8-4791-b9ef-beb134e775c0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9296154124310505,3.23958285738097,17.594908404587112,1.8242404032279202,2.932484734097852,-0.6257648593963341,3.379620675055305,griewank
7,197.4234071353661,383.3918340557558,-199.86357107012955,305.3347563110136,-149.96733851511985,391.3507603932412,0.8559882666440313,0.35329124698847547,True,-0.5026970196555558,logei,0.3735595000325702,False,1.245004527596541,15,71f7fdcd-0fb8-4791-b9ef-beb134e775c0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9296154124310505,1.8978675490149395,19.492775953602052,1.8242404032279202,2.7846822790860073,-0.6257648593963341,3.379620675055305,griewank
8,382.9630907124944,279.8582592710989,-162.08432192475743,25.05720747920615,-350.95371037117394,297.7671768683065,0.9812915385548674,1.2327318640299354,True,0.251440325475068,logei,0.4094302000012249,False,1.245004527596541,15,71f7fdcd-0fb8-4791-b9ef-beb134e775c0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9812915385548674,1.7725642771041032,21.265340230706155,1.7725642771041032,2.6581675288382693,0.9812915385548674,1.7725642771041032,griewank
9,-278.9332107701373,600.0,-238.33723393423298,600.0,15.725682485296298,600.0,-1.8824204571120366,-3.58330579222495,True,-1.7008853351129132,logei,0.5404499999713153,False,1.245004527596541,15,71f7fdcd-0fb8-4791-b9ef-beb134e775c0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9812915385548674,4.636276272771007,25.90161650347716,1.7725642771041032,2.87795738927524,0.9812915385548674,1.7725642771041032,griewank
10,308.6092209027122,394.44280500839665,-231.90672727463846,88.59964857754291,-348.28146615806526,242.37798669551503,0.865318040354894,1.0583164974235513,True,0.19299845706865726,logei,0.4160813999478705,False,1.245004527596541,15,71f7fdcd-0fb8-4791-b9ef-beb134e775c0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9812915385548674,1.8885377753040768,27.790154278781237,1.7725642771041032,2.779015427878124,0.9812915385548674,1.7725642771041032,griewank
11,324.60907810874335,274.84320536447797,-258.7094635307428,192.10242782893064,-270.66280831192245,165.81029550151882,1.2723423479520048,0.3131567274282384,True,-0.9591856205237664,logei,0.41549230000237003,False,1.245004527596541,15,71f7fdcd-0fb8-4791-b9ef-beb134e775c0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.2723423479520048,1.481513467706966,29.271667746488202,1.481513467706966,2.6610607042262,0.9812915385548674,1.7725642771041032,griewank
12,325.49934698409896,319.73421737285287,-30.85397790949921,-292.7931226053851,-241.00057517134573,300.5635948850783,1.0530022684912002,0.6809098818113126,True,-0.37209238667988753,logei,0.5149917000089772,False,1.245004527596541,15,71f7fdcd-0fb8-4791-b9ef-beb134e775c0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.2723423479520048,1.7008535471677706,30.972521293655973,1.481513467706966,2.581043441137998,0.9812915385548674,1.7725642771041032,griewank
13,352.98732409309105,398.4006231489706,-464.06338845271864,332.5153579330288,-356.1304433138036,320.14180764999946,-0.4513492603758199,0.9419583037382023,True,1.3933075641140222,logei,0.5244493000209332,False,1.245004527596541,15,71f7fdcd-0fb8-4791-b9ef-beb134e775c0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.2723423479520048,3.2052050760347908,34.17772636969077,1.481513467706966,2.6290558745915975,0.9812915385548674,1.7725642771041032,griewank
