iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,1.0272137021115593,3.101621678089748,1.0012596288055424,2.477299543768252,2.73286049052822,0.15323094724110708,0.15323094724110708,0.15323094724110708,0.0,False,True,0.0,ucb,0.0,False,False,8,e5f1c2ed-8954-4dd2-913f-5bec7653ff42,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.15323094724110708,7.894490219447871,7.894490219447871,7.894490219447871,7.894490219447871,0.15323094724110708,7.894490219447871,michalewicz
2,1.2286291551541173,1.3756464757427227,1.1710252155791652,0.3360046329538751,1.5047143521208903,0.32604765500876154,0.32604765500876154,0.32604765500876154,0.0,False,True,0.0,ucb,0.0,False,False,8,e5f1c2ed-8954-4dd2-913f-5bec7653ff42,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.32604765500876154,7.721673511680216,15.616163731128086,7.721673511680216,7.808081865564043,0.32604765500876154,7.721673511680216,michalewicz
3,0.7582301259261758,0.8078456237537506,0.5803513018372032,0.6090434426292817,2.5567150298471115,-1.0282202964532643,,-1.0282202964532643,0.0,False,True,,ucb,0.0,False,True,8,e5f1c2ed-8954-4dd2-913f-5bec7653ff42,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.32604765500876154,9.075941463142243,24.69210519427033,7.721673511680216,8.230701731423443,0.32604765500876154,7.721673511680216,michalewicz
4,1.3288440180585444,0.8039979789080718,1.8563760580914754,1.898377406065081,2.032164425727874,0.5224310245244812,0.5224310245244812,0.5224310245244812,0.0,False,True,0.0,ucb,0.0,False,False,8,e5f1c2ed-8954-4dd2-913f-5bec7653ff42,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,7.525290142164497,32.217395336434826,7.525290142164497,8.054348834108707,0.5224310245244812,7.525290142164497,michalewicz
5,2.863110509619268,0.4718864178640059,1.1667470743524408,0.8941621038640123,0.052722372294653944,-0.1443543065132659,-0.1443543065132659,-0.1443543065132659,0.0,False,True,0.0,ucb,0.0,False,False,8,e5f1c2ed-8954-4dd2-913f-5bec7653ff42,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,8.192075473202244,40.40947080963707,7.525290142164497,8.081894161927414,0.5224310245244812,7.525290142164497,michalewicz
6,0.5422103196869796,0.0029887193200214238,2.2752617307582566,0.9521194757238333,2.3598411893136744,0.07377512142002188,0.07377512142002188,0.07377512142002188,0.0,False,True,0.0,ucb,0.2958216000115499,False,False,8,e5f1c2ed-8954-4dd2-913f-5bec7653ff42,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,7.973946045268956,48.38341685490603,7.525290142164497,8.063902809151005,0.5224310245244812,7.525290142164497,michalewicz
7,1.5449265493786677,0.30028848714391654,0.7803650663833949,2.9629841020911396,1.925555625137489,-0.8060784003614397,,-0.8060784003614397,0.0,False,True,,ucb,0.30287099996348843,False,True,8,e5f1c2ed-8954-4dd2-913f-5bec7653ff42,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,8.853799567050418,57.23721642195645,7.525290142164497,8.176745203136635,0.5224310245244812,7.525290142164497,michalewicz
8,1.5267224367923042,0.35092439819650856,0.8636812436239741,3.141592653589793,1.66033782512647,-0.3928028481276277,-0.3928028481276277,-0.3928028481276277,0.0,False,True,0.0,ucb,0.28888839995488524,False,False,8,e5f1c2ed-8954-4dd2-913f-5bec7653ff42,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,8.440524014816607,65.67774043677305,7.525290142164497,8.209717554596631,0.5224310245244812,7.525290142164497,michalewicz
9,1.6680832310290488,2.060914782378976,2.5419384614593215,1.8221621450710284,2.400298734675613,-0.87995624666307,-0.87995624666307,-0.87995624666307,0.0,False,True,0.0,ucb,0.43291239999234676,False,False,8,e5f1c2ed-8954-4dd2-913f-5bec7653ff42,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,8.927677413352049,74.6054178501251,7.525290142164497,8.289490872236122,0.5224310245244812,7.525290142164497,michalewicz
10,0.4460744347912889,0.8729245905739397,1.7150373341659197,0.0,2.098287043408104,-1.0534933014346102,,-1.0534933014346102,0.0,False,True,,ucb,0.38211150001734495,False,True,8,e5f1c2ed-8954-4dd2-913f-5bec7653ff42,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,9.101214468123588,83.70663231824868,7.525290142164497,8.370663231824867,0.5224310245244812,7.525290142164497,michalewicz
11,0.44608261459509346,0.872923560713808,1.7150326806715268,0.0,2.098317012293545,-1.0534912925626114,-1.0534912925626114,-1.0534912925626114,0.0,False,True,0.0,ucb,0.36060539999743924,False,False,8,e5f1c2ed-8954-4dd2-913f-5bec7653ff42,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,9.10121245925159,92.80784477750026,7.525290142164497,8.43707679795457,0.5224310245244812,7.525290142164497,michalewicz
12,1.439725114287442,0.9006019618055198,1.872590835709079,0.3074413700589822,1.5503633877309995,-1.053629716972863,-1.053629716972863,-1.053629716972863,0.0,False,True,0.0,ucb,0.36645660002250224,False,False,8,e5f1c2ed-8954-4dd2-913f-5bec7653ff42,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,9.10135088366184,101.9091956611621,7.525290142164497,8.492432971763508,0.5224310245244812,7.525290142164497,michalewicz
