iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.4039152044902676,1.5685276647418804,1.889662821455866,0.09012917794007706,0.46472350058283796,0.8872794804849488,0.8872794804849488,0.8872794804849488,0.0,False,True,0.0,logei,0.0,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.8872794804849488,7.160441686204029,7.160441686204029,7.160441686204029,7.160441686204029,0.8872794804849488,7.160441686204029,michalewicz
2,2.9160609307133636,0.22123276470758535,0.4076968860601681,2.9792617020516117,1.9537049265171427,-0.9325116878672203,-0.9325116878672203,-0.9325116878672203,0.0,False,True,0.0,logei,0.0,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.8872794804849488,8.9802328545562,16.14067454076023,7.160441686204029,8.070337270380115,0.8872794804849488,7.160441686204029,michalewicz
3,1.1592260867346609,1.606579135616254,2.0823825501105446,0.8649081530636696,0.43343948414876815,0.8650715343080728,0.8650715343080728,0.8650715343080728,0.0,False,True,0.0,logei,0.0,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.8872794804849488,7.1826496323809055,23.323324173141135,7.160441686204029,7.774441391047045,0.8872794804849488,7.160441686204029,michalewicz
4,2.4756994008316204,2.1059998862725258,1.6096965118680393,2.5658531871613883,1.7249708309499152,1.1832821562984503,1.1832821562984503,1.1832821562984503,0.0,False,True,0.0,logei,0.0,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,6.864439010390528,30.187763183531665,6.864439010390528,7.546940795882916,1.1832821562984503,6.864439010390528,michalewicz
5,3.081631083022443,0.6424854213040749,1.73959524004701,1.519351794949105,1.1098456893559028,-0.6877722785634273,,-0.6877722785634273,0.0,False,True,,logei,0.0,False,True,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,8.735493445252406,38.923256628784074,6.864439010390528,7.784651325756815,1.1832821562984503,6.864439010390528,michalewicz
6,0.13880212491365948,2.477046059250893,1.6470830309923756,0.08687605829235519,1.382598164839562,-1.053169692277318,-1.053169692277318,-1.053169692277318,0.0,False,True,0.0,logei,0.4589453999651596,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,9.100890858966297,48.02414748775037,6.864439010390528,8.004024581291729,1.1832821562984503,6.864439010390528,michalewicz
7,2.740033185399553,1.8018331124751015,1.2888417581878018,2.88297337531055,1.969787313874954,1.03750057084507,1.03750057084507,1.03750057084507,0.0,False,True,0.0,logei,0.49546010000631213,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,7.010220595843908,55.03436808359427,6.864439010390528,7.862052583370611,1.1832821562984503,6.864439010390528,michalewicz
8,3.141592653589793,2.0512929362780725,2.678994442525332,3.141592653589793,1.5072037924849682,-1.053933922370499,-1.053933922370499,-1.053933922370499,0.0,False,True,0.0,logei,0.36546080000698566,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,9.101655089059477,64.13602317265375,6.864439010390528,8.017002896581719,1.1832821562984503,6.864439010390528,michalewicz
9,1.9384693486961786,1.7034343716555513,1.550164783477578,1.8324043227382794,0.9927263363175507,2.155522820573067,2.155522820573067,2.155522820573067,0.0,False,True,0.0,logei,0.40490460000000894,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.155522820573067,5.8921983461159115,70.02822151876967,5.8921983461159115,7.780913502085519,2.155522820573067,5.8921983461159115,michalewicz
10,2.2468274990355157,1.6744363009987844,1.4947066515965552,1.9919979465421387,0.11920403371634851,2.2711646371423186,2.2711646371423186,2.2711646371423186,0.0,False,True,0.0,logei,0.3315658000065014,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.2711646371423186,5.77655652954666,75.80477804831634,5.77655652954666,7.5804778048316335,2.2711646371423186,5.77655652954666,michalewicz
11,2.7131573485872518,1.4693638572161047,1.5902999710252652,1.210462506399372,0.0,1.0104613819137858,1.0104613819137858,1.0104613819137858,0.0,False,True,0.0,logei,0.38422199996421114,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.2711646371423186,7.037259784775193,82.84203783309152,5.77655652954666,7.531094348462866,2.2711646371423186,5.77655652954666,michalewicz
12,1.536246976730844,1.7979262832824594,1.4817207546207667,2.23155283613766,0.0,-0.7872254183384255,,-0.7872254183384255,0.0,False,True,,logei,0.4014481999911368,False,True,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.2711646371423186,8.834946585027403,91.67698441811893,5.77655652954666,7.6397487015099115,2.2711646371423186,5.77655652954666,michalewicz
13,1.5362465525266713,1.7979261947052563,1.4817209326176504,2.231552815097417,0.0,-0.7872256999180286,-0.7872256999180286,-0.7872256999180286,0.0,False,True,0.0,logei,0.3257964000222273,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.2711646371423186,8.834946866607007,100.51193128472595,5.77655652954666,7.731687021901996,2.2711646371423186,5.77655652954666,michalewicz
14,2.2096878858042954,1.6204037334265302,1.5185640516516334,1.7391661940744372,1.1864392179381213,2.29311039074348,2.29311039074348,2.29311039074348,0.0,False,True,0.0,logei,0.3545550999697298,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.29311039074348,5.754610775945498,106.26654206067144,5.754610775945498,7.59046729004796,2.29311039074348,5.754610775945498,michalewicz
15,2.0901373682172717,1.5531292419214717,1.637873406826652,2.7203197487362476,0.0,2.0796342663590686,2.0796342663590686,2.0796342663590686,0.0,False,True,0.0,logei,0.5801771999686025,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.29311039074348,5.96808690032991,112.23462896100135,5.754610775945498,7.48230859740009,2.29311039074348,5.754610775945498,michalewicz
16,2.0957354157654713,1.8443030211803209,1.4048826821037754,0.8555342064006957,0.0,0.9551595925637222,0.9551595925637222,0.9551595925637222,0.0,False,True,0.0,logei,0.4189293999806978,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.29311039074348,7.092561574125256,119.3271905351266,5.754610775945498,7.457949408445413,2.29311039074348,5.754610775945498,michalewicz
17,2.2293516848687487,1.5624259674420866,1.5815080712978338,2.6537964998012793,0.6666031152244165,2.417057296878611,2.417057296878611,2.417057296878611,0.0,False,True,0.0,logei,0.4024621000280604,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.417057296878611,5.630663869810368,124.95785440493697,5.630663869810368,7.350462023819822,2.417057296878611,5.630663869810368,michalewicz
18,2.228242915367227,1.7186850011807966,1.7502884481041547,2.845448886293446,0.7928524354924477,1.2533933245296522,1.2533933245296522,1.2533933245296522,0.0,False,True,0.0,logei,0.47052230004919693,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.417057296878611,6.794327842159326,131.7521822470963,5.630663869810368,7.319565680394239,2.417057296878611,5.630663869810368,michalewicz
19,2.137390377189293,0.7166423851530251,1.550127473644045,2.400521498415764,0.8720746044018594,0.8551983153511088,0.8551983153511088,0.8551983153511088,0.0,False,True,0.0,logei,0.4399095000117086,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.417057296878611,7.19252285133787,138.94470509843416,5.630663869810368,7.312879215707061,2.417057296878611,5.630663869810368,michalewicz
20,2.1245971128652292,1.6991768111162775,1.533201316302357,2.810608611217296,1.5436700043969445,1.2740454437516422,1.2740454437516422,1.2740454437516422,0.0,False,True,0.0,logei,0.5170842999941669,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.417057296878611,6.773675722937336,145.71838082137148,5.630663869810368,7.285919041068574,2.417057296878611,5.630663869810368,michalewicz
21,2.2000775348694273,1.6936409663785241,1.5699895706463038,1.6923073521641272,0.6084678276188935,1.5006333075334228,1.5006333075334228,1.5006333075334228,0.0,False,True,0.0,logei,0.35397489997558296,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.417057296878611,6.547087859155555,152.26546868052705,5.630663869810368,7.250736603834621,2.417057296878611,5.630663869810368,michalewicz
22,2.286319825374035,1.4821482512903001,1.264470359522449,1.3011485993805032,0.22870354918416075,3.589993042808081,3.589993042808081,3.589993042808081,0.0,False,True,0.0,logei,0.502001500048209,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,3.589993042808081,4.457728123880898,156.72319680440796,4.457728123880898,7.123781672927635,3.589993042808081,4.457728123880898,michalewicz
23,2.316999922286955,1.429555615826314,1.0592924521627263,0.5174496816733515,0.2075454321964486,1.169006524031893,1.169006524031893,1.169006524031893,0.0,False,True,0.0,logei,0.5094391999882646,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,3.589993042808081,6.878714642657085,163.60191144706505,4.457728123880898,7.113126584655002,3.589993042808081,4.457728123880898,michalewicz
24,2.2883321929585105,1.4296506679611334,1.378512212557994,1.4330879595281187,0.06465762417815063,2.246146218595715,2.246146218595715,2.246146218595715,0.0,False,True,0.0,logei,0.5968061999883503,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,3.589993042808081,5.801574948093263,169.40348639515832,4.457728123880898,7.0584785997982635,3.589993042808081,4.457728123880898,michalewicz
25,2.229801286445658,1.555223252886102,1.2169215637970177,1.4224743742867156,0.5923595422349057,3.8253804177059356,3.8253804177059356,3.8253804177059356,0.0,False,True,0.0,logei,0.5492614000104368,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,3.8253804177059356,4.222340748983043,173.62582714414137,4.222340748983043,6.945033085765655,3.8253804177059356,4.222340748983043,michalewicz
26,2.296738876753348,1.5404886418053474,1.1542550117225965,1.560094725656081,0.0,2.8276050997774527,2.8276050997774527,2.8276050997774527,0.0,False,True,0.0,logei,0.6615665000281297,False,False,11,9599f511-742b-4698-af0f-957f754268ac,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,3.8253804177059356,5.220116066911526,178.84594321105288,4.222340748983043,6.878690123502034,3.8253804177059356,4.222340748983043,michalewicz
