dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,variant,acquisition,n_seeds,n_acquisitions,mean_rank,mean_rank_normalized,mean_rank_absolute,mean_auc_simple_regret_excess_true,median_auc_simple_regret_excess_true,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_win
hartmann_6,value,exact,misclick,0,0.01,studenttrbf,qnei,5,2,1.3,0.30000000000000004,1.2,-0.3928785809360164,0.0,-0.008017930223184066,96.73431005073977,0.0,True
hartmann_6,value,exact,misclick,0,0.01,studenttrbf,logei,5,2,1.7,0.7,1.8,4.292587849859871,0.0,0.08760383367060962,105.20435559761067,0.0,False
hartmann_6,value,exact,misclick,0,0.05,studenttrbf,qnei,5,2,1.4,0.3999999999999999,1.2,43.1140050584725,0.0,0.8798776542545408,140.2411936901483,0.0,True
hartmann_6,value,exact,misclick,0,0.05,studenttrbf,logei,5,2,1.6,0.6000000000000001,1.8,26.494369364273417,29.164905661704154,0.5407014155974166,127.40613711202423,0.0,False
hartmann_6,value,exact,misclick,0,0.15,studenttrbf,logei,5,2,1.0,0.0,1.2,26.66930461470856,22.818871887265374,0.5442715227491544,127.58107236245937,0.0,True
hartmann_6,value,exact,misclick,0,0.15,studenttrbf,qnei,5,2,2.0,1.0,1.8,130.39404659142195,173.81036377024856,2.6611029916616724,227.52123522309776,0.0,False
hartmann_6,value,exact,misclick,0,0.4,studenttrbf,logei,5,2,1.4,0.3999999999999999,1.6,177.6705910446749,168.0309863982727,3.625930429483161,278.5823587924257,0.0,True
hartmann_6,value,exact,misclick,0,0.4,studenttrbf,qnei,5,2,1.6,0.6000000000000001,1.4,173.5322433375914,191.5631862866145,3.5414743538283964,270.6594319692672,0.0,False
hartmann_6,value,exact,misclick,20,0.01,studenttrbf,qnei,5,2,1.4,0.3999999999999999,1.4,0.0,0.0,0.0,97.12718863167578,0.0,True
hartmann_6,value,exact,misclick,20,0.01,studenttrbf,logei,5,2,1.6,0.6000000000000001,1.6,1.2036913958211926,0.0,0.04150659985590301,102.115459143572,0.0,False
hartmann_6,value,exact,misclick,20,0.05,studenttrbf,qnei,5,2,1.4,0.3999999999999999,1.2,1.4867906785581853,0.25861948867198237,0.05126864408821321,98.61397931023396,-0.0014069613578336694,True
hartmann_6,value,exact,misclick,20,0.05,studenttrbf,logei,5,2,1.6,0.6000000000000001,1.8,3.004331311614121,1.018454268921687,0.10359763143496989,103.91609905936494,0.0,False
hartmann_6,value,exact,misclick,20,0.15,studenttrbf,qnei,5,2,1.2,0.19999999999999996,1.4,7.88246987221225,9.475286571860956,0.27180930593835334,105.00965850388802,0.0,True
hartmann_6,value,exact,misclick,20,0.15,studenttrbf,logei,5,2,1.8,0.8,1.6,13.817867204573934,16.336580753412278,0.4764781794680667,114.72963495232473,-0.0530809825772202,False
hartmann_6,value,exact,misclick,20,0.4,studenttrbf,qnei,5,2,1.2,0.19999999999999996,1.2,11.651859119485902,9.475286571860956,0.4017882454995136,108.77904775116167,-0.0007050755291424182,True
hartmann_6,value,exact,misclick,20,0.4,studenttrbf,logei,5,2,1.8,0.8,1.8,20.796758982034646,17.438738201891937,0.7137139417125689,121.70852672978545,0.03899991471590657,False
