run_id,dataset,objective,acquisition,seed,oracle_model,baseline,error_model,jitter_std,jitter_iteration,n_iterations,acq_opt_failures,response_start_iteration,response_end_iteration,response_l2_jitter,final_best_true_jitter,final_simple_regret_true_jitter,final_cum_regret_true_jitter,final_avg_regret_true_jitter,auc_simple_regret_true_jitter,auc_simple_regret_true_postonset_per_iter_jitter,final_inference_simple_regret_true_jitter,auc_inference_simple_regret_true_jitter,param_columns,response_x0,response_x1,response_x2,response_l2_baseline,final_best_true_baseline,final_simple_regret_true_baseline,final_cum_regret_true_baseline,final_avg_regret_true_baseline,auc_simple_regret_true_baseline,auc_simple_regret_true_postonset_per_iter_baseline,final_inference_simple_regret_true_baseline,auc_inference_simple_regret_true_baseline,response_l2_excess,final_best_true_excess,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true,auc_simple_regret_excess_true_postonset_per_iter,final_inference_simple_regret_excess_true,auc_inference_simple_regret_excess_true
a305d629-34d2-412e-a8e5-97ddf9a6a7bd,hartmann_3,value,logei,10,exact,False,slip,0.01,0,50,0,1,2,1.1061137750945342,3.0530953825175766,0.0018055596381509,62.172606057023366,1.2434521211404672,19.569674689899536,0.39938111612039867,0.0235628717308493,19.693361790818493,"x0,x1,x2",-0.806719586546955,0.30512280635741806,-0.6925252812540241,1.1061137750945342,3.052870573485451,0.0020303686702765,58.96260084612786,1.179252016922557,16.283401613222505,0.33231431863719396,0.0020303686702765,16.283401613222505,0.0,0.00022480903212551695,-0.0002248090321256,3.2100052108955026,0.06420010421791011,3.2862730766770305,0.06706679748320471,0.0215325030605728,3.4099601775959876
ce297bb6-ccaa-4b52-b1f6-42fd0885c655,hartmann_3,value,logei,10,exact,False,slip,0.05,0,50,0,1,2,1.1061137750945342,3.0351528159488206,0.019748126206907,35.97100112010895,0.7194200224021791,15.57665336745522,0.31789088505010654,0.0462257180694396,16.79751426139883,"x0,x1,x2",-0.806719586546955,0.30512280635741806,-0.6925252812540241,1.1061137750945342,3.052870573485451,0.0020303686702765,58.96260084612786,1.179252016922557,16.283401613222505,0.33231431863719396,0.0020303686702765,16.283401613222505,0.0,-0.01771775753663052,0.0177177575366305,-22.99159972601891,-0.45983199452037804,-0.7067482457672849,-0.01442343358708742,0.0441953493991631,0.5141126481763258
c7d3e955-a721-4719-a25a-eeec4ba3edc7,hartmann_3,value,logei,10,exact,False,slip,0.15,0,50,0,1,2,1.1061137750945342,2.8890292644151847,0.1658716777405429,100.74333704365252,2.0148667408730505,23.427365711935483,0.47810950432521393,0.4767961010476651,46.98359956166312,"x0,x1,x2",-0.806719586546955,0.30512280635741806,-0.6925252812540241,1.1061137750945342,3.052870573485451,0.0020303686702765,58.96260084612786,1.179252016922557,16.283401613222505,0.33231431863719396,0.0020303686702765,16.283401613222505,0.0,-0.1638413090702664,0.1638413090702664,41.780736197524654,0.8356147239504934,7.143964098712978,0.14579518568801997,0.4747657323773886,30.700197948440614
be58807c-a6ea-4490-a535-6d76092581bb,hartmann_3,value,logei,10,exact,False,slip,0.4,0,50,0,1,2,1.1061137750945342,2.872328666957469,0.1825722751982588,149.95874136631585,2.999174827326317,71.25147257161954,1.4541116851350928,3.691891765268929,165.9894425505763,"x0,x1,x2",-0.806719586546955,0.30512280635741806,-0.6925252812540241,1.1061137750945342,3.052870573485451,0.0020303686702765,58.96260084612786,1.179252016922557,16.283401613222505,0.33231431863719396,0.0020303686702765,16.283401613222505,0.0,-0.1805419065279823,0.1805419065279823,90.99614052018799,1.8199228104037597,54.968070958397035,1.1217973664978989,3.6898613965986526,149.7060409373538
78734fce-1161-43d4-bbc5-22be4a5e12f4,hartmann_3,value,logei,10,exact,False,slip,0.01,20,50,0,21,22,0.008848479036574779,3.0462435686956955,0.0086573734600321,57.34138267533243,1.1468276535066486,16.48203192608382,0.008657373460032099,0.0161582209373074,16.70330692666344,"x0,x1,x2",0.0,0.008782430459602475,-0.0010791183822685957,0.361207680033815,3.052870573485451,0.0020303686702765,58.96260084612786,1.179252016922557,16.283401613222505,0.004602811734623227,0.0020303686702765,16.283401613222505,-0.3523592009972402,-0.006627004789755642,0.0066270047897556,-1.62121817079543,-0.032424363415908486,0.19863031286131516,0.004054561725408872,0.014127852267030899,0.4199053134409354
3a647211-1795-451b-ab9f-dd730f258ec2,hartmann_3,value,logei,10,exact,False,slip,0.05,20,50,0,21,22,0.04359228827941983,3.0458885577018844,0.0090123844538432,37.99173789048681,0.7598347578097362,16.62535803685378,0.009012384453843201,0.0090123844538432,16.62535803685378,"x0,x1,x2",0.0,0.024313757020354543,-0.03618188520504706,0.361207680033815,3.052870573485451,0.0020303686702765,58.96260084612786,1.179252016922557,16.283401613222505,0.004602811734623227,0.0020303686702765,16.283401613222505,-0.3176153917543951,-0.00698201578356672,0.006982015783566699,-20.970862955641053,-0.4194172591128209,0.34195642363127376,0.004409572719219974,0.006982015783566699,0.34195642363127376
f4cd7b16-7b77-469e-8b47-da1d41c80036,hartmann_3,value,logei,10,exact,False,slip,0.15,20,50,0,21,22,0.002310772682449725,2.9920023242923337,0.0628986178633939,70.6339739077038,1.412679478154076,19.51889379149749,0.0628986178633939,0.0628986178633939,19.51889379149749,"x0,x1,x2",0.0,-0.0004809700142467399,0.0022601633205039384,0.361207680033815,3.052870573485451,0.0020303686702765,58.96260084612786,1.179252016922557,16.283401613222505,0.004602811734623227,0.0020303686702765,16.283401613222505,-0.35889690735136526,-0.060868249193117396,0.0608682491931174,11.671373061575942,0.2334274612315188,3.235492178274985,0.05829580612877067,0.0608682491931174,3.235492178274985
89def271-0da6-46e3-aad9-6ecdc8795c72,hartmann_3,value,logei,10,exact,False,slip,0.4,20,50,0,21,22,0.013944720798638444,2.327304164159152,0.7275967779965757,138.68844127883122,2.7737688255766244,44.06492387017118,0.7275967779965754,0.7275967779965757,44.06492387017118,"x0,x1,x2",0.0035054589475108644,-0.012288866528643916,-0.0055812861564760174,0.361207680033815,3.052870573485451,0.0020303686702765,58.96260084612786,1.179252016922557,16.283401613222505,0.004602811734623227,0.0020303686702765,16.283401613222505,-0.3472629592351765,-0.7255664093262992,0.7255664093262992,79.72584043270336,1.5945168086540673,27.781522256948673,0.7229939662619522,0.7255664093262992,27.781522256948673
1237fdc4-a65c-4c7d-be03-c7c6b8eaf6dd,hartmann_3,value,logei,11,exact,False,slip,0.01,0,50,0,1,2,0.4900668224773924,3.052341812581103,0.0025591295746245,63.704820798583405,1.274096415971668,26.322865421014708,0.5372013351227491,0.0310858519420098,26.881516402625138,"x0,x1,x2",-0.09988119439725508,-0.35135177786265903,0.32671266533701215,0.4900668224773924,3.0447796806255663,0.0101212615301613,87.9091494734722,1.7581829894694438,26.75944915791268,0.5461112073043404,0.0101212615301613,26.75944915791268,0.0,0.007562131955536788,-0.0075621319555368,-24.204328674888792,-0.48408657349777595,-0.4365837368979726,-0.008909872181591227,0.0209645904118485,0.12206724471245778
8078ccc8-04d7-44f2-a4a8-a140f649e0f6,hartmann_3,value,logei,11,exact,False,slip,0.05,0,50,0,1,2,0.4900668224773924,3.0387925617559324,0.0161083803997952,46.9055703747193,0.938111407494386,25.84912377491176,0.5275331382635053,0.0289906503512966,32.808990166219715,"x0,x1,x2",-0.09988119439725508,-0.35135177786265903,0.32671266533701215,0.4900668224773924,3.0447796806255663,0.0101212615301613,87.9091494734722,1.7581829894694438,26.75944915791268,0.5461112073043404,0.0101212615301613,26.75944915791268,0.0,-0.005987118869633878,0.005987118869633899,-41.0035790987529,-0.8200715819750578,-0.9103253830009201,-0.018578069040835032,0.0188693888211353,6.049541008307035
48f1bc63-648b-46f3-8a0e-3d7dbc81ab8c,hartmann_3,value,logei,11,exact,False,slip,0.15,0,50,0,1,2,0.4900668224773924,2.9882435545078425,0.066657387647885,113.35134027157169,2.267026805431433,29.862261698143808,0.6094339122070165,1.3795253048624916,84.07532878273732,"x0,x1,x2",-0.09988119439725508,-0.35135177786265903,0.32671266533701215,0.4900668224773924,3.0447796806255663,0.0101212615301613,87.9091494734722,1.7581829894694438,26.75944915791268,0.5461112073043404,0.0101212615301613,26.75944915791268,0.0,-0.05653612611772374,0.0565361261177237,25.44219079809949,0.5088438159619892,3.1028125402311275,0.06332270490267611,1.3694040433323302,57.31587962482463
84f542f2-2f76-4f5f-9390-d57cdf0e1ac0,hartmann_3,value,logei,11,exact,False,slip,0.4,0,50,0,1,2,0.4900668224773924,2.180466727815676,0.8744342143400514,155.1853512090389,3.1037070241807783,63.92474013246748,1.3045865333156628,3.691891765268929,146.44967483344377,"x0,x1,x2",-0.09988119439725508,-0.35135177786265903,0.32671266533701215,0.4900668224773924,3.0447796806255663,0.0101212615301613,87.9091494734722,1.7581829894694438,26.75944915791268,0.5461112073043404,0.0101212615301613,26.75944915791268,0.0,-0.8643129528098901,0.8643129528098901,67.27620173556672,1.3455240347113344,37.16529097455479,0.7584753260113224,3.681770503738768,119.69022567553108
206bd9c8-c821-433c-9cef-160b57115474,hartmann_3,value,logei,11,exact,False,slip,0.01,20,50,0,21,22,0.11670008018584051,3.0462586755397085,0.008642266616019,86.13006667968733,1.722601333593747,38.63860347155458,0.010439940035164331,0.0105527026722067,38.68923002704354,"x0,x1,x2",0.0,-0.1132346708938714,0.028227965263869725,0.998079607322854,3.0447796806255663,0.0101212615301613,87.9091494734722,1.7581829894694438,26.75944915791268,0.015335413519335426,0.0101212615301613,26.75944915791268,-0.8813795271370134,0.0014789949141422731,-0.0014789949141422992,-1.7790827937848661,-0.03558165587569695,11.879154313641902,-0.004895473484171095,0.0004314411420454009,11.929780869130862
1be4435b-479c-451a-8a79-aebb2c8e901d,hartmann_3,value,logei,11,exact,False,slip,0.05,20,50,0,21,22,0.005896239552897264,3.04645711806412,0.0084438240916075,48.16508579786974,0.9633017159573948,26.905666042646892,0.008443824091607498,0.0084438240916075,26.905666042646892,"x0,x1,x2",0.0,0.0012616303798536066,-0.005759681384397974,0.998079607322854,3.0447796806255663,0.0101212615301613,87.9091494734722,1.7581829894694438,26.75944915791268,0.015335413519335426,0.0101212615301613,26.75944915791268,-0.9921833677699566,0.0016774374385537527,-0.0016774374385537996,-39.744063675602455,-0.7948812735120491,0.14621688473421202,-0.006891589427727928,-0.0016774374385537996,0.14621688473421202
93a754a1-cf9f-4151-b9c2-b1d00c915d9a,hartmann_3,value,logei,11,exact,False,slip,0.15,20,50,0,21,22,0.08891895832989105,2.1782207612027573,0.8766801809529703,93.73495241712251,1.8746990483424504,59.91297714598272,0.9333363086508908,1.11632081648988,65.06525081002628,"x0,x1,x2",0.0,0.0,0.08891895832989105,0.998079607322854,3.0447796806255663,0.0101212615301613,87.9091494734722,1.7581829894694438,26.75944915791268,0.015335413519335426,0.0101212615301613,26.75944915791268,-0.9091606489929629,-0.8665589194228089,0.8665589194228089,5.8258029436503165,0.11651605887300653,33.15352798807004,0.9180008951315554,1.1061995549597186,38.3058016521136
bf621747-39be-4545-a283-e217feea1303,hartmann_3,value,logei,11,exact,False,slip,0.4,20,50,0,21,22,0.1286528301235603,2.005762469645995,1.0491384725097328,147.61378453103382,2.9522756906206764,72.04657695611463,1.2434196005844993,3.691891765268929,91.86722665180861,"x0,x1,x2",0.0,-0.036751581054639826,0.12329181639016396,0.998079607322854,3.0447796806255663,0.0101212615301613,87.9091494734722,1.7581829894694438,26.75944915791268,0.015335413519335426,0.0101212615301613,26.75944915791268,-0.8694267771992936,-1.0390172109795714,1.0390172109795714,59.70463505756162,1.1940927011512326,45.28712779820195,1.228084187065164,3.681770503738768,65.10777749389592
6e4280d2-6e4c-414e-81ef-917b6bde6a61,hartmann_3,value,logei,7,exact,False,slip,0.01,0,50,0,1,2,0.7252271835108848,3.045880727093549,0.0090202150621787,57.54666616648885,1.150933323329777,11.714879920623659,0.23907918205354406,0.0124525346039616,12.307733729847412,"x0,x1,x2",-0.39988827661407517,-0.5970475160583502,0.09786775515106838,0.7252271835108848,3.0541221192516605,0.000778822904067,64.77024534973484,1.295404906994697,12.645508856865638,0.25807160932378853,0.000778822904067,12.645508856865638,0.0,-0.008241392158111704,0.0082413921581117,-7.223579183245988,-0.14447158366491997,-0.9306289362419786,-0.018992427270244472,0.0116737116998946,-0.3377751270182259
