iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,noise_effort,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,0.7775340829201788,-0.1711665843417412,-0.6707296925190267,True,-0.4995631081772855,logei,0.0,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,-0.1711665843417412,3.7065791281286,3.7065791281286,3.7065791281286,3.7065791281286,-0.1711665843417412,3.7065791281286,yerkes_dodson
2,0.7160746296035653,0.9153801204905075,0.8603936491828846,0.9182376290487624,-1.4871070437632754,-2.795603496512297,True,-1.3084964527490215,logei,0.0,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,-0.1711665843417412,5.022519587550134,8.729098715678735,3.7065791281286,4.364549357839367,-0.1711665843417412,3.7065791281286,yerkes_dodson
3,0.026587734467597213,0.4372480001295087,0.48494432697728806,0.06515419737010752,0.6092236690021531,-0.16142453179992378,True,-0.7706482008020769,logei,0.0,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,0.6092236690021531,2.926188874784706,11.655287590463441,2.926188874784706,3.885095863487814,0.6092236690021531,2.926188874784706,yerkes_dodson
4,0.005626050679392924,0.830621436971257,0.9833022442861755,0.7846098526726796,-1.7545133720092059,-1.494338214581775,True,0.2601751574274309,logei,0.0,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,0.6092236690021531,5.289925915796065,16.945213506259506,2.926188874784706,4.2363033765648765,0.6092236690021531,2.926188874784706,yerkes_dodson
5,0.31560348997827314,0.7053337045894538,0.2991810731982467,0.7407484828757487,0.06061560326276627,1.3126355711362683,True,1.252019967873502,logei,0.0,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,0.6092236690021531,3.4747969405240924,20.4200104467836,2.926188874784706,4.08400208935672,0.06061560326276627,3.4747969405240924,yerkes_dodson
6,0.48128266666626923,0.39021170851592996,0.1936875577484848,0.7641174029264991,0.836795606486433,1.9282862761940167,True,1.0914906697075837,logei,0.42250240000430495,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,0.836795606486433,2.6986169373004256,23.118627384084025,2.6986169373004256,3.853104564014004,0.836795606486433,2.6986169373004256,yerkes_dodson
7,0.9813621436476995,0.711004984981069,0.07535365319725909,1.0,-1.5615485692371491,-1.8250310544980526,True,-0.26348248526090345,logei,0.23489359999075532,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,0.836795606486433,5.096961113024008,28.215588497108033,2.6986169373004256,4.030798356729719,0.836795606486433,2.6986169373004256,yerkes_dodson
8,0.39598902248354917,0.14046747347555844,0.036356250443798824,0.7175983408617018,-0.42786647727987,-1.095150276067915,True,-0.6672837987880451,logei,0.22370840003713965,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,0.836795606486433,3.963279021066729,32.17886751817476,2.6986169373004256,4.022358439771845,0.836795606486433,2.6986169373004256,yerkes_dodson
9,0.44716220014096075,0.2608884031782201,0.24844990520711419,0.7083965344229188,0.48680846986740856,0.07518129492776182,True,-0.41162717493964673,logei,0.2653143999632448,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,0.836795606486433,3.04860407391945,35.22747159209421,2.6986169373004256,3.91416351023269,0.836795606486433,2.6986169373004256,yerkes_dodson
10,0.411995148578913,0.518072716219449,0.15643767840104034,0.7557805366026074,0.9035211505927513,-0.7094446359524907,True,-1.612965786545242,logei,0.35626030003186315,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,0.9035211505927513,2.6318913931941075,37.85936298528832,2.6318913931941075,3.7859362985288323,0.836795606486433,2.6986169373004256,yerkes_dodson
11,0.6158878439300647,0.3332350013726351,0.204042710633266,0.8314412600093037,0.011518182561147703,-0.15245186234109356,True,-0.16397004490224126,logei,0.46901890001026914,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,0.9035211505927513,3.523894361225711,41.38325734651403,2.6318913931941075,3.762114304228548,0.836795606486433,2.6986169373004256,yerkes_dodson
12,0.1637030179503795,0.6570770244647713,0.35311185421614977,0.8746646730166654,-0.25546133720229475,-0.7640155292869955,True,-0.5085541920847008,logei,0.2947474000393413,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,0.9035211505927513,3.7908738809891536,45.17413122750318,2.6318913931941075,3.7645109356252653,0.836795606486433,2.6986169373004256,yerkes_dodson
13,0.502264667445056,0.49875733349195317,0.16412422375461483,0.8020756106755597,1.005577331501461,0.5140439377572907,True,-0.49153339374417016,logei,0.49893350002821535,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,1.005577331501461,2.5298352122853975,47.70396643978858,2.5298352122853975,3.6695358799837368,0.836795606486433,2.6986169373004256,yerkes_dodson
14,0.50298830268044,0.3899040425408031,0.3712327999275844,0.6893231088091059,1.9871649910227744,2.0079632511089547,True,0.020798260086180242,logei,0.5558299999684095,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,1.9871649910227744,1.5482475527640842,49.25221399255266,1.5482475527640842,3.518015285182333,1.9871649910227744,1.5482475527640842,yerkes_dodson
15,0.5019849007430012,0.7224493792763111,0.3824796015755275,0.623830698605945,1.8080648062109097,1.0371143236947558,True,-0.770950482516154,logei,0.2686029999749735,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,1.9871649910227744,1.727347737575949,50.97956173012861,1.5482475527640842,3.3986374486752404,1.9871649910227744,1.5482475527640842,yerkes_dodson
16,0.48890839708832384,0.2710387933597375,0.3089870763021163,0.7127638953482183,0.8730714216278163,1.500126900664718,True,0.6270554790369017,logei,0.5002231999533251,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,1.9871649910227744,2.6623411221590425,53.64190285228765,1.5482475527640842,3.352618928267978,1.9871649910227744,1.5482475527640842,yerkes_dodson
17,0.4862228425529836,0.4747923267394891,0.26276793256100667,0.6973282010013632,1.6794696926939956,2.149114431366648,True,0.46964473867265255,logei,0.36369339999509975,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,1.9871649910227744,1.855942851092863,55.49784570338051,1.5482475527640842,3.264579159022383,1.6794696926939956,1.855942851092863,yerkes_dodson
18,0.4860723861867239,0.4605700654773729,0.6473828965786117,0.7138966235480827,2.0356855099849938,1.4186489805039693,True,-0.6170365294810245,logei,0.6607388999545947,False,1.6667,9,975f73d5-fdfc-49cb-bd32-29dac4aa90ea,gaussian,1.0,0,exact,value,learned,0.5999880002399952,"x0,x1,x2,x3",3.5354125437868587,2.0356855099849938,1.499727033801865,56.99757273718238,1.499727033801865,3.1665318187323543,1.6794696926939956,1.855942851092863,yerkes_dodson
