dataset,acquisition,error_model,jitter_std,jitter_iteration,seed,ref,trt,delta,opt_z,share_removed
ackley,logei,gaussian,0.05,0,10,5.671503634554927,-0.7330191783340965,-6.404522812889024,20.102447153853433,1.1292460034527723
ackley,logei,gaussian,0.25,0,10,1.1406099244737096,-1.0621720338643712,-2.2027819583380808,20.102447153853433,1.9312316253555917
ackley,logei,gaussian,1.0,0,10,5.942343462595161,2.316894811811469,-3.6254486507836923,20.102447153853433,0.6101041909819822
ackley,logei,gaussian,5.0,0,10,5.047368121375545,2.24001878623114,-2.807349335144405,20.102447153853433,0.5562006312270574
ackley,logei,gaussian,0.05,20,10,-0.1421615640918805,3.0973069790206225,3.239468543112503,20.102447153853433,
ackley,logei,gaussian,0.25,20,10,0.7277763743124428,2.7668120194978023,2.0390356451853595,20.102447153853433,-2.8017337703655354
ackley,logei,gaussian,1.0,20,10,6.061837588101289,3.0973069790206225,-2.9645306090806667,20.102447153853433,0.48904817491311703
ackley,logei,gaussian,5.0,20,10,9.6118435001771,3.0973069790206225,-6.514536521156478,20.102447153853433,0.6777614014456692
ackley,logei,gaussian,0.05,0,11,-1.672383505725442,-4.806730946693033,-3.1343474409675913,20.102447153853433,
ackley,logei,gaussian,0.25,0,11,2.335971246040552,-2.021111498931843,-4.357082744972395,20.102447153853433,1.8652124902468756
ackley,logei,gaussian,1.0,0,11,1.4914443886407105,-2.6363947728831363,-4.127839161523847,20.102447153853433,2.7676788976932114
ackley,logei,gaussian,5.0,0,11,10.180410480662593,1.751100226143972,-8.42931025451862,20.102447153853433,0.827993161035094
ackley,logei,gaussian,0.05,20,11,-0.0178142356856767,-1.3630149165051826,-1.3452006808195058,20.102447153853433,
ackley,logei,gaussian,0.25,20,11,0.5933733717666438,-3.2093353200664048,-3.8027086918330486,20.102447153853433,6.408627135577869
ackley,logei,gaussian,1.0,20,11,1.3727823847901357,0.8122857445131366,-0.5604966402769991,20.102447153853433,0.40829241873079913
ackley,logei,gaussian,5.0,20,11,4.980703547379283,1.3148683596167494,-3.665835187762534,20.102447153853433,0.7360075043397034
ackley,logei,gaussian,0.05,0,7,-1.1937252590922487,-0.3311113862041619,0.8626138728880868,20.102447153853433,
ackley,logei,gaussian,0.25,0,7,-0.0507604067297791,1.83270805946559,1.8834684661953691,20.102447153853433,
ackley,logei,gaussian,1.0,0,7,-2.163648384756234,1.0372625670239213,3.2009109517801555,20.102447153853433,
ackley,logei,gaussian,5.0,0,7,6.625654763083853,7.650550121892472,1.0248953588086192,20.102447153853433,-0.1546858982932564
ackley,logei,gaussian,0.05,20,7,-1.809286785561744,-0.2523105473423772,1.5569762382193668,20.102447153853433,
ackley,logei,gaussian,0.25,20,7,-0.422452099647681,0.1277131561868314,0.5501652558345124,20.102447153853433,
ackley,logei,gaussian,1.0,20,7,-0.6867199580793528,2.197325729737803,2.8840456878171556,20.102447153853433,
ackley,logei,gaussian,5.0,20,7,1.8186122271310143,6.443867813380068,4.625255586249054,20.102447153853433,-2.543288512662049
ackley,logei,gaussian,0.05,0,8,2.0332008263219468,-1.1132182815518643,-3.146419107873811,20.102447153853433,1.5475200812138525
ackley,logei,gaussian,0.25,0,8,2.011621149111024,1.0026279018156554,-1.0089932472953684,20.102447153853433,0.5015821432088556
ackley,logei,gaussian,1.0,0,8,3.464077458235474,0.9776086219327684,-2.4864688363027057,20.102447153853433,0.7177867314691222
ackley,logei,gaussian,5.0,0,8,9.81235286147199,5.420255229279384,-4.3920976321926055,20.102447153853433,0.44760901836684763
ackley,logei,gaussian,0.05,20,8,1.373274140290344,-0.2599727140562073,-1.6332468543465513,20.102447153853433,1.1893086794754926
ackley,logei,gaussian,0.25,20,8,0.9628398250821508,-1.9340771176457088,-2.8969169427278594,20.102447153853433,3.0087215622605665
ackley,logei,gaussian,1.0,20,8,0.6226924989936782,0.4829259052217214,-0.13976659377195677,20.102447153853433,0.22445523913943233
ackley,logei,gaussian,5.0,20,8,2.465987709403218,9.273487079839168,6.807499370435949,20.102447153853433,-2.760556893482409
ackley,logei,gaussian,0.05,0,9,-1.2757434194684674,-4.633979049095659,-3.358235629627192,20.102447153853433,
ackley,logei,gaussian,0.25,0,9,-1.759172646173802,-4.421490191683724,-2.6623175455099224,20.102447153853433,
ackley,logei,gaussian,1.0,0,9,5.304688386493837,2.11948439346374,-3.1852039930300964,20.102447153853433,0.6004507260294275
ackley,logei,gaussian,5.0,0,9,7.375171979823634,2.829386020995564,-4.54578595882807,20.102447153853433,0.6163633839677289
ackley,logei,gaussian,0.05,20,9,0.9741962188314784,0.4560270682677583,-0.5181691505637201,20.102447153853433,0.5318940276582573
ackley,logei,gaussian,0.25,20,9,1.7481679988233978,0.1400531965190978,-1.6081148023043,20.102447153853433,0.919885733743347
ackley,logei,gaussian,1.0,20,9,0.6851353061946241,-0.3184085952561251,-1.0035439014507492,20.102447153853433,1.4647382675761214
ackley,logei,gaussian,5.0,20,9,8.81579596820944,4.4777422045988295,-4.33805376361061,20.102447153853433,0.4920773778401889
branin,logei,gaussian,0.05,0,10,0.0016566026356179,0.0039356584405761,0.0022790558049582,1.2500554659000687,-1.3757407817404141
branin,logei,gaussian,0.25,0,10,0.0061620657538587,0.003402871811066,-0.0027591939427927,1.2500554659000687,0.4477709347818767
branin,logei,gaussian,1.0,0,10,0.010360085890633,0.0099764160303649,-0.0003836698602680995,1.2500554659000687,0.03703346326645729
branin,logei,gaussian,5.0,0,10,0.010360085890633,0.0099764160303649,-0.0003836698602680995,1.2500554659000687,0.03703346326645729
branin,logei,gaussian,0.05,20,10,0.0,0.0001128198856797,0.0001128198856797,1.2500554659000687,
branin,logei,gaussian,0.25,20,10,0.0,0.0013528629078509,0.0013528629078509,1.2500554659000687,
branin,logei,gaussian,1.0,20,10,0.0,0.0013528629078509,0.0013528629078509,1.2500554659000687,
branin,logei,gaussian,5.0,20,10,0.0,0.0013528629078509,0.0013528629078509,1.2500554659000687,
branin,logei,gaussian,0.05,0,11,-0.0259255096180766,-0.0165000642977529,0.0094254453203237,1.2500554659000687,
branin,logei,gaussian,0.25,0,11,-0.0087097787459147,0.0734789278189631,0.08218870656487781,1.2500554659000687,
branin,logei,gaussian,1.0,0,11,0.0191255262833374,0.0159456070365318,-0.0031799192468056,1.2500554659000687,0.16626571210100605
branin,logei,gaussian,5.0,0,11,0.0609483690286587,0.0950617136563976,0.03411334462773889,1.2500554659000687,-0.5597089006877012
branin,logei,gaussian,0.05,20,11,5.130103833804924e-05,0.0007585209821489,0.0007072199438108508,1.2500554659000687,-13.785684787715416
