error_model,jitter_std,jitter_iteration,n_benchmarks,mean_reference,mean_treatment,mean_delta,median_delta,share_removed,cohens_dz,wilcoxon_p,wilcoxon_p_fdr
gaussian,0.05,0,20,0.09252001720389638,-0.059927003337489404,-0.15244702054138576,0.0006929407153778085,1.6477193276501643,-0.17521782909959963,0.8983173370361328,0.9133009306692093
gaussian,0.05,20,20,0.02404088820273108,-0.06735408438750981,-0.0913949725902409,0.0,3.801647086394183,-0.22421292178314872,0.6874088693789095,0.9133009306692093
gaussian,0.25,0,20,0.2380250948952539,0.18029978340181885,-0.057725311493434996,0.02783586139331838,0.2425177543520688,-0.10753882918855964,0.2305126190185547,0.6147003173828125
gaussian,0.25,20,20,0.10801669457156396,0.0379706524857845,-0.07004604208577946,0.0005317011645897499,0.6484742230227392,-0.21458468647470605,0.9133009306692093,0.9133009306692093
gaussian,1.0,0,20,0.8460723295940236,0.6166414529141798,-0.22943087667984402,0.0019039536042984272,0.27117170560338866,-0.2390200437786849,0.8408222198486328,0.9133009306692093
gaussian,1.0,20,20,0.21080107951696653,0.5148940990425408,0.3040930195255742,0.009683505078134189,-1.4425591188734832,0.30223954905168926,0.07070932047868624,0.28283728191474494
gaussian,5.0,0,20,1.7160845978520036,1.2065754891874767,-0.5095091086645269,-0.01411257416143815,0.29690209288182623,-0.32110921099119916,0.4304332733154297,0.8608665466308594
gaussian,5.0,20,20,0.6154207622647382,0.9551462456407572,0.3397254833760188,0.00856448633445558,-0.5520214854725325,0.34408787970425203,0.05262434185535094,0.28283728191474494
