dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,variant,acquisition,n_seeds,n_acquisitions,mean_rank,mean_rank_normalized,mean_rank_absolute,mean_auc_simple_regret_excess_true,median_auc_simple_regret_excess_true,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_win
rastrigin,value,exact,gaussian,0,0.05,hold5@0.6,qnei,5,2,1.2,0.19999999999999996,1.2,-8.741623000036725,-9.932149387018633,-0.17840046938850448,69.76988361286234,0.0,True
rastrigin,value,exact,gaussian,0,0.05,hold5@0.6,logei,5,2,1.8,0.8,1.8,7.801618137683387,11.492092917316313,0.15921669668741606,79.8607730341079,0.0,False
rastrigin,value,exact,gaussian,0,0.25,hold5@0.6,qnei,5,2,1.4,0.3999999999999999,1.6,-0.9151466829986518,11.197331621299796,-0.018676462918339753,77.59635992990042,0.0,True
rastrigin,value,exact,gaussian,0,0.25,hold5@0.6,logei,5,2,1.6,0.6000000000000001,1.4,7.651954637665123,-4.932291539538625,0.15616233954418618,79.71110953408963,0.0,False
rastrigin,value,exact,gaussian,0,1.0,hold5@0.6,logei,5,2,1.4,0.3999999999999999,1.2,9.837842923358435,9.237147868083646,0.20077230455833547,81.89699781978294,0.0,True
rastrigin,value,exact,gaussian,0,1.0,hold5@0.6,qnei,5,2,1.6,0.6000000000000001,1.8,10.394374698167288,5.283572926795685,0.21213009588096515,88.90588131106635,0.0,False
rastrigin,value,exact,gaussian,0,5.0,hold5@0.6,qnei,5,2,1.4,0.3999999999999999,1.7,26.923519995748723,19.166723856119404,0.549459591749974,105.43502660864779,0.0,True
rastrigin,value,exact,gaussian,0,5.0,hold5@0.6,logei,5,2,1.6,0.6000000000000001,1.3,14.406380779695544,22.217365648858518,0.2940077710141949,86.46553567612006,0.0,False
rastrigin,value,exact,gaussian,20,0.05,hold5@0.6,qnei,5,2,1.4,0.3999999999999999,1.8,1.8029249217599812,-0.5568556944843692,0.06216982488827549,80.31443153465905,-0.2848686879758329,True
rastrigin,value,exact,gaussian,20,0.05,hold5@0.6,logei,5,2,1.6,0.6000000000000001,1.2,3.377462064467893,3.632203394930862,0.11646420911958207,75.4366169608924,0.02343393981618902,False
rastrigin,value,exact,gaussian,20,0.25,hold5@0.6,logei,5,2,1.4,0.3999999999999999,1.2,-3.4656017303037756,-3.3262246741387216,-0.11950350794150959,68.59355316612073,0.36362113346964076,True
rastrigin,value,exact,gaussian,20,0.25,hold5@0.6,qnei,5,2,1.6,0.6000000000000001,1.8,-2.0751916120962806,-6.4046708799383225,-0.07155833145159603,76.4363150008028,0.2211534227371473,False
rastrigin,value,exact,gaussian,20,1.0,hold5@0.6,qnei,5,2,1.4,0.3999999999999999,1.8,4.393558576945073,5.091329478945909,0.15150201989465786,82.90506518984415,-0.07706070159420006,True
rastrigin,value,exact,gaussian,20,1.0,hold5@0.6,logei,5,2,1.6,0.6000000000000001,1.2,4.7255380636093305,3.632203394930862,0.16294958840032148,76.78469296003384,1.4661996880202448,False
rastrigin,value,exact,gaussian,20,5.0,hold5@0.6,logei,5,2,1.3,0.30000000000000004,1.2,5.878270145266022,0.5837653050070628,0.20269897052641453,77.93742504169053,0.18125039932052517,True
rastrigin,value,exact,gaussian,20,5.0,hold5@0.6,qnei,5,2,1.7,0.7,1.8,8.708144317915288,9.85965919643695,0.30028083854880316,87.21965093081435,0.8408574636992607,False
