iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,379.1351848653667,-218.2991778943433,-0.7589797958595326,-0.7589797958595326,-0.7589797958595326,0.0,False,True,0.0,ucb,0.0,False,False,9,f4f2137d-7aa6-43ff-8d85-fed32f9952c1,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,-0.7589797958595326,3.9640253269145913,3.9640253269145913,3.9640253269145913,3.9640253269145913,-0.7589797958595326,3.9640253269145913,eggholder
2,105.62370565279934,284.1949009102631,0.9657300948112961,0.9657300948112961,0.9657300948112961,0.0,False,True,0.0,ucb,0.0,False,False,9,f4f2137d-7aa6-43ff-8d85-fed32f9952c1,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.9657300948112961,2.2393154362437624,6.203340763158353,2.2393154362437624,3.1016703815791766,0.9657300948112961,2.2393154362437624,eggholder
3,221.26042071405084,425.3492433822797,-1.4386092571271623,-1.4386092571271623,-1.4386092571271623,0.0,False,True,0.0,ucb,0.0,False,False,9,f4f2137d-7aa6-43ff-8d85-fed32f9952c1,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.9657300948112961,4.643654788182221,10.846995551340575,2.2393154362437624,3.6156651837801914,0.9657300948112961,2.2393154362437624,eggholder
4,369.04309676327387,428.2753321459327,-0.13131650356244426,-0.13131650356244426,-0.13131650356244426,0.0,False,True,0.0,ucb,0.0,False,False,9,f4f2137d-7aa6-43ff-8d85-fed32f9952c1,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.9657300948112961,3.336362034617503,14.183357585958078,2.2393154362437624,3.5458393964895194,0.9657300948112961,2.2393154362437624,eggholder
5,-484.77415990518045,-64.25804786738308,-0.5776674838730664,-0.5776674838730664,-0.5776674838730664,0.0,False,True,0.0,ucb,0.0,False,False,9,f4f2137d-7aa6-43ff-8d85-fed32f9952c1,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.9657300948112961,3.782713014928125,17.9660706008862,2.2393154362437624,3.5932141201772403,0.9657300948112961,2.2393154362437624,eggholder
6,58.729806008196235,227.17022520922833,-0.7552726469418054,,-0.7552726469418054,0.0,False,True,,ucb,0.23647850000998005,False,True,9,f4f2137d-7aa6-43ff-8d85-fed32f9952c1,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.9657300948112961,3.9603181779968644,21.926388778883066,2.2393154362437624,3.654398129813844,0.9657300948112961,2.2393154362437624,eggholder
7,58.73272297156675,227.06182552776033,-0.7549202300936102,-0.7549202300936102,-0.7549202300936102,0.0,False,True,0.0,ucb,0.2829087999998592,False,False,9,f4f2137d-7aa6-43ff-8d85-fed32f9952c1,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.9657300948112961,3.959965761148669,25.886354540031736,2.2393154362437624,3.698050648575962,0.9657300948112961,2.2393154362437624,eggholder
8,129.40690442501275,313.34668915953057,1.383936408552321,1.383936408552321,1.383936408552321,0.0,False,True,0.0,ucb,0.33421409997390583,False,False,9,f4f2137d-7aa6-43ff-8d85-fed32f9952c1,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.383936408552321,1.8211091225027378,27.707463662534472,1.8211091225027378,3.463432957816809,1.383936408552321,1.8211091225027378,eggholder
9,137.54735275428212,86.55441508127758,0.8522194065452097,0.8522194065452097,0.8522194065452097,0.0,False,True,0.0,ucb,0.24321360001340508,False,False,9,f4f2137d-7aa6-43ff-8d85-fed32f9952c1,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.383936408552321,2.352826124509849,30.060289787044322,1.8211091225027378,3.3400321985604804,1.383936408552321,1.8211091225027378,eggholder
10,212.7025844820532,290.0310392886844,0.1903719630162775,0.1903719630162775,0.1903719630162775,0.0,False,True,0.0,ucb,0.24106919998303056,False,False,9,f4f2137d-7aa6-43ff-8d85-fed32f9952c1,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.383936408552321,3.014673568038781,33.074963355083106,1.8211091225027378,3.3074963355083105,1.383936408552321,1.8211091225027378,eggholder
