dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_x0,delta_excess_x1,delta_excess_x2,delta_excess_x3,delta_excess_x4,delta_excess_x5,delta_excess_x6,delta_excess_x7,delta_excess_x8,delta_excess_x9,delta_excess_x10,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
iso_levy_10,composite,random,gradient_boosting,gaussian,0.23708,0,11,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,random,gradient_boosting,gaussian,0.948321,0,11,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,random,gradient_boosting,gaussian,4.741603,0,11,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,sobol,gradient_boosting,gaussian,0.23708,0,11,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,sobol,gradient_boosting,gaussian,0.948321,0,11,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,sobol,gradient_boosting,gaussian,4.741603,0,11,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,logei,gradient_boosting,gaussian,0.23708,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09494434517813,10.584825750280814,0.21169651500561626,-2.114904407509684
iso_levy_10,composite,logei,gradient_boosting,gaussian,0.948321,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5128320789832215,2.1672701614979673,0.04334540322995917,5.949096253875979
iso_levy_10,composite,logei,gradient_boosting,gaussian,4.741603,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0270209323129276,47.46659982781776,0.9493319965563551,16.87790356121789
iso_levy_10,composite,qnei,gradient_boosting,gaussian,0.23708,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037143984133649166,-5.875305258467236,-0.11750610516934445,0.9593304698073553
