iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,2.7339685059847834,0.9010628369925916,1.8948457972282609,2.4426953628177106,2.2496147957845927,0.595848047753563,0.595848047753563,False,0.0,logei,0.0,False,9,c5da2fc6-d37e-403a-9a97-8f388663ffcd,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,7.451873118935415,7.451873118935415,7.451873118935415,7.451873118935415,0.595848047753563,7.451873118935415,michalewicz
2,2.8757514617751183,2.703006367468264,2.8847285896693013,0.08352783127899953,1.3736551050036934,0.19303114101745533,0.19303114101745533,False,0.0,logei,0.0,False,9,c5da2fc6-d37e-403a-9a97-8f388663ffcd,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,7.854690025671523,15.306563144606939,7.451873118935415,7.653281572303469,0.595848047753563,7.451873118935415,michalewicz
3,1.5234975350318947,0.20468794780846922,0.017674759483104676,2.6094742043030985,3.089135106907805,-1.0527126446734347,-1.0527126446734347,False,0.0,logei,0.0,False,9,c5da2fc6-d37e-403a-9a97-8f388663ffcd,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,9.100433811362413,24.40699695596935,7.451873118935415,8.135665651989784,0.595848047753563,7.451873118935415,michalewicz
4,2.46492454909066,0.9914976055630428,2.215871184667501,0.939905061652722,2.327129991960237,1.006504808815746,1.006504808815746,False,0.0,logei,0.0,False,9,c5da2fc6-d37e-403a-9a97-8f388663ffcd,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.041216357873232,31.448213313842583,7.041216357873232,7.862053328460646,1.006504808815746,7.041216357873232,michalewicz
5,0.8788518104233879,2.4585818703609696,3.1030790740952976,3.0983597811058523,2.7735945546061833,-1.0537215195984087,-1.0537215195984087,False,0.0,logei,0.0,False,9,c5da2fc6-d37e-403a-9a97-8f388663ffcd,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101442686287387,40.54965600012997,7.041216357873232,8.109931200025994,1.006504808815746,7.041216357873232,michalewicz
6,2.783216579417158,0.2939561228388883,2.470940316932637,0.0,2.389808193395282,-1.0538807695924006,-1.0538807695924006,False,0.0,logei,0.5847822000505403,False,9,c5da2fc6-d37e-403a-9a97-8f388663ffcd,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101601936281378,49.65125793641135,7.041216357873232,8.275209656068558,1.006504808815746,7.041216357873232,michalewicz
7,2.4100749238759867,1.2176555373158662,2.3270575149537116,0.7754795691866254,2.273055400204493,0.09269869049077069,0.09269869049077069,False,0.0,logei,0.9639726000023074,False,9,c5da2fc6-d37e-403a-9a97-8f388663ffcd,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.955022476198208,57.60628041260956,7.041216357873232,8.229468630372795,1.006504808815746,7.041216357873232,michalewicz
8,2.053554025689029,0.9041424940080459,2.4483000896827796,0.0,2.537340616678082,-0.035999357157927576,-0.035999357157927576,False,0.0,logei,1.5308720000321046,False,9,c5da2fc6-d37e-403a-9a97-8f388663ffcd,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,8.083720523846907,65.69000093645647,7.041216357873232,8.211250117057059,1.006504808815746,7.041216357873232,michalewicz
9,2.699024729751378,0.9511627056857909,2.145989696557204,0.5258174597159376,2.2303707349138717,1.017027599910294,1.017027599910294,False,0.0,logei,2.162094499974046,False,9,c5da2fc6-d37e-403a-9a97-8f388663ffcd,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.017027599910294,7.030693566778684,72.72069450323515,7.030693566778684,8.080077167026127,1.017027599910294,7.030693566778684,michalewicz
10,2.159740368977,0.9463875308898919,2.1167536542233427,1.6692267623320338,1.9387093146984171,0.6829801598585434,0.6829801598585434,False,0.0,logei,1.0444697000202723,False,9,c5da2fc6-d37e-403a-9a97-8f388663ffcd,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.017027599910294,7.364741006830435,80.0854355100656,7.030693566778684,8.008543551006559,1.017027599910294,7.030693566778684,michalewicz
11,2.849180484021308,1.0175906588349806,2.1784019342557253,1.5074458119954994,1.67674878629897,1.184628857287119,1.184628857287119,False,0.0,logei,2.4057101999642327,False,9,c5da2fc6-d37e-403a-9a97-8f388663ffcd,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.184628857287119,6.863092309401859,86.94852781946746,6.863092309401859,7.9044116199515875,1.184628857287119,6.863092309401859,michalewicz
12,2.9994250587254774,1.0381156138556973,1.9671736761752208,0.0,2.3299307919227616,-1.052389605513836,-1.052389605513836,False,0.0,logei,1.6487872999859974,False,9,c5da2fc6-d37e-403a-9a97-8f388663ffcd,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.184628857287119,9.100110772202815,96.04863859167027,6.863092309401859,8.004053215972522,1.184628857287119,6.863092309401859,michalewicz
