iteration,x0,x1,x2,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,min_distance_redirect,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.3071663307112894,1.472526713374422,True,1.1653603826631325,pi,0.0,False,False,10,74f498aa-ea6c-4d7a-92df-9163caa130f0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,0.3071663307112894,2.747734611444438,2.747734611444438,2.747734611444438,2.747734611444438,0.3071663307112894,2.747734611444438,hartmann_3
2,0.14928212308202027,0.5128046164365648,0.13591960402050662,-0.8703311095386822,0.1659309734066884,True,1.0362620829453706,pi,0.0,False,False,10,74f498aa-ea6c-4d7a-92df-9163caa130f0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.92523205169441,6.672966663138848,2.747734611444438,3.336483331569424,0.3071663307112894,2.747734611444438,hartmann_3
3,0.6890364797811311,0.841747724312279,0.4255089974049766,-0.2909134329371896,0.7873990154379895,True,1.0783124483751791,pi,0.0,False,False,10,74f498aa-ea6c-4d7a-92df-9163caa130f0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.345814375092917,10.018781038231765,2.747734611444438,3.3395936794105885,0.3071663307112894,2.747734611444438,hartmann_3
4,0.9569260034533662,0.8253329063847983,0.338215312471576,-0.8973733195280779,-0.673860168819435,True,0.22351315070864286,pi,0.0,False,False,10,74f498aa-ea6c-4d7a-92df-9163caa130f0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.9522742616838054,13.97105529991557,2.747734611444438,3.4927638249788924,0.3071663307112894,2.747734611444438,hartmann_3
5,0.5757605479445136,0.7533018647084769,0.8271039370247955,1.6562044985234257,1.298193076239512,True,-0.3580114222839137,pi,0.0,False,False,10,74f498aa-ea6c-4d7a-92df-9163caa130f0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.6562044985234257,1.398696443632302,15.369751743547871,1.398696443632302,3.073950348709574,0.3071663307112894,2.747734611444438,hartmann_3
6,0.9401949653226614,0.211054493390876,0.969329512032578,-0.22279810567694563,0.9352303215384155,True,1.1580284272153611,pi,0.24459180003032088,False,True,10,74f498aa-ea6c-4d7a-92df-9163caa130f0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.6562044985234257,3.277699047832673,18.647450791380543,1.398696443632302,3.1079084652300906,0.3071663307112894,2.747734611444438,hartmann_3
7,0.9428925968664582,0.20209275245123615,0.6989617494420004,-0.10003663005296043,0.7414278489463406,True,0.8414644789993011,pi,0.26774000003933907,False,True,10,74f498aa-ea6c-4d7a-92df-9163caa130f0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.6562044985234257,3.154937572208688,21.80238836358923,1.398696443632302,3.114626909084176,0.3071663307112894,2.747734611444438,hartmann_3
8,0.9929413185015994,0.11687777397422283,0.8629927132312696,-0.34440307744517784,0.13965112238746397,True,0.4840541998326418,pi,0.3067697999649681,False,True,10,74f498aa-ea6c-4d7a-92df-9163caa130f0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.6562044985234257,3.3993040196009057,25.201692383190135,1.398696443632302,3.150211547898767,0.3071663307112894,2.747734611444438,hartmann_3
9,0.9486358216463721,0.3830705503284114,0.805667954818521,1.8089887858958633,1.438137591611056,True,-0.3708511942848074,pi,0.2809345000423491,False,True,10,74f498aa-ea6c-4d7a-92df-9163caa130f0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.8089887858958633,1.2459121562598643,26.447604539449998,1.2459121562598643,2.9386227266055553,0.3071663307112894,2.747734611444438,hartmann_3
10,0.9590904733035026,0.802116935909362,0.8543571769030649,1.0340438074111191,0.25607210642736067,True,-0.7779717009837585,pi,0.3700910999905318,False,True,10,74f498aa-ea6c-4d7a-92df-9163caa130f0,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2",3.0549009421557276,1.8089887858958633,2.0208571347446087,28.468461674194607,1.2459121562598643,2.8468461674194607,0.3071663307112894,2.747734611444438,hartmann_3
