arm,procedure,family,k,error_model,scope,jitter_std,jitter_iteration,n_runs,n_landscapes,claim_rate,claim_rate_lo,claim_rate_hi,false_claim_rate,false_claim_rate_lo,false_claim_rate_hi,false_discovery_share,false_discovery_share_lo,false_discovery_share_hi,power,power_lo,power_hi,size,size_lo,size_hi,truly_better_share,truly_better_share_lo,truly_better_share_hi,clean_claim_rate,shipped_d_share,d_is_c_share
output-boba,confirm_k4,confirmation,4.0,ar1,cell,1.0,20.0,400,20,0.57,0.425,0.715,0.005,0.0,0.0125,0.008771929824561403,0.0,0.026885353095030495,0.6457142857142857,0.5015197568389058,0.7724959328144922,0.04,0.0,0.06818181818181818,0.875,0.7975,0.9425,0.9725,0.855,0.0
output-boba,confirm_k4,confirmation,4.0,ar1,cell,5.0,0.0,400,20,0.065,0.04,0.0925,0.0025,0.0,0.0075,0.038461538461538464,0.0,0.13636363636363635,0.1179245283018868,0.0748848410623869,0.16071652907394113,0.005319148936170213,0.0,0.01744186046511628,0.53,0.4525,0.61,0.9725,0.4925,0.02
output-boba,confirm_k4,confirmation,4.0,ar1,cell,5.0,20.0,400,20,0.185,0.09,0.2975,0.0125,0.0,0.0275,0.06756756756756757,0.0,0.1956521739130435,0.276,0.14164772727272726,0.41329101257114265,0.03333333333333333,0.0,0.07577041602465324,0.625,0.52,0.7275,0.9725,0.635,0.0025
output-boba,confirm_k4,confirmation,4.0,ar1,pooled,,,3200,20,0.6171875,0.5431171874999999,0.6846875,0.0034375,0.0009375,0.00625,0.005569620253164557,0.0014920427318488559,0.011047050552759936,0.7292981804678796,0.661797873797806,0.7854004470183261,0.021696252465483234,0.007379734018334658,0.03525735294117646,0.8415625,0.8028046875,0.8775,0.9725,0.824375,0.0034375
output-boba,confirm_k4,confirmation,4.0,bias,cell,0.05,0.0,400,20,0.9225,0.8525,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.9437340153452686,0.8882971075921468,0.9923474256114659,0.0,0.0,0.0,0.9775,0.9575,0.9925,0.9725,0.9625,0.0
output-boba,confirm_k4,confirmation,4.0,bias,cell,0.05,20.0,400,20,0.925,0.8625,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.9511568123393316,0.9038898471320346,0.9872781609640796,0.0,0.0,0.0,0.9725,0.9475,0.9925,0.9725,0.96,0.0
output-boba,confirm_k4,confirmation,4.0,bias,cell,0.25,0.0,400,20,0.7925,0.6475,0.9025624999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.8233766233766234,0.6869723949500659,0.9228841210203678,0.0,0.0,0.0,0.9625,0.9275,0.99,0.9725,0.92,0.0025
output-boba,confirm_k4,confirmation,4.0,bias,cell,0.25,20.0,400,20,0.78,0.6575,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.8275862068965517,0.7229724530624807,0.9153891820580474,0.0,0.0,0.0,0.9425,0.9,0.98,0.9725,0.925,0.0025
output-boba,confirm_k4,confirmation,4.0,bias,cell,1.0,0.0,400,20,0.4,0.28,0.5325,0.0025,0.0,0.0075,0.00625,0.0,0.024004838709677394,0.4608695652173913,0.3284632972936216,0.5955276160823066,0.01818181818181818,0.0,0.06350050658561292,0.8625,0.7925,0.9225,0.9725,0.805,0.005
output-boba,confirm_k4,confirmation,4.0,bias,cell,1.0,20.0,400,20,0.4425,0.29493749999999996,0.5975,0.0025,0.0,0.0075,0.005649717514124294,0.0,0.02174510272336356,0.5161290322580645,0.36362930547713157,0.6656911256728664,0.01694915254237288,0.0,0.04495658835546469,0.8525,0.7675,0.9275,0.9725,0.805,0.0
output-boba,confirm_k4,confirmation,4.0,bias,cell,5.0,0.0,400,20,0.065,0.0475,0.0825,0.0175,0.005,0.0325,0.2692307692307692,0.07692307692307693,0.48,0.08085106382978724,0.052862988431646434,0.1087866108786611,0.04242424242424243,0.0125,0.07386363636363637,0.5875,0.535,0.6425,0.9725,0.5,0.02
output-boba,confirm_k4,confirmation,4.0,bias,cell,5.0,20.0,400,20,0.095,0.05,0.1525,0.0275,0.015,0.0425,0.2894736842105263,0.1578689370485036,0.5454545454545454,0.14917127071823205,0.06409235668789809,0.23122898055701516,0.0502283105022831,0.025905619081650882,0.0789504283965728,0.4525,0.34493749999999995,0.5725624999999996,0.9725,0.505,0.0
output-boba,confirm_k4,confirmation,4.0,bias,pooled,,,3200,20,0.5528125,0.47811718750000004,0.62125,0.00625,0.003125,0.01,0.011305822498586773,0.0053338163296669525,0.018809269290801536,0.6614977307110439,0.5904354303437046,0.7235300080223759,0.03597122302158273,0.01845018450184502,0.05486000983465486,0.82625,0.785625,0.863765625,0.9725,0.7978125,0.00375
output-boba,confirm_k4,confirmation,4.0,drift,cell,0.05,0.0,400,20,0.9125,0.8475,0.9675,0.0,0.0,0.0,0.0,0.0,0.0,0.948051948051948,0.9010357322386059,0.9869791666666666,0.0,0.0,0.0,0.9625,0.93,0.99,0.9725,0.96,0.0025
output-boba,confirm_k4,confirmation,4.0,drift,cell,0.05,20.0,400,20,0.915,0.835,0.975,0.0025,0.0,0.0075,0.00273224043715847,0.0,0.00849918716198815,0.948051948051948,0.8915286404416839,0.9873417721518988,0.06666666666666667,0.0,0.3,0.9625,0.93,0.99,0.9725,0.9525,0.0
output-boba,confirm_k4,confirmation,4.0,drift,cell,0.25,0.0,400,20,0.7875,0.6625,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.708547816281082,0.9056122448979592,0.0,0.0,0.0,0.9625,0.9325,0.9875,0.9725,0.9425,0.0
output-boba,confirm_k4,confirmation,4.0,drift,cell,0.25,20.0,400,20,0.8025,0.6825,0.9075624999999996,0.0025,0.0,0.0075,0.003115264797507788,0.0,0.01079136690647482,0.8465608465608465,0.7520879979962505,0.9269695520017703,0.045454545454545456,0.0,0.11134920634920649,0.945,0.8975,0.9875,0.9725,0.94,0.0
output-boba,confirm_k4,confirmation,4.0,drift,cell,1.0,0.0,400,20,0.4,0.2775,0.5225624999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.46511627906976744,0.3283121086168381,0.6006042454812945,0.0,0.0,0.0,0.86,0.8175,0.9,0.9725,0.785,0.0075
output-boba,confirm_k4,confirmation,4.0,drift,cell,1.0,20.0,400,20,0.46,0.3125,0.6125624999999997,0.01,0.0,0.0225,0.021739130434782608,0.0,0.06000375939849622,0.5217391304347826,0.3647444614425746,0.673146858844268,0.07272727272727272,0.0,0.13253012048192772,0.8625,0.7875,0.935,0.9725,0.7775,0.0025
output-boba,confirm_k4,confirmation,4.0,drift,cell,5.0,0.0,400,20,0.0475,0.03,0.0675,0.0075,0.0,0.015,0.15789473684210525,0.0,0.35294117647058826,0.07766990291262135,0.04638802812704845,0.11483672248803825,0.015463917525773196,0.0,0.03483022388059699,0.515,0.4299375,0.6075,0.9725,0.5025,0.005
output-boba,confirm_k4,confirmation,4.0,drift,cell,5.0,20.0,400,20,0.105,0.045,0.175,0.015,0.005,0.0275,0.14285714285714285,0.03571428571428571,0.3930357142857133,0.18090452261306533,0.06976744186046512,0.2898550724637681,0.029850746268656716,0.009899770765253866,0.052637375376767874,0.4975,0.405,0.5975,0.9725,0.535,0.0025
