iteration,InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.6927433679651523,0.8342354002024518,0.409966082013571,0.04483817569041881,1.0445122955747959,0.98562436087411,True,-0.05888793470068587,logei,0.0,False,15,a01d6a2a-344d-4ace-8444-197653bb213e,gaussian,0.074591,0,extra_trees,composite,learned,0.005563817281000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.0445122955747959,1.3623104557479566,1.3623104557479566,1.3623104557479566,1.3623104557479566,1.0445122955747959,1.3623104557479566,provoice
2,0.571597257033731,0.2316208840512378,0.7468942391879241,0.34535650407583973,0.6177366622574962,0.6382258303423989,True,0.020489168084902643,logei,0.0,False,15,a01d6a2a-344d-4ace-8444-197653bb213e,gaussian,0.074591,0,extra_trees,composite,learned,0.005563817281000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.0445122955747959,1.7890860890652562,3.151396544813213,1.3623104557479566,1.5756982724066064,1.0445122955747959,1.3623104557479566,provoice
3,0.4570096756088713,0.9783440986511578,0.8033194249948276,0.8437900452639759,1.531560978835974,1.4598370902896847,True,-0.07172388854628942,logei,0.0,False,15,a01d6a2a-344d-4ace-8444-197653bb213e,gaussian,0.074591,0,extra_trees,composite,learned,0.005563817281000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.531560978835974,0.8752617724867784,4.026658317299991,0.8752617724867784,1.342219439099997,1.531560978835974,0.8752617724867784,provoice
4,0.5551143840748602,0.9474592263273038,0.11649323743759882,0.8891839058918612,1.6644591043173618,1.7339414522845178,True,0.06948234796715602,logei,0.0,False,15,a01d6a2a-344d-4ace-8444-197653bb213e,gaussian,0.074591,0,extra_trees,composite,learned,0.005563817281000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.6644591043173618,0.7423636470053907,4.769021964305382,0.7423636470053907,1.1922554910763454,1.6644591043173618,0.7423636470053907,provoice
5,0.3897584833499136,0.30856611509543264,0.5809548045280248,0.9446902786527566,1.4728606913338618,1.4928686358469936,True,0.020007944513131815,logei,0.0,False,15,a01d6a2a-344d-4ace-8444-197653bb213e,gaussian,0.074591,0,extra_trees,composite,learned,0.005563817281000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.6644591043173618,0.9339620599888907,5.702984024294272,0.7423636470053907,1.1405968048588544,1.6644591043173618,0.7423636470053907,provoice
6,0.867769269042515,1.0,0.1,1.0,1.6007438271604852,1.540700223208725,True,-0.06004360395176023,logei,0.19501169999421109,False,15,a01d6a2a-344d-4ace-8444-197653bb213e,gaussian,0.074591,0,extra_trees,composite,learned,0.005563817281000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.6644591043173618,0.8060789241622672,6.509062948456539,0.7423636470053907,1.0848438247427565,1.6644591043173618,0.7423636470053907,provoice
7,0.867769269042515,1.0,0.1,1.0,1.6007438271604852,1.6059975540054778,True,0.00525372684499259,logei,0.0,False,15,a01d6a2a-344d-4ace-8444-197653bb213e,gaussian,0.074591,0,extra_trees,composite,learned,0.005563817281000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.6644591043173618,0.8060789241622672,7.315141872618806,0.7423636470053907,1.0450202675169724,1.6644591043173618,0.7423636470053907,provoice
8,0.057419265574087545,1.0,0.1,0.9311457599491676,1.6788840788840724,1.750205012893848,True,0.07132093400977557,logei,0.2568720999988727,False,15,a01d6a2a-344d-4ace-8444-197653bb213e,gaussian,0.074591,0,extra_trees,composite,learned,0.005563817281000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.6788840788840724,0.72793867243868,8.043080545057487,0.72793867243868,1.0053850681321859,1.6788840788840724,0.72793867243868,provoice
9,0.057419265574087545,1.0,0.1,0.9311457599491676,1.6788840788840724,1.5603652559652406,True,-0.11851882291883187,logei,0.0,False,15,a01d6a2a-344d-4ace-8444-197653bb213e,gaussian,0.074591,0,extra_trees,composite,learned,0.005563817281000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.6788840788840724,0.72793867243868,8.771019217496168,0.72793867243868,0.9745576908329076,1.6644591043173618,0.7423636470053907,provoice
10,1.0,1.0,0.1,0.8168438887861131,1.4883529541446168,1.421400040745115,True,-0.06695291339950171,logei,0.3300576000037836,False,15,a01d6a2a-344d-4ace-8444-197653bb213e,gaussian,0.074591,0,extra_trees,composite,learned,0.005563817281000001,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",2.4068227513227525,1.6788840788840724,0.9184697971781357,9.689489014674303,0.72793867243868,0.9689489014674303,1.6644591043173618,0.7423636470053907,provoice
