delta_InterventionLightingTransparency,delta_AuditoryAlertVolume,delta_InterventionSymbolTransparency,delta_LevelOfAutonomy,delta_l2_norm,iteration,final_best_true,final_simple_regret_true,final_cum_regret_true,final_avg_regret_true,final_inference_simple_regret_true,auc_simple_regret_true,auc_inference_simple_regret_true,acq_opt_failures,acquisition,objective,jitter_std,jitter_iteration,iterations,seed,run_id,error_model,oracle_model,baseline,xi,kappa,runtime_sec,y_opt,dataset,param_columns
-0.15417457436651938,0.565706620262657,0.23152094921819044,0.1407035461285836,0.6459049600445453,0.0,1.8580445431761208,0.5446961975646192,42.07441051092054,0.8414882102184109,0.5446961975646192,35.26888231400122,35.26888231400122,0.0,logei,composite,0.0,0,50,9,59b73437-4e2b-4634-ab05-a882e9001204,none,extra_trees,True,0.01,2.0,11.562586100000772,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
-1.0,0.5806973974625164,0.0,0.0,1.1563777356122609,20.0,1.8580445431761208,0.5446961975646192,42.07441051092054,0.8414882102184109,0.5446961975646192,35.26888231400122,35.26888231400122,0.0,logei,composite,0.0,20,50,9,59b73437-4e2b-4634-ab05-a882e9001204,none,extra_trees,True,0.01,2.0,11.562586100000772,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
-0.15417457436651938,0.565706620262657,0.23152094921819044,0.1407035461285836,0.6459049600445453,0.0,1.9435888147346494,0.45915192600609056,46.4082701757192,0.928165403514384,0.45915192600609056,34.40815364218726,34.57275921177201,0.0,logei,composite,0.014918,0,50,9,bfb80467-a7c0-4fb0-a86c-045099b2502e,gaussian,extra_trees,False,0.01,2.0,13.292782300006365,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
-1.0,0.5749805781179835,0.0,0.0,1.1535175183814463,20.0,1.905728174603175,0.49701256613756506,44.256518936067074,0.8851303787213415,0.49701256613756506,36.04415707749067,36.048985019610264,0.0,logei,composite,0.014918,20,50,9,2bab44d8-b1ce-4dde-b967-d20b0f9b6611,gaussian,extra_trees,False,0.01,2.0,13.558663699994213,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
-0.15417457436651938,0.565706620262657,0.23152094921819044,0.1407035461285836,0.6459049600445453,0.0,1.6653461099085956,0.7373946308321444,40.638455805383444,0.8127691161076689,0.7373946308321444,38.812106006262816,38.98076915561345,0.0,logei,composite,0.074591,0,50,9,56c00cd9-44b8-4310-96d9-6a1645d6d4a1,gaussian,extra_trees,False,0.01,2.0,10.37305280000146,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
-1.0,0.5464240093532726,0.0,0.0,1.1395521918708706,20.0,1.8333693282026635,0.5693714125380764,43.03495695647104,0.8606991391294209,0.6923700897867575,35.41252135577772,36.22255111768251,0.0,logei,composite,0.074591,20,50,9,6cb25a02-3e98-4079-88a0-a93c4266ae08,gaussian,extra_trees,False,0.01,2.0,12.56204119999893,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
-0.15417457436651938,0.565706620262657,0.23152094921819044,0.1407035461285836,0.6459049600445453,0.0,1.7549574407074393,0.6477833000333006,47.276654047879234,0.9455330809575847,0.7398578042328057,37.16823447154707,41.52093776049125,0.0,logei,composite,0.298364,0,50,9,b5a25855-d3de-487a-8189-4740ff58f874,gaussian,extra_trees,False,0.01,2.0,10.130337800001143,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
-1.0,0.6017668233202994,0.0,0.0,1.1671003854206392,20.0,1.9669202741702752,0.4358204665704648,38.24708966055106,0.7649417932110212,0.4549091605275799,33.52241416160642,35.099537583711474,0.0,logei,composite,0.298364,20,50,9,a19abed2-d816-4b12-8291-4e9e110a9f58,gaussian,extra_trees,False,0.01,2.0,10.493474400005653,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
-0.15417457436651938,0.565706620262657,0.23152094921819044,0.1407035461285836,0.6459049600445453,0.0,1.7734856807422534,0.6292550599984865,47.69542385592011,0.9539084771184022,0.7120919607520599,35.88623334876644,50.641808036769405,0.0,logei,composite,1.49182,0,50,9,ce63d478-378e-4fa8-b68c-026c4a1384c7,gaussian,extra_trees,False,0.01,2.0,8.459219899988966,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
0.0,0.9,-0.9,0.0,1.2727922061357855,20.0,1.7269518698893649,0.6757888708513751,42.888434850663856,0.8577686970132771,0.7422323532948656,37.6632894731369,39.22918716981984,0.0,logei,composite,1.49182,20,50,9,3ad6a394-7e4f-4908-8ac4-964999396e97,gaussian,extra_trees,False,0.01,2.0,9.121719800008577,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
-0.15417457436651938,0.565706620262657,0.23152094921819044,0.1407035461285836,0.6459049600445453,0.0,1.8354742063492047,0.5672665343915353,44.9621073033762,0.899242146067524,0.5672665343915353,34.50464126342089,34.50464126342089,0.0,qnei,composite,0.0,0,50,9,c052caf8-cf6f-4d04-92c1-24701f159916,none,extra_trees,True,0.01,2.0,12.008368599999812,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
-0.5449692288578456,0.03393647055654614,-0.23128751691901164,1.0,1.1625992688447349,20.0,1.8354742063492047,0.5672665343915353,44.9621073033762,0.899242146067524,0.5672665343915353,34.50464126342089,34.50464126342089,0.0,qnei,composite,0.0,20,50,9,c052caf8-cf6f-4d04-92c1-24701f159916,none,extra_trees,True,0.01,2.0,12.008368599999812,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
-0.15417457436651938,0.565706620262657,0.23152094921819044,0.1407035461285836,0.6459049600445453,0.0,1.9633920554753899,0.4393486852653501,42.38416349137686,0.8476832698275372,0.4393486852653501,32.450321381431486,32.470454641689734,0.0,qnei,composite,0.014918,0,50,9,dfbd8cf3-e7b9-4787-9849-f75f41bf9eaf,gaussian,extra_trees,False,0.01,2.0,13.06488459999673,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
-1.0,0.03393647055654614,-0.1465403152986596,1.0,1.422190475302681,20.0,1.966304232804234,0.436436507936506,41.379702783519484,0.8275940556703897,0.436436507936506,33.84001225803083,33.84001225803083,0.0,qnei,composite,0.014918,20,50,9,30ead378-67af-4616-9dba-7c0bf0e21435,gaussian,extra_trees,False,0.01,2.0,16.462943099992117,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
-0.15417457436651938,0.565706620262657,0.23152094921819044,0.1407035461285836,0.6459049600445453,0.0,1.7934326075159432,0.6093081332247967,45.67721079253671,0.9135442158507342,0.6343668939085618,35.87714336666436,36.19928778436095,0.0,qnei,composite,0.074591,0,50,9,faef5d14-3d67-447c-9a82-980403660f7f,gaussian,extra_trees,False,0.01,2.0,13.558341300013126,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
-1.0,0.03393647055654614,-0.1430776022411873,1.0,1.421837854432397,20.0,1.8372112098427866,0.5655295308979533,45.623573105170564,0.9124714621034112,0.5655295308979533,35.637462537584526,36.637936440848534,0.0,qnei,composite,0.074591,20,50,9,d6e4359a-8969-4a30-9708-6973ba411b45,gaussian,extra_trees,False,0.01,2.0,14.688776499999221,2.40274074074074,provoice,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy"
