dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_InterventionLightingTransparency,delta_excess_AuditoryAlertVolume,delta_excess_InterventionSymbolTransparency,delta_excess_LevelOfAutonomy,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
provoice,composite,logei,extra_trees,gaussian,0.022429,0,7,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,-0.0018529957696625798,-0.3404697797285898,-0.006809395594571777,-0.037178677803681115
provoice,composite,logei,extra_trees,gaussian,0.022429,20,7,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0037838087552697353,-0.009085682689493613,0.0,0.0,0.009842095235803186,0.0017962962962964069,1.9083815328367884,0.038167630656735785,0.017064814814815588
provoice,composite,logei,extra_trees,gaussian,0.112147,0,7,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,-0.005562499999999804,3.2991625339453847,0.0659832506789077,-0.14097900132274654
provoice,composite,logei,extra_trees,gaussian,0.112147,20,7,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",-0.0017792755758816448,0.005452760873248863,0.0,0.0,0.005735714664779156,-0.0018529957696625798,1.456710690303165,0.02913421380606329,-0.04314850427350736
provoice,composite,logei,extra_trees,gaussian,0.448589,0,7,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,0.011076719576719962,-8.327174242134149,-0.16654348484268297,3.48091586151368
provoice,composite,logei,extra_trees,gaussian,0.448589,20,7,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",-0.7333014169983187,-0.7541384044965422,0.0,-1.0,1.451363393953538,-0.005701388888888603,-3.7371840388658626,-0.07474368077731725,-0.044582175925923284
provoice,composite,logei,extra_trees,gaussian,2.242944,0,7,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,0.04533134920634907,8.151912516791882,0.16303825033583763,4.650943091630584
provoice,composite,logei,extra_trees,gaussian,2.242944,20,7,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.26669858300168126,-0.5126426672353377,0.0,0.0,0.5778673190666399,0.0017962962962964069,-0.14187754058019664,-0.002837550811603917,0.017064814814815588
provoice,composite,qnei,extra_trees,gaussian,0.022429,0,7,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.0,0.0,0.0,0.0,0.0,-1.3085346975401997,-0.026170693950804014,0.08224767516434373
provoice,composite,qnei,extra_trees,gaussian,0.022429,20,7,"InterventionLightingTransparency,AuditoryAlertVolume,InterventionSymbolTransparency,LevelOfAutonomy",0.0,0.4594003507313994,-0.24307383517239933,0.0,0.5197437557080907,0.0026492920659587638,-0.6900877018731109,-0.013801754037462255,0.06225836355003089
