arm,jitter_std,jitter_iteration,n_landscapes,mean,ci_low,ci_high,share,share_lo,share_hi
proposed - actual,0.01,0,20,0.008054315899274736,-0.0001492817763782027,0.01738888080969484,0.5343913432804319,0.03410208266219264,1.0969975734884154
proposed - actual,0.01,20,20,0.009347197513946122,0.004513244702211181,0.014565929068616406,0.8460044615057266,0.648189467359607,1.4371597855412173
proposed - actual,0.05,0,20,0.026719504840913094,0.013893182777882054,0.041826309542807104,0.4903073404732567,0.345695538053109,0.6142228807384388
proposed - actual,0.05,20,20,0.009874500209546982,0.0034904600207376303,0.017474665179489188,0.3274784809538545,0.15760490258351856,0.49361866259697273
proposed - actual,0.15,0,20,0.04375606456339913,0.023911814814330207,0.06458853277779386,0.38080849327748245,0.2565710428181588,0.49064545973154483
proposed - actual,0.15,20,20,0.005254239746535714,0.0020638332037074924,0.00905206699368169,0.10437968151629548,0.04931184332707989,0.18377001452012773
proposed - actual,0.4,0,20,0.03611043037914421,0.015323834520472077,0.05919627768523948,0.15570687374548814,0.05928000166512153,0.2854180176674887
proposed - actual,0.4,20,20,0.0014186348325425377,-0.00047517904087026686,0.0032012639588184467,0.022048235080179838,-0.0077612759223385395,0.0570346047481804
