error_model,jitter_std,jitter_iteration,acquisition,mean_absolute_loss,mean_fragility
slip,0.01,0,random,0.44567711267522353,0.0038324017666380556
slip,0.01,0,sobol,0.4359028562824089,0.0014063666734117264
slip,0.01,20,random,0.3825444211128911,-0.0015863486358836088
slip,0.01,20,sobol,0.38103778246021447,0.0012478578475874813
slip,0.05,0,random,0.4427072678149731,0.0008625569063876711
slip,0.05,0,sobol,0.4367599650952626,0.0022634754862654056
slip,0.05,20,random,0.38365651282579927,-0.00047425692297544016
slip,0.05,20,sobol,0.37278389837070613,-0.00700602624192084
slip,0.15,0,random,0.4490435940003218,0.007198883091736356
slip,0.15,0,sobol,0.45213131872782164,0.017634829118824406
slip,0.15,20,random,0.37818992309685057,-0.005940846651924149
slip,0.15,20,sobol,0.37836036013400315,-0.0014295644786238638
slip,0.4,0,random,0.5016143870206408,0.05976967611205537
slip,0.4,0,sobol,0.5020716382195767,0.06757514861057953
slip,0.4,20,random,0.37562463960759385,-0.00850613014118091
slip,0.4,20,sobol,0.3754823082148508,-0.004307616397776165
