arm,jitter_std,jitter_iteration,n_landscapes,mean,ci_low,ci_high
slip,0.01,0,20,0.015071943062984988,0.001969516492238636,0.028482007773289932
slip,0.01,20,20,0.011048638558371066,0.0037238618419417556,0.01869656050593882
slip,0.05,0,20,0.054495420801007735,0.03467287524563001,0.07701479556946306
slip,0.05,20,20,0.030153126949854187,0.015617192458975176,0.046790330260706496
slip,0.15,0,20,0.11490306895942981,0.08145547331205642,0.1538139461648889
slip,0.15,20,20,0.05033776373149248,0.026000852637846003,0.07679104176385022
slip,0.4,0,20,0.2319128854784458,0.15608026647253756,0.3135396125700519
slip,0.4,20,20,0.06434233068468202,0.03535893824259877,0.0973372216229777
misclick,0.01,0,20,0.0037573818451614054,0.0013816601144077513,0.006130759728689525
misclick,0.01,20,20,0.000910126187806896,0.00043920203112340174,0.0014178354892099532
misclick,0.05,0,20,0.02828723553934584,0.020012833514214352,0.03654207778263399
misclick,0.05,20,20,0.005042537195496523,0.0022758808276873263,0.008767148155036687
misclick,0.15,0,20,0.06836144410215732,0.04790520819108116,0.09144150772827982
misclick,0.15,20,20,0.01958279463022929,0.009229274569847547,0.0313258173488194
misclick,0.4,0,20,0.13525464919847457,0.09903605574700658,0.17744616947658462
misclick,0.4,20,20,0.03543559104476616,0.01698029459109218,0.058324966504889254
slip-actual,0.01,0,20,0.00701762716371025,-0.001078093224802506,0.016372333970963153
slip-actual,0.01,20,20,0.0017014410444249437,-0.0019983442971469876,0.005408683788524726
slip-actual,0.05,0,20,0.027775915960094637,0.016262310220650056,0.03968266561881124
slip-actual,0.05,20,20,0.020278626740307205,0.009264918687821389,0.03302993615445917
slip-actual,0.15,0,20,0.07114700439603067,0.048131735582228545,0.09612656491552589
slip-actual,0.15,20,20,0.04508352398495676,0.02256919506862081,0.07013323632420274
slip-actual,0.4,0,20,0.1958024550993016,0.11967613233840466,0.2823404206813923
slip-actual,0.4,20,20,0.06292369585213949,0.03429348767873297,0.09554140377823528
