acquisition,mean_rank,mean_fragility,mean_absolute_loss,conditions
qucb,2.875,0.05607863709102792,0.2848602471830563,8
ucb,3.325,0.06296612516867091,0.2864699561829527,8
qnei,3.43125,0.0743411133866558,0.2717017049256054,8
logei,3.5375,0.07307715779340385,0.26854192675644906,8
ei,3.64375,0.07668627692665747,0.2715073444463154,8
pi,4.1875,0.08604957330328511,0.30191654547744345,8
