error_model,jitter_std,jitter_iteration,acquisition,mean_rank_fragility,mean_fragility,median_fragility,mean_absolute_loss,n_benchmarks
slip,0.01,0,qucb,2.8,-0.0015463187873375882,7.4976618175436e-05,0.28122966218951945,20
slip,0.01,0,ei,3.25,0.00919023217151387,0.0013719417273892539,0.2586516832532117,20
slip,0.01,0,ucb,3.3,0.005803628980316824,0.00036892557475729664,0.2836227366039162,20
slip,0.01,0,logei,3.4,0.012642142304760637,0.005420592854167659,0.2623058185806276,20
slip,0.01,0,qnei,3.4,0.018467711586301474,0.009697645612133416,0.26941452674637323,20
slip,0.01,0,pi,4.85,0.045874262122354716,0.02648440909490092,0.3161231035122768,20
slip,0.01,20,qucb,3.075,0.010128023229137691,0.0002845419140342958,0.18491526243633746,20
slip,0.01,20,ei,3.175,0.009134105171153024,0.0006488621994219392,0.14931478912877094,20
slip,0.01,20,ucb,3.175,0.007363086900289866,0.00041687194638315904,0.17655164130525414,20
slip,0.01,20,logei,3.325,0.00516346465410097,0.000364521463345545,0.14642932630432431,20
slip,0.01,20,qnei,3.55,0.008506783966838525,0.00046870912717218027,0.15228115188466598,20
slip,0.01,20,pi,4.7,0.025996367428706313,0.010397631764843967,0.18748147038710092,20
slip,0.05,0,qucb,2.2,0.019235637758666616,0.011073567370731036,0.3020116187355236,20
slip,0.05,0,ucb,2.45,0.022733036231401646,0.013875158075601694,0.3005521438550009,20
slip,0.05,0,logei,3.4,0.05283293085605405,0.02767493205312656,0.3024966071319211,20
slip,0.05,0,ei,4.15,0.07209226710491443,0.05085109845355514,0.32155371818661227,20
slip,0.05,0,qnei,4.15,0.06821932835922598,0.04300184656374451,0.31916614351929773,20
slip,0.05,0,pi,4.65,0.09185932449578368,0.0801144958252333,0.36210816588570577,20
slip,0.05,20,qucb,3.075,0.020885740548805855,0.0004982125007895884,0.19567297975600567,20
slip,0.05,20,qnei,3.25,0.03362481595202118,0.0027094907996173673,0.17739918386984865,20
slip,0.05,20,logei,3.375,0.029118195355873518,0.0011126915110507142,0.17038405700609688,20
slip,0.05,20,ei,3.425,0.0333515147057824,0.007328869642560163,0.17353219866340036,20
slip,0.05,20,ucb,3.525,0.023748597889642946,0.001659419506337374,0.19293715229460723,20
slip,0.05,20,pi,4.35,0.040189897246999215,0.015705298256961667,0.20167500020539383,20
slip,0.15,0,qucb,2.3,0.0784552025319806,0.06030638654038322,0.3612311835088376,20
slip,0.15,0,ucb,3.45,0.10438376269596736,0.06054080828982324,0.3822028703195667,20
slip,0.15,0,ei,3.5,0.11478290070614441,0.09526066392349888,0.3642443517878423,20
slip,0.15,0,qnei,3.7,0.11961085498725779,0.11120385837440014,0.37055767014732954,20
slip,0.15,0,logei,4.0,0.1304159559706824,0.12557627243286762,0.38007963224654945,20
slip,0.15,0,pi,4.05,0.1417697368645462,0.11477323914748071,0.41201857825446836,20
slip,0.15,20,qnei,3.05,0.04803828964419517,0.008280812647395299,0.19181265756202265,20
slip,0.15,20,logei,3.175,0.043813572387993376,0.007470927591330922,0.18507943403821667,20
slip,0.15,20,qucb,3.475,0.0531025722201995,0.009742468190247554,0.22788981142739928,20
slip,0.15,20,pi,3.55,0.05029742814400867,0.03239405942776719,0.2117825311024033,20
slip,0.15,20,ucb,3.775,0.047681006990553325,0.002450394084045478,0.2168695613955176,20
slip,0.15,20,ei,3.975,0.05909371300200487,0.03449114281194093,0.19927439695962285,20
slip,0.4,0,qucb,2.6,0.20083802848494714,0.13274164331995816,0.48361400946180416,20
slip,0.4,0,ucb,3.05,0.22104464656968892,0.14189538098622537,0.49886375419328816,20
slip,0.4,0,pi,3.1,0.22006443353146432,0.15636535939610405,0.4903132749213864,20
slip,0.4,0,qnei,3.65,0.23943807069821715,0.18831327123144093,0.49038488585828893,20
slip,0.4,0,ei,4.15,0.25403063968364575,0.20456804117726313,0.5034920907653436,20
slip,0.4,0,logei,4.45,0.25606149390271166,0.2036088558435234,0.5057251701785788,20
slip,0.4,20,qnei,2.7,0.05882305189918918,0.012548252538135535,0.20259741981701668,20
slip,0.4,20,logei,3.175,0.05456950691505413,0.009307042368300216,0.1958353685652775,20
slip,0.4,20,qucb,3.475,0.06753021074182355,0.030825182775311308,0.24231744994902335,20
slip,0.4,20,ei,3.525,0.06181484286810107,0.026403517491929217,0.20199552682571903,20
slip,0.4,20,ucb,3.875,0.07097123509150638,0.024939694628778333,0.24015978949647065,20
slip,0.4,20,pi,4.25,0.07234513659241779,0.06695954238363223,0.23383023955081245,20
