model,term,coefficient,ci_low,ci_high,p_bootstrap,bootstrap_reps_used,r_squared,n_cells,n_clusters,p_fdr
primary,const,0.8741805091380085,0.4067020051248497,1.1551977659604231,0.001,2000,0.6762615996766506,160,20,
primary,log_noise,0.3850906760040087,0.1328995719002492,0.6994390598892799,0.0005,2000,0.6762615996766506,160,20,0.0025
primary,dim,-0.033872538244805864,-0.8135761389850961,0.33872991435352556,0.886,2000,0.6762615996766506,160,20,0.946
primary,log_opt_z,1.2022817886808668,0.20971714549173873,1.5364819112741854,0.001,2000,0.6762615996766506,160,20,0.0025
primary,ruggedness,-0.001352164848372413,-0.6376553504142467,0.6394056410111989,0.946,2000,0.6762615996766506,160,20,0.946
primary,log_tail_ratio,0.36458514731369607,0.005995010326636376,0.8085879892671258,0.047,2000,0.6762615996766506,160,20,0.07833333333333334
primary,onset_20,-0.3161637992851509,-0.472019974438922,-0.1750744790806889,0.0005,2000,0.6762615996766506,160,20,
sensitivity,const,0.8741805091380092,0.4023916886883646,1.1722150554237334,0.0005,2000,0.7411434129671636,160,20,
sensitivity,log_noise,0.38509067600401,0.13289957190025142,0.6994390598892801,0.0005,2000,0.7411434129671636,160,20,0.0035
sensitivity,dim,-0.009070796679516897,-0.40279288176802197,0.42973025338820064,0.776,2000,0.7411434129671636,160,20,0.895
sensitivity,log_opt_z,2.2140028625308164,-0.10368591060502785,3.1525271798548924,0.074,2000,0.7411434129671636,160,20,0.259
sensitivity,ruggedness,0.0934556337111409,-0.27511835219322206,0.6260716872557951,0.491,2000,0.7411434129671636,160,20,0.6874
sensitivity,log_tail_ratio,0.2295640981402554,-0.07487236917361458,0.6590938446063221,0.157,2000,0.7411434129671636,160,20,0.34650000000000003
sensitivity,log_sparsity,0.9464613315280537,-0.19942563225981225,1.54695764765149,0.198,2000,0.7411434129671636,160,20,0.34650000000000003
sensitivity,skew,-0.2177275052281141,-1.2113357765655568,0.8421905424406049,0.895,2000,0.7411434129671636,160,20,0.895
sensitivity,onset_20,-0.31616379928515326,-0.47201997443892507,-0.17507447908068863,0.0005,2000,0.7411434129671636,160,20,
