model,term,coefficient,ci_low,ci_high,p_bootstrap,bootstrap_reps_used,r_squared,n_cells,n_clusters
mediator_only,const,0.5874430240989998,0.17270530740557735,1.0875427113606184,0.0005,2000,0.12212261211279163,40,20
mediator_only,frag_at_c,-0.4126731462982025,-1.051770959828653,-0.0373719446975491,0.015,2000,0.12212261211279163,40,20
mediator_only,onset_20,-0.11029685262181477,-0.2505216152541982,-0.011454675727111544,0.021,2000,0.12212261211279163,40,20
descriptors_only,const,0.5874430240989988,,,,0,0.8012035517492083,40,20
descriptors_only,log_noise,-2.5569598609629496e-17,,,,0,0.8012035517492083,40,20
descriptors_only,dim,-0.07903297971716157,,,,0,0.8012035517492083,40,20
descriptors_only,log_opt_z,1.0481719572631394,,,,0,0.8012035517492083,40,20
descriptors_only,ruggedness,-0.13345939564654113,,,,0,0.8012035517492083,40,20
descriptors_only,log_tail_ratio,0.27753566888794506,,,,0,0.8012035517492083,40,20
descriptors_only,onset_20,-0.11029685262181316,,,,0,0.8012035517492083,40,20
both,const,0.5874430240989991,,,,0,0.8371851547504537,40,20
both,frag_at_c,0.3606205219977221,,,,0,0.8371851547504537,40,20
both,log_noise,-2.6176224948281384e-16,,,,0,0.8371851547504537,40,20
both,dim,0.06034660282796199,,,,0,0.8371851547504537,40,20
both,log_opt_z,1.2874776892282298,,,,0,0.8371851547504537,40,20
both,ruggedness,-0.17838729225823569,,,,0,0.8371851547504537,40,20
both,log_tail_ratio,0.19717103469496505,,,,0,0.8371851547504537,40,20
both,onset_20,-0.11029685262181393,,,,0,0.8371851547504537,40,20
