arm,jitter_std,jitter_iteration,n_landscapes,mean,ci_low,ci_high
evaluated,0.01,0,20,0.01666636614553693,0.0006385355106477541,0.03315922976928623
evaluated,0.01,20,20,0.015409549357812167,0.005659679071956471,0.027231411252476075
evaluated,0.05,0,20,0.064600105808879,0.03533492095169713,0.09559213894169044
evaluated,0.05,20,20,0.03898214884429866,0.01814188090963689,0.06305356353194141
evaluated,0.15,0,20,0.13368622637894895,0.08206247690572888,0.197321551455754
evaluated,0.15,20,20,0.06885929656350505,0.03498320294319877,0.10491805768934394
evaluated,0.4,0,20,0.24916943672833014,0.1574161888364308,0.34431621767504755
evaluated,0.4,20,20,0.09048547745550282,0.04872645197585896,0.13765317586556766
deployed,0.01,0,20,0.026622610158580196,0.006153463345490638,0.04776012265895573
deployed,0.01,20,20,0.024468936775319108,0.010040467236388004,0.04110850359616784
deployed,0.05,0,20,0.16445504657991195,0.09199499747170894,0.24338350787231314
deployed,0.05,20,20,0.0960789483484966,0.04892138331824838,0.14530689786478362
deployed,0.15,0,20,0.342576710674375,0.24135204911094185,0.4511522964983118
deployed,0.15,20,20,0.1335885612138541,0.07698720943534526,0.19304470276499336
deployed,0.4,0,20,0.6579262217125124,0.5323588384345763,0.7787014174137065
deployed,0.4,20,20,0.1327545751041354,0.07836527992937266,0.18791612047403325
