arm,jitter_std,jitter_iteration,n_landscapes,mean,ci_low,ci_high
floor,0.01,0,20,0.0026193842200248917,-0.002930519661643506,0.009073961413376635
floor,0.01,20,20,-0.0001692453941480636,-0.0015048932611677588,0.0011145069704262827
floor,0.05,0,20,0.0015630161963265375,-0.01334160244797605,0.014432311321836996
floor,0.05,20,20,-0.0037401415824481407,-0.009594036027630978,0.0018789555187944719
floor,0.15,0,20,0.012416856105280382,-0.006184258708949175,0.030778397858466547
floor,0.15,20,20,-0.003685205565274006,-0.01233245289332295,0.0053697760718970445
floor,0.4,0,20,0.06367241236131746,0.0037576240949578903,0.13102357371267823
floor,0.4,20,20,-0.006406873269478537,-0.022622440199384714,0.007811873172582696
proposed,0.01,0,20,0.015071943062984988,0.001969516492238636,0.028482007773289932
proposed,0.01,20,20,0.011048638558371066,0.0037238618419417556,0.01869656050593882
proposed,0.05,0,20,0.054495420801007735,0.03467287524563001,0.07701479556946306
proposed,0.05,20,20,0.030153126949854187,0.015617192458975176,0.046790330260706496
proposed,0.15,0,20,0.11490306895942981,0.08145547331205642,0.1538139461648889
proposed,0.15,20,20,0.05033776373149248,0.026000852637846003,0.07679104176385022
proposed,0.4,0,20,0.2319128854784458,0.15608026647253756,0.3135396125700519
proposed,0.4,20,20,0.06434233068468202,0.03535893824259877,0.0973372216229777
actual,0.01,0,20,0.00701762716371025,-0.001078093224802506,0.016372333970963153
actual,0.01,20,20,0.0017014410444249437,-0.0019983442971469876,0.005408683788524726
actual,0.05,0,20,0.027775915960094637,0.016262310220650056,0.03968266561881124
actual,0.05,20,20,0.020278626740307205,0.009264918687821389,0.03302993615445917
actual,0.15,0,20,0.07114700439603067,0.048131735582228545,0.09612656491552589
actual,0.15,20,20,0.04508352398495676,0.02256919506862081,0.07013323632420274
actual,0.4,0,20,0.1958024550993016,0.11967613233840466,0.2823404206813923
actual,0.4,20,20,0.06292369585213949,0.03429348767873297,0.09554140377823528
