dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,variant,acquisition,n_seeds,n_acquisitions,mean_rank,mean_rank_normalized,mean_rank_absolute,mean_auc_simple_regret_excess_true,median_auc_simple_regret_excess_true,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_win
levy_10,value,exact,drift,0,0.05,anch5x3-detrend,logei,5,2,1.4,0.3999999999999999,1.6,0.2838179809034159,1.9292541023632275,0.005792203691906472,37.765200158634094,0.0,True
levy_10,value,exact,drift,0,0.05,anch5x3-detrend,qnei,5,2,1.6,0.6000000000000001,1.4,4.01455213614928,8.979625497998708,0.08192963543161794,36.59468237400692,0.0,False
levy_10,value,exact,drift,0,0.25,anch5x3-detrend,qnei,5,2,1.4,0.3999999999999999,1.2,-0.02703875832459559,-0.1755325242917074,-0.0005518113943795644,32.55309147953305,0.0,True
levy_10,value,exact,drift,0,0.25,anch5x3-detrend,logei,5,2,1.6,0.6000000000000001,1.8,0.8150178584125392,6.466710599863486,0.016633017518623262,38.29640003614322,0.0,False
levy_10,value,exact,drift,0,1.0,anch5x3-detrend,logei,5,2,1.4,0.3999999999999999,1.3,3.0189225101442227,6.466710599863486,0.06161066347233109,40.5003046878749,0.0,True
levy_10,value,exact,drift,0,1.0,anch5x3-detrend,qnei,5,2,1.6,0.6000000000000001,1.7,13.778985036147807,16.806744257504686,0.28120377624791437,46.359115274005454,0.0,False
levy_10,value,exact,drift,0,5.0,anch5x3-detrend,qnei,5,2,1.4,0.3999999999999999,1.2,18.1138314005703,20.574127588342048,0.3696700285830674,50.69396163842795,0.0,True
levy_10,value,exact,drift,0,5.0,anch5x3-detrend,logei,5,2,1.6,0.6000000000000001,1.8,16.116195782378963,8.967528833726519,0.3289019547424278,53.59757796010964,0.0,False
levy_10,value,exact,drift,20,0.05,anch5x3-detrend,qnei,5,2,1.4,0.3999999999999999,1.6,0.45325649464716805,0.31360751734336034,0.01562953429817815,33.033386732504816,-0.03001757847484221,True
levy_10,value,exact,drift,20,0.05,anch5x3-detrend,logei,5,2,1.6,0.6000000000000001,1.4,1.678589224648963,0.12721217408673624,0.05788238705686085,39.15997140237964,0.5541782255607203,False
