iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,imputed_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-177.18038875590582,498.97148757803575,0.44332084815357076,0.44332084815357076,0.44332084815357076,0.0,False,True,0.0,logei,0.0,False,False,,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.44332084815357076,2.761724682901488,2.761724682901488,2.761724682901488,2.761724682901488,0.44332084815357076,2.761724682901488,eggholder
2,-185.64010139083086,295.47411027970963,0.40041572224414207,,0.40041572224414207,0.0,False,True,,logei,0.0,False,True,0.44332084815357076,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.44332084815357076,2.8046298088109167,5.566354491712405,2.761724682901488,2.7831772458562023,0.44332084815357076,2.761724682901488,eggholder
3,378.77402797692525,-111.52915810386537,1.222393723857696,1.222393723857696,1.222393723857696,0.0,False,True,0.0,logei,0.0,False,False,,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,1.9826518071973627,7.5490062989097675,1.9826518071973627,2.5163354329699223,1.222393723857696,1.9826518071973627,eggholder
4,-63.608961922254025,-130.30512323650248,0.46099718007714546,0.46099718007714546,0.46099718007714546,0.0,False,True,0.0,logei,0.0,False,False,,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,2.744048350977913,10.293054649887681,1.9826518071973627,2.5732636624719203,1.222393723857696,1.9826518071973627,eggholder
5,-402.47951721187906,-21.53937493737783,-1.2619283954788965,-1.2619283954788965,-1.2619283954788965,0.0,False,True,0.0,logei,0.0,False,False,,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,4.466973926533955,14.760028576421636,1.9826518071973627,2.952005715284327,1.222393723857696,1.9826518071973627,eggholder
6,489.6402995090277,-54.40652600835466,-0.5119910144340903,-0.5119910144340903,-0.5119910144340903,0.0,False,True,0.0,logei,0.2259055000031367,False,False,,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,3.717036545489149,18.477065121910783,1.9826518071973627,3.079510853651797,1.222393723857696,1.9826518071973627,eggholder
7,334.32946563674983,-134.62427807456407,0.956773928071926,0.956773928071926,0.956773928071926,0.0,False,True,0.0,logei,0.3274442999972962,False,False,,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,2.2482716029831327,20.725336724893914,1.9826518071973627,2.9607623892705592,1.222393723857696,1.9826518071973627,eggholder
8,371.63673046071364,512.0,2.66940567715526,,2.66940567715526,0.0,False,True,,logei,0.27031170000554994,False,True,-0.5119910144340903,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.66940567715526,0.5356398538997986,21.260976578793713,0.5356398538997986,2.657622072349214,1.222393723857696,1.9826518071973627,eggholder
9,376.90204143850775,-325.8034442497235,0.638436831233807,,0.638436831233807,0.0,False,True,,logei,0.27556550002191216,False,True,-0.5119910144340903,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.66940567715526,2.5666086998212516,23.827585278614965,0.5356398538997986,2.647509475401663,1.222393723857696,1.9826518071973627,eggholder
10,356.4498449957419,-56.147907108377616,0.2932098540940946,,0.2932098540940946,0.0,False,True,,logei,0.22014360001776367,False,True,-0.5119910144340903,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.66940567715526,2.911835676960964,26.73942095557593,0.5356398538997986,2.673942095557593,1.222393723857696,1.9826518071973627,eggholder
11,512.0,-115.96357020063087,-1.6930963139598034,-1.6930963139598034,-1.6930963139598034,0.0,False,True,0.0,logei,0.26089569996111095,False,False,,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.66940567715526,4.898141845014862,31.637562800590793,0.5356398538997986,2.876142072780981,1.222393723857696,1.9826518071973627,eggholder
12,378.58995784310423,-133.4290109125642,0.7024298156037331,0.7024298156037331,0.7024298156037331,0.0,False,True,0.0,logei,0.23005949996877462,False,False,,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.66940567715526,2.5026157154513258,34.14017851604212,0.5356398538997986,2.8450148763368435,1.222393723857696,1.9826518071973627,eggholder
13,342.9600469716252,-110.6698864979913,1.2739414980555037,1.2739414980555037,1.2739414980555037,0.0,False,True,0.0,logei,0.2729589999653399,False,False,,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.66940567715526,1.931104032999555,36.071282549041676,0.5356398538997986,2.774714042233975,1.2739414980555037,1.931104032999555,eggholder
14,42.9827141390104,-133.63995483908866,-0.43110335375272685,-0.43110335375272685,-0.43110335375272685,0.0,False,True,0.0,logei,0.4172466999734752,False,False,,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.66940567715526,3.6361488848077856,39.707431433849464,0.5356398538997986,2.836245102417819,1.2739414980555037,1.931104032999555,eggholder
15,354.98850619897325,-112.05790710990243,1.3751721105220613,1.3751721105220613,1.3751721105220613,0.0,False,True,0.0,logei,0.3235366999870166,False,False,,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.66940567715526,1.8298734205329974,41.53730485438246,0.5356398538997986,2.7691536569588306,1.3751721105220613,1.8298734205329974,eggholder
16,-165.13067518220086,-128.76700895745955,-0.243295571468851,,-0.243295571468851,0.0,False,True,,logei,0.3540539999958128,False,True,-0.5119910144340903,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.66940567715526,3.44834110252391,44.985645956906374,0.5356398538997986,2.8116028723066484,1.3751721105220613,1.8298734205329974,eggholder
17,-54.26692822683178,-82.37690843220716,0.03751020459116945,,0.03751020459116945,0.0,False,True,,logei,0.20624109997879714,False,True,-0.5119910144340903,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.66940567715526,3.1675353264638892,48.153181283370266,0.5356398538997986,2.8325400754923686,1.3751721105220613,1.8298734205329974,eggholder
18,-63.343284461092836,-175.33751559538734,-0.2575868074316332,,-0.2575868074316332,0.0,False,True,,logei,0.22904849995393306,False,True,-0.5119910144340903,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.66940567715526,3.462632338486692,51.61581362185696,0.5356398538997986,2.8675452012142753,1.3751721105220613,1.8298734205329974,eggholder
19,-145.10077193103044,457.5266532000354,1.3985236573485123,,1.3985236573485123,0.0,False,True,,logei,0.22903549997135997,False,True,-0.5119910144340903,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.66940567715526,1.8065218737065465,53.4223354955635,0.5356398538997986,2.8117018681875527,1.3751721105220613,1.8298734205329974,eggholder
20,-262.4260866555663,512.0,2.1284078669799675,2.1284078669799675,2.1284078669799675,0.0,False,True,0.0,logei,0.2360820000176318,False,False,,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.66940567715526,1.0766376640750912,54.498973159638595,0.5356398538997986,2.7249486579819298,2.1284078669799675,1.0766376640750912,eggholder
21,-289.36024863468236,503.5466178435839,2.3941232170989077,2.3941232170989077,2.3941232170989077,0.0,False,True,0.0,logei,0.4065887000178918,False,False,,8,a940729c-548c-4102-b26a-387fb1e6f326,missing_mcar,0.3,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.66940567715526,0.810922313956151,55.30989547359474,0.5356398538997986,2.6338045463616546,2.3941232170989077,0.810922313956151,eggholder
