iteration,x0,x1,x2,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,noise_effort,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.625095466604667,0.8972138009695755,0.7756856902451935,0.24904007775011222,0.1525797355247509,True,-0.09646034222536132,qnei,0.0,False,1.5,7,971ec268-4d1f-4428-afdb-348eba424fc7,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,0.24904007775011222,2.8058608644056156,2.8058608644056156,2.8058608644056156,2.8058608644056156,0.24904007775011222,2.8058608644056156,hartmann_3
2,0.22520718999059186,0.30016628491122543,0.8735534453962619,1.1754030797677335,1.8028201127649623,True,0.6274170329972288,qnei,0.0,False,1.5,7,971ec268-4d1f-4428-afdb-348eba424fc7,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,1.1754030797677335,1.879497862387994,4.685358726793609,1.879497862387994,2.3426793633968046,1.1754030797677335,1.879497862387994,hartmann_3
3,0.005265304565574724,0.8212284183827663,0.7970694287520462,1.1880648068824795,1.1474812916949007,True,-0.040583515187578856,qnei,0.0,False,1.5,7,971ec268-4d1f-4428-afdb-348eba424fc7,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,1.1880648068824795,1.866836135273248,6.552194862066857,1.866836135273248,2.184064954022286,1.1754030797677335,1.879497862387994,hartmann_3
4,0.4679349528437208,0.3030324268193135,0.2784256121007733,-0.26232363504763334,0.02707311244347943,True,0.28939674749111277,qnei,0.0,False,1.5,7,971ec268-4d1f-4428-afdb-348eba424fc7,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,1.1880648068824795,3.317224577203361,9.869419439270217,1.866836135273248,2.4673548598175543,1.1754030797677335,1.879497862387994,hartmann_3
5,0.2548695876541246,0.4450763058826466,0.5045482589579533,-0.3085779726034354,0.06528889417487493,True,0.3738668667783103,qnei,0.0,False,1.5,7,971ec268-4d1f-4428-afdb-348eba424fc7,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,1.1880648068824795,3.363478914759163,13.23289835402938,1.866836135273248,2.646579670805876,1.1754030797677335,1.879497862387994,hartmann_3
6,0.07038641810863887,0.24186614097025502,0.9596052330837168,0.08750665327604937,0.11240731694033287,True,0.024900663664283507,qnei,0.29411389998858795,False,1.5,7,971ec268-4d1f-4428-afdb-348eba424fc7,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,1.1880648068824795,2.967394288879678,16.20029264290906,1.866836135273248,2.7000487738181764,1.1754030797677335,1.879497862387994,hartmann_3
7,0.267064246304653,0.2954294222815545,0.908592841065498,0.9187618931423143,0.2396462815668442,True,-0.6791156115754701,qnei,0.3625702999997884,False,1.5,7,971ec268-4d1f-4428-afdb-348eba424fc7,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,1.1880648068824795,2.1361390490134133,18.33643169192247,1.866836135273248,2.61949024170321,1.1754030797677335,1.879497862387994,hartmann_3
8,0.20560633903463507,0.31689310912544916,0.8604012608006619,1.3979610323065188,3.5055261496858963,True,2.1075651173793775,qnei,0.3551159000489861,False,1.5,7,971ec268-4d1f-4428-afdb-348eba424fc7,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,1.3979610323065188,1.6569399098492088,19.993371601771678,1.6569399098492088,2.4991714502214597,1.3979610323065188,1.6569399098492088,hartmann_3
9,0.1858422589520294,0.3351334087956108,0.847520599278963,1.6167904718614716,1.9555796837899262,True,0.33878921192845457,qnei,0.42135570000391454,False,1.5,7,971ec268-4d1f-4428-afdb-348eba424fc7,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,1.6167904718614716,1.438110470294256,21.431482072065933,1.438110470294256,2.3812757857851037,1.3979610323065188,1.6569399098492088,hartmann_3
10,0.24866585938771157,0.16937887987025338,0.8571181141793944,0.0419680086684124,-0.21648036650891359,True,-0.258448375177326,qnei,0.5633152999798767,False,1.5,7,971ec268-4d1f-4428-afdb-348eba424fc7,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,1.6167904718614716,3.012932933487315,24.444415005553246,1.438110470294256,2.4444415005553246,1.3979610323065188,1.6569399098492088,hartmann_3
