iteration,x0,x1,x2,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,noise_effort,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.3071663307112894,-0.0887559924279624,True,-0.3959223231392518,logei,0.0,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,0.3071663307112894,2.747734611444438,2.747734611444438,2.747734611444438,2.747734611444438,0.3071663307112894,2.747734611444438,hartmann_3
2,0.14928212308202027,0.5128046164365648,0.13591960402050662,-0.8703311095386822,-1.5416204526048616,True,-0.6712893430661794,logei,0.0,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.92523205169441,6.672966663138848,2.747734611444438,3.336483331569424,0.3071663307112894,2.747734611444438,hartmann_3
3,0.6890364797811311,0.841747724312279,0.4255089974049766,-0.2909134329371896,-2.3729366112136856,True,-2.082023178276496,logei,0.0,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.345814375092917,10.018781038231765,2.747734611444438,3.3395936794105885,0.3071663307112894,2.747734611444438,hartmann_3
4,0.9569260034533662,0.8253329063847983,0.338215312471576,-0.8973733195280779,-1.0052967180345833,True,-0.10792339850650545,logei,0.0,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.9522742616838054,13.97105529991557,2.747734611444438,3.4927638249788924,0.3071663307112894,2.747734611444438,hartmann_3
5,0.5757605479445136,0.7533018647084769,0.8271039370247955,1.6562044985234257,2.6934095932574076,True,1.037205094733982,logei,0.0,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,1.6562044985234257,1.398696443632302,15.369751743547871,1.398696443632302,3.073950348709574,1.6562044985234257,1.398696443632302,hartmann_3
6,0.49375720259566774,0.8185715438723667,0.9147428779585561,0.9060761854080389,0.07345401522667272,True,-0.8326221701813662,logei,0.31681340001523495,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,1.6562044985234257,2.148824756747689,17.51857650029556,1.398696443632302,2.91976275004926,1.6562044985234257,1.398696443632302,hartmann_3
7,0.5839106875711222,0.7666293201379751,0.7851401606946978,1.317063539627175,1.8205986643490064,True,0.5035351247218314,logei,0.30130130000179633,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,1.6562044985234257,1.7378374025285526,19.25641390282411,1.398696443632302,2.7509162718320157,1.6562044985234257,1.398696443632302,hartmann_3
8,0.7817761587204866,0.8120123015255476,0.833278731320566,0.9789310644940874,-0.0736213907227099,True,-1.0525524552167973,logei,0.3645696999737993,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,1.6562044985234257,2.07596987766164,21.33238378048575,1.398696443632302,2.6665479725607186,1.6562044985234257,1.398696443632302,hartmann_3
9,0.5781286715748583,0.5764576155199621,0.8343700098064171,2.8672266263385393,2.1332547028731637,True,-0.7339719234653757,logei,0.36676940001780167,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,2.8672266263385393,0.1876743158171883,21.520058096302936,0.1876743158171883,2.3911175662558817,1.6562044985234257,1.398696443632302,hartmann_3
10,0.5659116788965718,1.0,0.8315930575772303,-0.3170953689531682,0.3179983265874237,True,0.6350936955405919,logei,0.3132882000063546,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,2.8672266263385393,3.3719963111088957,24.89205440741183,0.1876743158171883,2.489205440741183,1.6562044985234257,1.398696443632302,hartmann_3
11,0.5201267865717699,0.69984151969843,0.8263342920764036,2.174593724665788,2.862664036935788,True,0.6880703122699998,logei,0.21820020000450313,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,2.8672266263385393,0.8803072174899396,25.77236162490177,0.1876743158171883,2.342941965900161,2.174593724665788,0.8803072174899396,hartmann_3
12,0.48375827262179,0.7274099547392386,0.8266625843792318,1.9563274175060479,1.3421377772238055,True,-0.6141896402822424,logei,0.23221739998552948,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,2.8672266263385393,1.0985735246496797,26.87093514955145,0.1876743158171883,2.239244595795954,2.174593724665788,0.8803072174899396,hartmann_3
13,0.5469969085797884,0.6898977765572112,0.834115329522044,2.2735604788390456,2.899138873846392,True,0.6255783950073464,logei,0.23429599998053163,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,2.8672266263385393,0.781340463316682,27.65227561286813,0.1876743158171883,2.1270981240667792,2.2735604788390456,0.781340463316682,hartmann_3
14,0.5388514720896234,0.6539498462414388,0.8006768121856258,2.3288106570173137,1.8575058123869495,True,-0.47130484463036426,logei,0.2751331999897957,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,2.8672266263385393,0.7260902851384139,28.378365898006546,0.1876743158171883,2.027026135571896,2.2735604788390456,0.781340463316682,hartmann_3
15,0.5507828104212926,0.685352055201676,0.8541451119789969,2.3547091540368035,2.4736910435051582,True,0.11898188946835475,logei,0.3059654000098817,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,2.8672266263385393,0.7001917881189241,29.07855768612547,0.1876743158171883,1.9385705124083648,2.2735604788390456,0.781340463316682,hartmann_3
16,0.5471216177523603,0.7249907524616508,0.8073253068202526,1.8385599536795325,-0.7692818628949214,True,-2.607841816574454,logei,0.43047040002420545,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,2.8672266263385393,1.216340988476195,30.294898674601665,0.1876743158171883,1.893431167162604,2.2735604788390456,0.781340463316682,hartmann_3
17,0.5593992633185403,0.45419583459880375,0.8548602875428971,2.610602354468693,4.696383175474921,True,2.0857808210062276,logei,0.2638489999808371,False,1.5,10,b0711e90-a9f7-41b9-aebc-1a2e69502922,gaussian,1.0,0,exact,value,learned,0.6666666666666666,"x0,x1,x2",3.0549009421557276,2.8672266263385393,0.44429858768703445,30.739197262288698,0.1876743158171883,1.8081880742522765,2.610602354468693,0.44429858768703445,hartmann_3
