iteration,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,2.501909332093339,7.944276019391509,5.513713804903871,-5.495856200188163,-3.9966743017754913,7.471068907925236,-9.894693908688506,6.424568367655326,5.941388575040925,-0.641300943125584,-3.939351463613729,-0.44983930380907383,-0.14939378250353602,True,0.3004455213055378,qnei,0.0,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.44983930380907383,3.074319635587686,3.074319635587686,3.074319635587686,3.074319635587686,-0.44983930380907383,3.074319635587686,levy_10
2,-4.4314877579845335,-4.902608246917508,-1.0984738823470686,0.09096517915906688,1.0699470414898489,9.910005668687852,5.853238384275061,2.443584588823253,9.779202953637697,-5.693826035288021,-6.795759322843109,-0.6193893504772024,-0.875327856764326,True,-0.25593850628712356,qnei,0.0,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.44983930380907383,3.2438696822558146,6.318189317843501,3.074319635587686,3.1590946589217506,-0.44983930380907383,3.074319635587686,levy_10
3,2.250792085460615,-9.121159840772332,-9.286394424528076,0.29777640542740613,-0.675879493494218,8.343355463857044,2.5845250898202092,0.2823529319902782,-0.06253129212991482,-5.049701559453384,-9.764119489149882,0.48461625305099937,0.6661237176869009,True,0.18150746463590156,qnei,0.0,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.48461625305099937,2.139864078727613,8.458053396571113,2.139864078727613,2.8193511321903713,0.48461625305099937,2.139864078727613,levy_10
4,-6.151957120293787,3.840642417636783,-5.987865520260096,-2.609273787955866,-9.925315158958481,6.60095459603491,-6.910778378771203,-4.648013908724291,7.606643079616575,0.19581619736846356,6.943004927317386,-1.5068566253412978,-1.8519849177358416,True,-0.3451282923945438,qnei,0.0,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.48461625305099937,4.13133695711991,12.589390353691023,2.139864078727613,3.1473475884227557,0.48461625305099937,2.139864078727613,levy_10
5,2.794343338850524,4.835418947237143,-8.170087898739087,0.8228764275297742,0.15544472600699955,7.426787533857613,-2.774718819716848,1.9636813441442609,-8.814967153089928,-2.247363977785426,-3.539273074835867,1.5853975188741656,1.0628150345708307,True,-0.5225824843033349,qnei,0.0,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,1.0390828129044467,13.62847316659547,1.0390828129044467,2.725694633319094,1.5853975188741656,1.0390828129044467,levy_10
6,5.691333889389024,2.5011390312385697,-10.0,3.075388421383723,4.009677055836625,7.79019054076878,0.6547107212882097,2.923723664052521,-10.0,-3.7213283437316016,-7.706958703034594,-1.2035247813386134,-2.193387850726097,True,-0.9898630693874837,qnei,0.31878620001953095,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,3.828005113117226,17.456478279712695,1.0390828129044467,2.9094130466187824,1.5853975188741656,1.0390828129044467,levy_10
7,3.6329699237386195,4.777656385255973,-7.73066920755062,-0.22464063538542314,-1.1891889834662708,7.090497065210154,-4.741825953336701,2.0051231311168096,-8.659535516504281,-1.7276661966258466,-3.5918168426218045,1.597662815888422,1.124110715820739,True,-0.473552100067683,qnei,0.49900839998736046,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.597662815888422,1.0268175158901902,18.483295795602885,1.0268175158901902,2.640470827943269,1.597662815888422,1.0268175158901902,levy_10
8,5.501700993980986,4.415998247324146,-10.0,-1.9455270635560151,-4.940301038842851,5.947334950381838,-9.375475817803238,0.5532775880268644,-10.0,-0.2579675174086489,-2.493319623749442,-2.3562209648913797,-2.7894512795715642,True,-0.4332303146801846,qnei,0.5837088999978732,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.597662815888422,4.9807012966699915,23.463997092272876,1.0268175158901902,2.9329996365341096,1.597662815888422,1.0268175158901902,levy_10
9,6.082364530599878,3.7205251174024934,-2.382476837677335,-2.068272392767724,-0.6558500611895536,7.364580439507294,-5.979003040258281,4.935643465955954,-5.236841655563206,-2.0606912125897128,-7.484046536094387,0.6016721531712225,0.40897452778520715,True,-0.19269762538601531,qnei,0.49009259999729693,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.597662815888422,2.0228081786073897,25.486805270880268,1.0268175158901902,2.8318672523200297,1.597662815888422,1.0268175158901902,levy_10
10,-4.062329406288909,6.113888688767494,-9.45298131246996,-1.1641393606891428,-0.6234731962938391,8.849775194245828,-1.5839755922188212,0.3214826306432764,-10.0,-2.2785326333548435,1.0889742535884992,-1.0996967181109034,-1.1612039089652886,True,-0.06150719085438516,qnei,1.0072045999986585,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.597662815888422,3.7241770498895157,29.210982320769784,1.0268175158901902,2.9210982320769783,1.597662815888422,1.0268175158901902,levy_10
11,2.2699461842342568,7.068864834559791,-1.305298865469943,-0.4809680733046234,-0.8737340316286499,7.345252231850827,-4.566054921328069,4.081898560968719,-0.7696102426228323,-1.7279903091499436,-3.3045455183083767,2.0847862263182044,2.3809371985666146,True,0.29615097224841014,qnei,0.7243282000126783,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0847862263182044,0.5396941054604079,29.750676426230193,0.5396941054604079,2.7046069478391086,2.0847862263182044,0.5396941054604079,levy_10
12,2.04012548614158,9.438340983509484,3.666501307745136,3.1692334907164303,-0.8841775611745961,6.262820332221476,-2.9462298649408725,4.695086957867989,5.063492625789347,-1.529443681435806,-1.9521921301943204,0.8053973903530568,0.590083041924842,True,-0.21531434842821484,qnei,0.9474013999861199,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0847862263182044,1.8190829414255556,31.56975936765575,0.5396941054604079,2.630813280637979,2.0847862263182044,0.5396941054604079,levy_10
13,1.7701359190612669,6.849880282860694,-1.034293869286458,-2.4760601211089885,-0.4620769378169831,8.106958185805386,-5.121735353762187,4.779551264894749,-0.12797276361898896,-1.9267858216150793,-4.03802129239036,1.5887973198636482,1.7578650435976297,True,0.1690677237339815,qnei,1.0877150000014808,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0847862263182044,1.035683011914964,32.60544237957071,0.5396941054604079,2.50811095227467,2.0847862263182044,0.5396941054604079,levy_10
14,2.4629540610377267,7.415402256204187,-1.7316306748440677,2.886980011478227,-1.2539008322022331,6.293712223755136,-3.0591569013288793,2.9303550015343185,-3.1076391850099774,-1.5534345310870434,-1.9143679889387275,1.6346046111805552,1.1171705923689568,True,-0.5174340188115985,qnei,0.581826599984197,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0847862263182044,0.9898757205980571,33.59531810016877,0.5396941054604079,2.3996655785834835,2.0847862263182044,0.5396941054604079,levy_10
15,5.575710521716935,5.54108007770094,-0.9094804294271849,-1.090562277676037,1.869932584285552,7.925234672641933,-4.039760097731518,6.254767716799556,0.7756831501771236,-2.66871099563165,-7.94865390871818,1.2186811542171472,1.2794728705015714,True,0.06079171628442426,qnei,0.8858162999968044,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0847862263182044,1.405799177561465,35.00111727773023,0.5396941054604079,2.3334078185153486,2.0847862263182044,0.5396941054604079,levy_10
16,2.766741156323541,7.483251663238654,-1.31854171756029,-0.36063390029734116,-0.5499011061704339,7.6502883545785325,-4.07685928107484,10.0,4.952461014302645,-2.0729897940863653,-6.996295186355534,0.9630770537996062,0.4921181219922554,True,-0.47095893180735077,qnei,2.077113700011978,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0847862263182044,1.661403277979006,36.662520555709236,0.5396941054604079,2.2914075347318272,2.0847862263182044,0.5396941054604079,levy_10
17,2.4470636786074533,6.267677908286048,5.914211733479732,-0.570127785548996,-0.7661339834193475,7.228578200532989,-4.118730723844091,3.491006426917952,-3.4619241725211496,-1.9915120181263912,-3.5701553821711953,1.501033326306613,1.0481286205792473,True,-0.45290470572736563,qnei,1.1149836999829859,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0847862263182044,1.1234470054719994,37.78596756118124,0.5396941054604079,2.2227039741871315,2.0847862263182044,0.5396941054604079,levy_10
18,3.193504753633759,8.491819995674565,-3.9725695285308147,-0.10388600915720907,1.1246067509010191,7.627963423632614,-4.262989771039318,3.8656324785464617,6.970556309835638,-1.940133121744168,-3.562029072846677,1.814867534416648,2.1949549658215046,True,0.38008743140485657,qnei,1.0206691000203136,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0847862263182044,0.8096127973619642,38.5955803585432,0.5396941054604079,2.144198908807956,2.0847862263182044,0.5396941054604079,levy_10
19,1.8848383850040051,7.366125499240718,-2.335899954841411,0.9229942560980676,2.5800319659566204,9.127324275382941,-4.4477594516886985,5.289220721392541,-3.4492944108288706,-1.7946549874755677,0.1476039071383454,1.1419377901106538,1.6625735136564117,True,0.5206357235457579,qnei,1.1765035999997053,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0847862263182044,1.4825425416679585,40.07812290021116,0.5396941054604079,2.109374889484798,2.0847862263182044,0.5396941054604079,levy_10
20,0.08119287936165287,10.0,-1.6200605509237038,0.17483454713431046,-4.018218410339025,5.690639003089564,-4.474742350198202,3.9603931365913714,10.0,-0.9980914498833086,-2.6095461303365313,-0.008050882376952336,0.31941506506605893,True,0.3274659474430113,qnei,1.251951200014446,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0847862263182044,2.6325312141555646,42.710654114366726,0.5396941054604079,2.135532705718336,2.0847862263182044,0.5396941054604079,levy_10
21,1.0725801049317145,7.40845584511692,-2.707510329609349,1.0973010531145222,0.18164691922522236,8.22027911474087,-4.2251550590034865,4.137214436516045,-5.846803914647857,-1.5450017898608643,0.18034267232652357,1.5200844822621202,2.013441993389268,True,0.49335751112714776,qnei,0.8999151000170968,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0847862263182044,1.104395849516492,43.81504996388322,0.5396941054604079,2.086430950661106,2.0847862263182044,0.5396941054604079,levy_10
22,2.4488351552820022,-0.01946452562886807,-1.5732049452309154,-0.3440898819531355,0.39813392471865006,9.596468300468146,-5.048358694710167,3.3443506991497176,0.5016212551137381,-2.2581494364254087,-0.4255036762609799,1.1675984936077193,1.0984491234528593,True,-0.06914937015486,qnei,1.1491316999890842,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0847862263182044,1.456881838170893,45.27193180205411,0.5396941054604079,2.0578150819115506,2.0847862263182044,0.5396941054604079,levy_10
23,3.069449523013921,8.69452711546193,-2.0080826043036755,-0.5258799364203515,0.02956578538551301,10.0,-4.053224311979614,3.858731951548471,-5.725510221033023,-2.5320531518822134,-1.9387839477122992,0.2391045910835534,0.7383552352325398,True,0.49925064414898634,qnei,1.2720536999986507,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0847862263182044,2.385375740695059,47.65730754274917,0.5396941054604079,2.0720568496847465,2.0847862263182044,0.5396941054604079,levy_10
24,2.5753157019842776,5.369017053557806,-2.010655021768706,0.42555410174378466,6.690534073624042,7.52970453086753,-4.728401173936407,4.398997121678928,-7.65060060308156,-1.4702593446242453,-1.0146286474782693,1.4112824181185233,1.9983574963140418,True,0.5870750781955185,qnei,1.98736570001347,False,7,f5614d07-0de6-4fc0-9aaa-ac8662122f83,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0847862263182044,1.213197913660089,48.87050545640926,0.5396941054604079,2.036271060683719,2.0847862263182044,0.5396941054604079,levy_10
