dataset,objective,acquisition,mean_rank_normalized,mean_rank_absolute,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_wins,conditions
levy_10,value,logei,0.39999999999999997,1.625,0.13513029205335195,47.61850150461922,0.0,3,4
levy_10,value,qnei,0.6000000000000001,1.375,0.22593757899758252,44.70560299173618,0.0,1,4
