iteration,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,2.501909332093339,7.944276019391509,5.513713804903871,-5.495856200188163,-3.9966743017754913,7.471068907925236,-9.894693908688506,6.424568367655326,5.941388575040925,-0.641300943125584,-3.939351463613729,-0.44983930380907383,-0.7118850618627376,True,-0.26204575805366376,logei,0.0,False,0,7,460e86ce-b48c-4bb2-8c4f-efad0ca42d94,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.44983930380907383,3.074319635587686,3.074319635587686,3.074319635587686,3.074319635587686,-0.44983930380907383,3.074319635587686,levy_10
2,-4.4314877579845335,-4.902608246917508,-1.0984738823470686,0.09096517915906688,1.0699470414898489,9.910005668687852,5.853238384275061,2.443584588823253,9.779202953637697,-5.693826035288021,-6.795759322843109,-0.6193893504772024,-0.9668427069411778,True,-0.34745335646397535,logei,0.0,False,0,7,460e86ce-b48c-4bb2-8c4f-efad0ca42d94,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.44983930380907383,3.2438696822558146,6.318189317843501,3.074319635587686,3.1590946589217506,-0.44983930380907383,3.074319635587686,levy_10
3,2.250792085460615,-9.121159840772332,-9.286394424528076,0.29777640542740613,-0.675879493494218,8.343355463857044,2.5845250898202092,0.2823529319902782,-0.06253129212991482,-5.049701559453384,-9.764119489149882,0.48461625305099937,-0.2981738769914033,True,-0.7827901300424027,logei,0.0,False,0,7,460e86ce-b48c-4bb2-8c4f-efad0ca42d94,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.48461625305099937,2.139864078727613,8.458053396571113,2.139864078727613,2.8193511321903713,0.48461625305099937,2.139864078727613,levy_10
4,-6.151957120293787,3.840642417636783,-5.987865520260096,-2.609273787955866,-9.925315158958481,6.60095459603491,-6.910778378771203,-4.648013908724291,7.606643079616575,0.19581619736846356,6.943004927317386,-1.5068566253412978,-2.4280677977468517,True,-0.9212111724055538,logei,0.0,False,0,7,460e86ce-b48c-4bb2-8c4f-efad0ca42d94,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.48461625305099937,4.13133695711991,12.589390353691023,2.139864078727613,3.1473475884227557,0.48461625305099937,2.139864078727613,levy_10
5,2.794343338850524,4.835418947237143,-8.170087898739087,0.8228764275297742,0.15544472600699955,7.426787533857613,-2.774718819716848,1.9636813441442609,-8.814967153089928,-2.247363977785426,-3.539273074835867,1.5853975188741656,0.856860831100118,True,-0.7285366877740476,logei,0.0,False,0,7,460e86ce-b48c-4bb2-8c4f-efad0ca42d94,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,1.0390828129044467,13.62847316659547,1.0390828129044467,2.725694633319094,1.5853975188741656,1.0390828129044467,levy_10
6,7.728823588273646,8.652777465970845,-6.753567544734445,0.5825379714722208,2.710800606101048,7.1862034285558,-5.194364097224926,5.673861645335576,-10.0,-1.9012315400986823,-6.751064119820285,-1.0137407040195732,-1.9729037749298513,True,-0.9591630709102781,logei,0.67588610004168,False,0,7,460e86ce-b48c-4bb2-8c4f-efad0ca42d94,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,3.6382210357981855,17.266694202393655,1.0390828129044467,2.8777823670656093,1.5853975188741656,1.0390828129044467,levy_10
7,1.6331877666672099,7.600789868647317,-9.879188653538852,1.9534338861211624,0.5071669728070475,7.278590769206447,-2.552796343069953,1.0356420155422768,-10.0,-1.803705874569701,-0.9095483796984761,-0.8674868235579274,-1.2905859010196314,True,-0.42309907746170405,logei,0.9242668999941088,False,0,7,460e86ce-b48c-4bb2-8c4f-efad0ca42d94,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,3.49196715533654,20.758661357730194,1.0390828129044467,2.9655230511043134,1.5853975188741656,1.0390828129044467,levy_10
8,1.3439463077707745,3.831959484219824,-9.597018809165313,1.7278354386805765,0.45605737205703617,7.630634098995687,-0.922025110567553,0.8647402330777678,-10.0,-2.6580671557533413,-2.786593418053686,-0.39622125619535015,-0.8485346186705451,True,-0.452313362475195,logei,1.3996287999907508,False,0,7,460e86ce-b48c-4bb2-8c4f-efad0ca42d94,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,3.0207015879739623,23.779362945704158,1.0390828129044467,2.9724203682130197,1.5853975188741656,1.0390828129044467,levy_10
9,3.888763986916829,5.280774198909952,-7.715308426569849,0.6550868259573519,0.6157667776578212,7.3945739583596035,-3.272258719675688,2.7877941655724627,-9.284816029674184,-2.2274107592964425,-4.454114312916281,0.8821023709481189,0.564234025674587,True,-0.3178683452735319,logei,2.3444353999802843,False,0,7,460e86ce-b48c-4bb2-8c4f-efad0ca42d94,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,1.7423779608304932,25.52174090653465,1.0390828129044467,2.8357489896149612,1.5853975188741656,1.0390828129044467,levy_10
10,-0.7237690426006658,5.0295538815049365,-10.0,1.728399490495731,-1.3435700338803285,7.341816050853516,-1.7910142711376982,-1.0779125315697442,-7.440251122973558,-1.8811494524784873,0.6309871886547233,0.08182814864758557,-0.7594780661988826,True,-0.8413062148464682,logei,1.179812500020489,False,0,7,460e86ce-b48c-4bb2-8c4f-efad0ca42d94,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,2.5426521831310267,28.064393089665675,1.0390828129044467,2.8064393089665676,1.5853975188741656,1.0390828129044467,levy_10
11,3.1667159111372616,4.848739034103973,-5.35421948820856,-1.405921169135807,-2.1369327439392456,7.136854172677414,-5.716838607310968,2.6191562183946875,-3.8886226413977854,-1.5365893621627182,-3.5958877225617245,1.1146867922311539,1.1788410144307657,True,0.06415422219961187,logei,1.1035297000198625,False,1,7,460e86ce-b48c-4bb2-8c4f-efad0ca42d94,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,1.5097935395474584,29.574186629213134,1.0390828129044467,2.688562420837558,1.1146867922311539,1.5097935395474584,levy_10
12,3.0399273397952813,-0.4442644429676371,-6.479187610238513,-2.2409388819729164,-3.986295693842444,7.098942456129151,-5.189403268386867,1.2657831428439326,-4.617683050901408,-2.0526617853959257,-5.06867958203672,1.0175205276934898,1.2182376019779868,True,0.20071707428449703,logei,2.168996700027492,False,1,7,460e86ce-b48c-4bb2-8c4f-efad0ca42d94,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,1.6069598040851225,31.181146433298256,1.0390828129044467,2.598428869441521,1.0175205276934898,1.6069598040851225,levy_10
