iteration,x0,x1,objective_true,objective_observed,objective_true_f0,objective_observed_f0,objective_true_f1,objective_observed_f1,error_applied,error_magnitude_l2,error_magnitude_f0,error_magnitude_f1,acquisition,fit_time_sec,acq_opt_failed,halo_rho_hat,halo_correction_f0,halo_correction_f1,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.0,0.0,0.6353066457377853,0.5152450532296432,-0.14057507353656803,-0.003923487705513179,True,0.18190228669737307,-0.12006159250814208,0.13665158583105486,qlognehvi,0.0,False,,0.09033242775688886,0.09903247510100442,11,4646bd1f-fd1b-4970-a22a-43ba315262c5,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,0.43708540178519006,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
2,0.6014983576233575,0.028689008371944547,0.0,0.0,0.9528637770280092,0.025102983991180716,-1.334990877544373,-3.1730128869852807,True,2.0588989767070935,-0.9277607930368285,-1.8380220094409077,qlognehvi,0.0,False,,-0.10906387868626276,-0.1195679792807583,11,4646bd1f-fd1b-4970-a22a-43ba315262c5,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,0.8741708035703801,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
3,0.14792608457745593,0.9282110229603695,0.04185571956570119,0.0,0.918082012949503,1.8460522323364956,0.8027448051066717,0.09984592865842412,True,1.164128669254972,0.9279702193869926,-0.7028988764482476,qlognehvi,0.0,False,,0.17488448085122976,0.19172785925850097,11,4646bd1f-fd1b-4970-a22a-43ba315262c5,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.04185571956570119,0.3952296822194889,1.269400485789869,0.3952296822194889,0.4231334952632897,0.04185571956570119,0.3952296822194889,branincurrin
4,0.07042057615419683,0.12977394939929798,0.04185571956570119,0.0,-1.9759544073153965,-4.089893063081698,-0.6575553012843174,-1.4824293894250002,True,2.26917471818037,-2.113938655766302,-0.8248740881406829,qlognehvi,0.0,False,,-0.30241331648448283,-0.3315391823140476,11,4646bd1f-fd1b-4970-a22a-43ba315262c5,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.04185571956570119,0.3952296822194889,1.664630168009358,0.3952296822194889,0.4161575420023395,0.04185571956570119,0.3952296822194889,branincurrin
5,0.9483284532917751,0.6218835927963828,0.04185571956570119,0.0,0.08749877101183463,-0.34516468799542177,0.7351961235675336,-0.7010216502105325,True,1.4999730539166856,-0.4326634590072564,-1.4362177737780661,qlognehvi,0.0,False,,-0.03189952838773439,-0.034971818307531016,11,4646bd1f-fd1b-4970-a22a-43ba315262c5,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.04185571956570119,0.3952296822194889,2.0598598502288468,0.3952296822194889,0.41197197004576935,0.04185571956570119,0.3952296822194889,branincurrin
6,0.42646786857823704,0.8184952421582055,0.04185571956570119,0.0,-0.4954836488130681,-0.5181921274629977,0.7523913171195473,0.40840836477307496,True,0.3447317022085288,-0.022708478649929587,-0.34398295234647236,qlognehvi,0.532371899986174,False,0.0,0.0693900977129347,0.07607315882737814,11,4646bd1f-fd1b-4970-a22a-43ba315262c5,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.04185571956570119,0.3952296822194889,2.4550895324483357,0.3952296822194889,0.40918158874138927,0.04185571956570119,0.3952296822194889,branincurrin
7,0.9586829769325836,1.0,0.04185571956570119,0.0,-2.027465460506327,-2.8883322391766075,1.3504435045385657,1.0535750987097925,True,0.9106165279619421,-0.8608667786702804,-0.29686840582877316,qlognehvi,0.4298386000446044,False,0.0,-0.01760951797026917,-0.01930551622751419,11,4646bd1f-fd1b-4970-a22a-43ba315262c5,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.04185571956570119,0.3952296822194889,2.8503192146678247,0.3952296822194889,0.4071884592382607,0.04185571956570119,0.3952296822194889,branincurrin
8,0.5938525186047083,1.0,0.04185571956570119,0.0,-2.4242658326687847,-4.078260078862349,1.2083971157589142,1.7944532049569988,True,1.754753175272115,-1.6539942461935642,0.5860560891980846,qlognehvi,0.49473229999421164,False,0.0,-0.1292518574741418,-0.141700291632983,11,4646bd1f-fd1b-4970-a22a-43ba315262c5,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.04185571956570119,0.3952296822194889,3.2455488968873136,0.3952296822194889,0.4056936121109142,0.04185571956570119,0.3952296822194889,branincurrin
9,0.2615375406071586,1.0,0.04185571956570119,0.0,-0.2179317557309082,-2.265380748206373,0.8413239896285671,-0.09734484343347904,True,2.2523646585202095,-2.0474489924754646,-0.9386688330620462,qlognehvi,0.5277574000065215,False,0.0,-0.233035625703422,-0.2554796253481758,11,4646bd1f-fd1b-4970-a22a-43ba315262c5,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.04185571956570119,0.3952296822194889,3.6407785791068026,0.3952296822194889,0.40453095323408916,0.04185571956570119,0.3952296822194889,branincurrin
10,0.6546170115566166,0.901609277107288,0.04185571956570119,0.0,-2.056654024377231,-0.8815644404866356,1.115751931566642,1.307115578066062,True,1.190569433241811,1.1750895838905953,0.19136364649941995,qlognehvi,0.8139651999808848,False,0.0,0.2162422828921596,0.2370688912948984,11,4646bd1f-fd1b-4970-a22a-43ba315262c5,gaussian,1.0,0,exact,multi_objective,learned,1.0,"x0,x1",0.43708540178519006,0.04185571956570119,0.3952296822194889,4.036008261326291,0.3952296822194889,0.4036008261326291,0.04185571956570119,0.3952296822194889,branincurrin
