iteration,x0,x1,objective_true,objective_observed,objective_true_f0,objective_observed_f0,objective_true_f1,objective_observed_f1,error_applied,error_magnitude_l2,error_magnitude_f0,error_magnitude_f1,acquisition,fit_time_sec,acq_opt_failed,halo_rho_hat,halo_correction_f0,halo_correction_f1,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.3269722766055607,0.9872768433379255,0.0,0.0,-0.7839606492108031,-0.7839606492108031,0.898432863988838,0.898432863988838,False,0.0,0.0,0.0,qlognehvi,0.0,False,,9.849069711043597e-06,7.815397234949357e-06,8,476bb4d5-383e-43eb-a9a5-f655fe80d9e9,none,0.0,0,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,0.43708540178519006,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
2,0.31871083848551673,0.7885489358200289,0.0,0.0,0.09720859018893543,0.09720859018893543,0.5277137616849239,0.5277137616849239,False,0.0,0.0,0.0,qlognehvi,0.0,False,,2.37736968866395e-06,1.8864815699703199e-06,8,476bb4d5-383e-43eb-a9a5-f655fe80d9e9,none,0.0,0,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,0.8741708035703801,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
3,0.8698965116962161,0.391084806539194,0.0,0.0,0.5386704488939776,0.5386704488939776,0.05422206742128772,0.05422206742128772,False,0.0,0.0,0.0,qlognehvi,0.0,False,,-1.3523470311668998e-05,-1.0731093959283052e-05,8,476bb4d5-383e-43eb-a9a5-f655fe80d9e9,none,0.0,0,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,1.31125620535557,0.43708540178519006,0.43708540178519,0.0,0.43708540178519006,branincurrin
4,0.4378818731227988,0.37274890308935305,0.0,0.0,0.8029261443798628,0.8029261443798628,-0.5240199999397914,-0.5240199999397914,False,0.0,0.0,0.0,qlognehvi,0.0,False,,-6.834875984844753e-06,-5.423585418761079e-06,8,476bb4d5-383e-43eb-a9a5-f655fe80d9e9,none,0.0,0,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,1.7483416071407603,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
5,0.10695359647277436,0.47896545416271696,0.0,0.0,0.40978316122740577,0.40978316122740577,-0.0021683230990353184,-0.0021683230990353184,False,0.0,0.0,0.0,qlognehvi,0.0,False,,-6.539216017124225e-05,-5.188974418737668e-05,8,476bb4d5-383e-43eb-a9a5-f655fe80d9e9,none,0.0,0,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,2.1854270089259504,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
6,1.0,0.0,0.0,0.0,0.8457474482000971,0.8457474482000971,-0.9741444101404332,-0.9741444101404332,False,0.0,0.0,0.0,qlognehvi,0.4752474999986589,False,0.0,-8.268489111319813e-06,-6.561180784958674e-06,8,476bb4d5-383e-43eb-a9a5-f655fe80d9e9,none,0.0,0,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,2.6225124107111406,0.43708540178519006,0.4370854017851901,0.0,0.43708540178519006,branincurrin
7,0.0,0.0,0.0,0.0,-4.952422156524645,-4.952422156524645,1.7352759742911184,1.7352759742911184,False,0.0,0.0,0.0,qlognehvi,0.364941599953454,False,0.0,-1.9388668086946782e-05,-1.5385223924871453e-05,8,476bb4d5-383e-43eb-a9a5-f655fe80d9e9,none,0.0,0,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,3.059597812496331,0.43708540178519006,0.4370854017851901,0.0,0.43708540178519006,branincurrin
8,1.0,0.9137408012951567,0.0,0.0,-1.2134822180492348,-1.2134822180492348,1.248461360585578,1.248461360585578,False,0.0,0.0,0.0,qlognehvi,0.4685029999818653,False,0.0,-7.39402573325444e-06,-5.86727985141838e-06,8,476bb4d5-383e-43eb-a9a5-f655fe80d9e9,none,0.0,0,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,3.496683214281521,0.43708540178519006,0.4370854017851901,0.0,0.43708540178519006,branincurrin
9,0.0,0.8479191933934607,0.0,0.0,0.4217450251428751,0.4217450251428751,2.3630595672365353,2.3630595672365353,False,0.0,0.0,0.0,qlognehvi,0.5457989000133239,False,0.0,-0.00029329999313386384,-0.00023273832175020517,8,476bb4d5-383e-43eb-a9a5-f655fe80d9e9,none,0.0,0,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,3.933768616066711,0.43708540178519006,0.4370854017851901,0.0,0.43708540178519006,branincurrin
10,0.0,0.7040742697205468,0.0,0.0,-0.04533849612277519,-0.04533849612277519,2.291806481162927,2.291806481162927,False,0.0,0.0,0.0,qlognehvi,0.7115531000308692,False,0.0,0.00011237109824897456,8.916829673349957e-05,8,476bb4d5-383e-43eb-a9a5-f655fe80d9e9,none,0.0,0,exact,multi_objective,learned,1e-06,"x0,x1",0.43708540178519006,0.0,0.43708540178519006,4.370854017851901,0.43708540178519006,0.43708540178519006,0.0,0.43708540178519006,branincurrin
