arm,reference,response,jitter_std,jitter_iteration,n_landscapes,n_cells,cost,gain,price,recovered,bootstrap_draws_kept,recovered_lo,recovered_hi,wilcoxon_p,wilcoxon_p_fdr,pooled_recovered,pooled_recovered_lo,pooled_recovered_hi,pooled_price,pooled_cost,pooled_gain,pooled_wilcoxon_p,pooled_wilcoxon_p_fdr
idea-anchor-gaussian,output-boba,trajectory,0.05,0,20,200,0.009075765917774942,-0.0031166029141527526,0.0,-0.34339833600697733,0.9915,-1.8799564945252474,0.5791646412124601,0.38837623596191406,0.4656393783745549,-0.17571502447002313,-0.24560518798422568,-0.11630402449890366,0.0,0.05243163913683539,-0.009213026753932454,6.29425048828125e-05,0.0001888275146484375
idea-anchor-gaussian,output-boba,trajectory,0.05,20,20,200,-0.0016138623153786156,-0.00305869520725952,0.0,,0.2925,,,0.07586833499439012,0.15173666998878024,-0.17571502447002313,-0.24560518798422568,-0.11630402449890366,0.0,0.05243163913683539,-0.009213026753932454,6.29425048828125e-05,0.0001888275146484375
idea-anchor-gaussian,output-boba,trajectory,0.25,0,20,200,0.02470316398002961,-0.016504717198964812,0.0,-0.6681215901051161,1.0,-1.6961351452313096,-0.1203738620627241,0.0042209625244140625,0.0337677001953125,-0.17571502447002313,-0.24560518798422568,-0.11630402449890366,0.0,0.05243163913683539,-0.009213026753932454,6.29425048828125e-05,0.0001888275146484375
idea-anchor-gaussian,output-boba,trajectory,0.25,20,20,200,0.005789885002700132,-0.0024878422263327335,0.0,-0.4296876751736037,0.976,-5.846304720431213,0.4693675748687324,0.40743445607773554,0.4656393783745549,-0.17571502447002313,-0.24560518798422568,-0.11630402449890366,0.0,0.05243163913683539,-0.009213026753932454,6.29425048828125e-05,0.0001888275146484375
idea-anchor-gaussian,output-boba,trajectory,1.0,0,20,200,0.1063379595909485,-0.032736651611389236,0.0,-0.30785480309494095,1.0,-0.5122104836458189,-0.11719541434259048,0.017181396484375,0.04634230252452876,-0.17571502447002313,-0.24560518798422568,-0.11630402449890366,0.0,0.05243163913683539,-0.009213026753932454,6.29425048828125e-05,0.0001888275146484375
idea-anchor-gaussian,output-boba,trajectory,1.0,20,20,200,0.011204629009872569,-0.006416950127447,0.0,-0.5727052740249524,0.997,-1.8628188300440784,-0.24823858436715443,0.017378363446698287,0.04634230252452876,-0.17571502447002313,-0.24560518798422568,-0.11630402449890366,0.0,0.05243163913683539,-0.009213026753932454,6.29425048828125e-05,0.0001888275146484375
idea-anchor-gaussian,output-boba,trajectory,5.0,0,20,200,0.22057951909578674,-0.006220693295173685,0.0,-0.028201590613099247,1.0,-0.11863045366616234,0.04969494361442126,0.5216732025146484,0.5216732025146484,-0.17571502447002313,-0.24560518798422568,-0.11630402449890366,0.0,0.05243163913683539,-0.009213026753932454,6.29425048828125e-05,0.0001888275146484375
idea-anchor-gaussian,output-boba,trajectory,5.0,20,20,200,0.043376052812949255,-0.0031620614507398533,0.0,-0.07289878275406075,1.0,-0.13303050012351444,0.026882064483494703,0.11585149752593009,0.18536239604148813,-0.17571502447002313,-0.24560518798422568,-0.11630402449890366,0.0,0.05243163913683539,-0.009213026753932454,6.29425048828125e-05,0.0001888275146484375
idea-anchor-gaussian,output-boba,deployed,0.05,0,20,200,0.006019024042053409,-0.010903878570001312,0.0,-1.8115692002255934,0.8415,,,0.027857098015306787,0.04457135682449086,-0.26951577767085216,-0.35576604350710667,-0.18798910402359784,0.0,0.2169388169359045,-0.05846843395347493,1.9073486328125e-05,8.58306884765625e-05
idea-anchor-gaussian,output-boba,deployed,0.05,20,20,200,0.0034748877241901053,-0.004817850016476863,0.0,-1.3864764558975105,0.8225,,,0.03857970370059411,0.05143960493412548,-0.26951577767085216,-0.35576604350710667,-0.18798910402359784,0.0,0.2169388169359045,-0.05846843395347493,1.9073486328125e-05,8.58306884765625e-05
idea-anchor-gaussian,output-boba,deployed,0.25,0,20,200,0.0525171889089013,-0.03987427463155887,0.0,-0.759261404884534,1.0,-1.6489938432289557,-0.17616779202553123,0.00365447998046875,0.0073089599609375,-0.26951577767085216,-0.35576604350710667,-0.18798910402359784,0.0,0.2169388169359045,-0.05846843395347493,1.9073486328125e-05,8.58306884765625e-05
