dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,acquisition,metric,n_pairs,mean_diff,median_diff,std_diff,cohens_dz,ci95_low,ci95_high,dz_ci95_low,dz_ci95_high,t_stat,p_value_t,wilcoxon_stat,p_value_wilcoxon,p_value_t_fdr_bh,p_value_wilcoxon_fdr_bh
hartmann_3,value,exact,gaussian,0,0.25,logei,auc_simple_regret_excess_true,5,3.5507564855806435,4.296761492189036,1.8532283169443762,1.9159843679893533,1.249669603979057,5.85184336718223,0.34178419480971467,3.4360987130943887,4.284271290651166,0.012804182155350367,0.0,0.0625,0.07566421460805763,0.1375
hartmann_3,value,exact,gaussian,0,0.25,pi,auc_simple_regret_excess_true,5,6.244147927898652,2.809145277225916,6.357488482679771,0.9821721179535123,-1.6497166400398937,14.138012495837199,-0.14830904926027796,2.0416752529955158,2.1962036213489955,0.09304574603221122,0.0,0.0625,0.22835643941844974,0.1375
hartmann_3,value,exact,gaussian,0,1.0,logei,auc_simple_regret_excess_true,5,34.837338099400505,20.786300596163777,37.11649813999169,0.9385944214889316,-11.248881380424152,80.92355757922516,-0.1744673137431643,1.9812234158554836,2.09876092975134,0.10379838155384079,0.0,0.0625,0.22835643941844974,0.1375
hartmann_3,value,exact,gaussian,0,1.0,pi,auc_simple_regret_excess_true,5,6.736381255021378,12.490732734123991,14.317374993147471,0.4705039337340483,-11.040987822752701,24.513750332795457,-0.48549784948718666,1.3771020598160344,1.0520787795103883,0.3521201926456951,5.0,0.625,0.3739009663000589,1.0
hartmann_3,value,exact,gaussian,0,5.0,logei,auc_simple_regret_excess_true,5,30.16030683555537,23.310076619025416,21.36322049380747,1.4117865255520767,3.6343650627057933,56.68624860840495,0.09133858529817124,2.6642197671022405,3.1568506408526873,0.03428757260835869,0.0,0.0625,0.1257210995639819,0.1375
hartmann_3,value,exact,gaussian,0,5.0,pi,auc_simple_regret_excess_true,5,66.74679675319825,52.02124726192231,35.58283104367886,1.8758146779064546,22.564876492094946,110.92871701430155,0.3227382179116876,3.37350685183349,4.194449132990706,0.013757129928737752,0.0,0.0625,0.07566421460805763,0.1375
hartmann_3,value,exact,gaussian,20,0.25,logei,auc_simple_regret_excess_true,5,0.09896940068882572,0.0,0.22130230763262881,0.4472135954999579,-0.1758137074180236,0.373752508795675,-0.5027099538175085,1.3495956684418962,1.0,0.37390096630005887,0.0,1.0,0.3739009663000589,1.0
hartmann_3,value,exact,gaussian,20,0.25,pi,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hartmann_3,value,exact,gaussian,20,1.0,logei,auc_simple_regret_excess_true,5,0.09896940068882572,0.0,0.22130230763262881,0.4472135954999579,-0.1758137074180236,0.373752508795675,-0.5027099538175085,1.3495956684418962,1.0,0.37390096630005887,0.0,1.0,0.3739009663000589,1.0
hartmann_3,value,exact,gaussian,20,1.0,pi,auc_simple_regret_excess_true,5,-0.05046735651126113,0.0,0.1128484398038965,-0.447213595499958,-0.19058720146922406,0.08965248844670179,,,-1.0000000000000002,0.3739009663000589,0.0,1.0,0.3739009663000589,1.0
hartmann_3,value,exact,gaussian,20,5.0,logei,auc_simple_regret_excess_true,5,-0.09435966521999148,0.0,0.2109946257660236,-0.4472135954999579,-0.3563440958481393,0.16762476540815632,,,-1.0,0.37390096630005887,0.0,1.0,0.3739009663000589,1.0
hartmann_3,value,exact,gaussian,20,5.0,pi,auc_simple_regret_excess_true,5,0.1550383001124537,0.0,0.3466761781674598,0.44721359549995787,-0.275417029352955,0.5854936295778623,-0.5027099538175086,1.3495956684418962,1.0,0.37390096630005887,0.0,1.0,0.3739009663000589,1.0
