dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,variant,acquisition,n_seeds,n_acquisitions,mean_rank,mean_rank_normalized,mean_rank_absolute,mean_auc_simple_regret_excess_true,median_auc_simple_regret_excess_true,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_win
iso_griewank,composite,gradient_boosting,gaussian,0,0.243653,,random,5,6,2.1,0.22000000000000003,3.6,0.0,0.0,0.0,90.74894217106423,0.0,True
iso_griewank,composite,gradient_boosting,gaussian,0,0.243653,,sobol,5,6,2.1,0.22000000000000003,5.0,0.0,0.0,0.0,102.24380551542268,0.0,True
iso_griewank,composite,gradient_boosting,gaussian,0,0.243653,,qnei,5,6,3.2,0.44000000000000006,1.8,-5.642420231381594,8.202784531592272,-0.11515143329350183,76.05520139673408,0.0,False
iso_griewank,composite,gradient_boosting,gaussian,0,0.243653,,ei,5,6,3.8,0.5599999999999999,3.2,9.706053646718525,3.886980336197368,0.19808272748405148,85.92936536223434,0.0,False
iso_griewank,composite,gradient_boosting,gaussian,0,0.243653,,logei,5,6,4.6,0.72,4.4,18.097490821351386,23.982258266465138,0.3693365473745181,97.33542032599392,0.0,False
iso_griewank,composite,gradient_boosting,gaussian,0,0.243653,,ucb,5,6,5.2,0.8400000000000001,3.0,19.789936612507343,17.756468195793616,0.40387625739810906,85.01204873781589,0.0,False
iso_griewank,composite,gradient_boosting,gaussian,0,0.974611,,random,5,6,2.3,0.25999999999999995,3.0,0.0,0.0,0.0,90.74894217106423,0.0,True
iso_griewank,composite,gradient_boosting,gaussian,0,0.974611,,sobol,5,6,2.3,0.25999999999999995,4.8,0.0,0.0,0.0,102.24380551542268,0.0,True
iso_griewank,composite,gradient_boosting,gaussian,0,0.974611,,qnei,5,6,3.6,0.52,2.8,1.7939728002427473,13.973689784686698,0.03661168980087246,83.49159442835843,0.0,False
iso_griewank,composite,gradient_boosting,gaussian,0,0.974611,,ei,5,6,3.6,0.52,3.2,10.651449324025794,15.322538775593216,0.21737651681685294,86.87476103954158,0.0,False
iso_griewank,composite,gradient_boosting,gaussian,0,0.974611,,logei,5,6,4.6,0.72,4.0,18.444354323739987,18.570958010377723,0.37641539436204063,97.68228382838251,0.0,False
iso_griewank,composite,gradient_boosting,gaussian,0,0.974611,,ucb,5,6,4.6,0.72,3.2,24.748935657536823,26.4434113995124,0.5050803195415677,89.97104778284536,0.0,False
iso_griewank,composite,gradient_boosting,gaussian,0,4.873055,,random,5,6,1.9,0.18,2.2,0.0,0.0,0.0,90.74894217106423,0.0,True
iso_griewank,composite,gradient_boosting,gaussian,0,4.873055,,sobol,5,6,1.9,0.18,3.7,0.0,0.0,0.0,102.24380551542268,0.0,True
iso_griewank,composite,gradient_boosting,gaussian,0,4.873055,,qnei,5,6,4.0,0.6,3.8,24.881158809055567,22.055869525575446,0.5077787512052157,106.57878043717123,0.0,False
iso_griewank,composite,gradient_boosting,gaussian,0,4.873055,,logei,5,6,4.2,0.64,4.4,35.5285065616906,40.615476109906496,0.7250715624834816,114.76643606633313,0.0,False
iso_griewank,composite,gradient_boosting,gaussian,0,4.873055,,ucb,5,6,4.4,0.68,3.3,39.32540868898248,33.72775302002897,0.8025593609996422,104.547520814291,0.0,False
iso_griewank,composite,gradient_boosting,gaussian,0,4.873055,,ei,5,6,4.6,0.72,3.6,38.0576832309949,31.64953532397979,0.7766874128774468,114.28099494651069,0.0,False
