run_id,dataset,objective,acquisition,seed,oracle_model,baseline,error_model,jitter_std,jitter_iteration,n_iterations,acq_opt_failures,response_start_iteration,response_end_iteration,response_l2_jitter,final_best_true_jitter,final_simple_regret_true_jitter,final_cum_regret_true_jitter,final_avg_regret_true_jitter,auc_simple_regret_true_jitter,auc_simple_regret_true_postonset_per_iter_jitter,final_inference_simple_regret_true_jitter,auc_inference_simple_regret_true_jitter,param_columns,response_x0,response_x1,response_x2,response_x3,response_x4,response_x5,response_l2_baseline,final_best_true_baseline,final_simple_regret_true_baseline,final_cum_regret_true_baseline,final_avg_regret_true_baseline,auc_simple_regret_true_baseline,auc_simple_regret_true_postonset_per_iter_baseline,final_inference_simple_regret_true_baseline,auc_inference_simple_regret_true_baseline,response_l2_excess,final_best_true_excess,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true,auc_simple_regret_excess_true_postonset_per_iter,final_inference_simple_regret_excess_true,auc_inference_simple_regret_excess_true
dd73ec79-1335-4584-a1b8-ad422537e6a6,griewank,value,logei,10,exact,False,gaussian,0.05,0,50,0,1,2,1433.2609662752625,2.7241502247330054,0.0297055909259653,51.37808904801334,1.0275617809602666,19.16406971908185,0.39110346365473164,0.030330732894567,19.660806756425114,"x0,x1,x2,x3,x4,x5",-320.35827581741296,760.8790970797585,-483.52306544346493,969.1726564456152,375.03394793788016,242.75485014128327,1433.2609662752625,2.7368591776368305,0.0169966380221402,70.30070881146216,1.406014176229243,20.345671033197096,0.41521777618769584,0.0169966380221402,20.345671033197096,0.0,-0.012708952903825121,0.0127089529038251,-18.92261976344882,-0.37845239526897645,-1.1816013141152446,-0.0241143125329642,0.013334094872426799,-0.6848642767719824
54e1fe4a-70e8-4fef-add6-3577bfc8703e,griewank,value,logei,10,exact,False,gaussian,0.25,0,50,0,1,2,1433.2609662752625,2.665363618649464,0.0884921970095073,59.21378256571474,1.184275651314295,27.45258668887693,0.56025687120157,0.3727006939883019,38.74509638975316,"x0,x1,x2,x3,x4,x5",-320.35827581741296,760.8790970797585,-483.52306544346493,969.1726564456152,375.03394793788016,242.75485014128327,1433.2609662752625,2.7368591776368305,0.0169966380221402,70.30070881146216,1.406014176229243,20.345671033197096,0.41521777618769584,0.0169966380221402,20.345671033197096,0.0,-0.0714955589873667,0.0714955589873671,-11.08692624574742,-0.22173852491494817,7.106915655679835,0.14503909501387413,0.3557040559661617,18.399425356556062
7d903d58-99b3-4f8c-8c7c-2de6dbf22de2,griewank,value,logei,10,exact,False,gaussian,1.0,0,50,0,1,2,1433.2609662752625,2.663290005664348,0.0905658099946227,109.85719404640628,2.1971438809281256,29.81461163455172,0.6084614619296269,0.8391661606973275,48.2322437924171,"x0,x1,x2,x3,x4,x5",-320.35827581741296,760.8790970797585,-483.52306544346493,969.1726564456152,375.03394793788016,242.75485014128327,1433.2609662752625,2.7368591776368305,0.0169966380221402,70.30070881146216,1.406014176229243,20.345671033197096,0.41521777618769584,0.0169966380221402,20.345671033197096,0.0,-0.07356917197248247,0.0735691719724825,39.55648523494412,0.7911297046988826,9.468940601354625,0.19324368574193107,0.8221695226751873,27.886572759220005
560b4ae1-5d30-4b7e-8b73-c7c994ad5839,griewank,value,logei,10,exact,False,gaussian,5.0,0,50,0,1,2,1433.2609662752625,1.9146896549616432,0.8391661606973275,245.5788874239031,4.911577748478062,48.2322437924171,0.9843315059676959,3.6153953647067256,177.15437287062954,"x0,x1,x2,x3,x4,x5",-320.35827581741296,760.8790970797585,-483.52306544346493,969.1726564456152,375.03394793788016,242.75485014128327,1433.2609662752625,2.7368591776368305,0.0169966380221402,70.30070881146216,1.406014176229243,20.345671033197096,0.41521777618769584,0.0169966380221402,20.345671033197096,0.0,-0.8221695226751873,0.8221695226751873,175.27817861244094,3.505563572248819,27.886572759220005,0.5691137297800001,3.5983987266845854,156.80870183743244
85419e82-4f98-4a47-b764-76cd97d9625e,griewank,value,logei,10,exact,False,gaussian,0.05,20,50,0,21,22,588.0395159174662,2.70127287449154,0.0525829411674307,65.10449714506701,1.3020899429013404,20.988441217560496,0.11433051540228023,0.0774965153977884,21.572058182246074,"x0,x1,x2,x3,x4,x5",142.3999675212089,78.95387856173562,169.27369064280026,-26.83157934992842,-538.2104134535429,-15.331061489209787,601.6917805141622,2.7368591776368305,0.0169966380221402,70.30070881146216,1.406014176229243,20.345671033197096,0.09216602628630102,0.0169966380221402,20.345671033197096,-13.652264596696,-0.03558630314529054,0.0355863031452905,-5.196211666395143,-0.10392423332790268,0.6427701843633997,0.022164489115979208,0.0604998773756482,1.2263871490489784
7077e661-8b40-4f19-88ea-84988de0fb31,griewank,value,logei,10,exact,False,gaussian,0.25,20,50,0,21,22,798.1133878164989,2.707593885656653,0.0462619300023177,65.73290517003954,1.314658103400791,20.566276529875445,0.09977311237865777,0.3380777563969142,24.36653572441528,"x0,x1,x2,x3,x4,x5",-2.1148468014486212,5.567752176036848,353.9286440510017,-451.823086444121,-547.8651440172348,85.92848664991149,601.6917805141622,2.7368591776368305,0.0169966380221402,70.30070881146216,1.406014176229243,20.345671033197096,0.09216602628630102,0.0169966380221402,20.345671033197096,196.4216073023366,-0.029265291980177466,0.0292652919801775,-4.567803641422614,-0.09135607282845215,0.22060549667834906,0.007607086092356746,0.321081118374774,4.020864691218183
5f16dba0-f59e-4e51-87df-37a40f456ff7,griewank,value,logei,10,exact,False,gaussian,1.0,20,50,0,21,22,855.1166904008144,2.375694755798697,0.3781610598602736,125.00654976065326,2.5001309952130653,28.639527006842307,0.3781610598602736,0.739662668290384,36.41181158808968,"x0,x1,x2,x3,x4,x5",-15.515268209341173,10.980042752193967,550.2502698823623,-394.03382290755366,-512.3461763606069,101.62013473473834,601.6917805141622,2.7368591776368305,0.0169966380221402,70.30070881146216,1.406014176229243,20.345671033197096,0.09216602628630102,0.0169966380221402,20.345671033197096,253.42490988665213,-0.36116442183813335,0.3611644218381334,54.7058409491911,1.0941168189838222,8.293855973645211,0.2859950335739726,0.7226660302682437,16.06614055489258
f78f1700-935e-4121-855f-58841c15647f,griewank,value,logei,10,exact,False,gaussian,5.0,20,50,0,21,22,1257.2558585426686,2.375694755798697,0.3781610598602736,216.881253812128,4.337625076242561,28.639527006842307,0.3781610598602736,0.9760038229805896,46.27588851889163,"x0,x1,x2,x3,x4,x5",-713.4215534012224,-474.260178950586,760.2960878167519,20.827135028088776,190.08557260759943,481.8535337918697,601.6917805141622,2.7368591776368305,0.0169966380221402,70.30070881146216,1.406014176229243,20.345671033197096,0.09216602628630102,0.0169966380221402,20.345671033197096,655.5640780285064,-0.36116442183813335,0.3611644218381334,146.58054500066584,2.9316109000133177,8.293855973645211,0.2859950335739726,0.9590071849584494,25.93021748569453
ef1770a1-8635-48f0-a8c7-28e2048a0554,griewank,value,logei,11,exact,False,gaussian,0.05,0,50,0,1,2,1096.3402760066645,2.69412913438205,0.0597266812769206,71.65153707482617,1.433030741496523,20.34805534615629,0.41526643563584265,0.0597266812769206,20.387162652869616,"x0,x1,x2,x3,x4,x5",-69.77955193800335,-443.40469564898035,416.1961148021012,711.8335013093259,265.28044698280206,-500.1852013885283,1096.3402760066645,2.736021079016272,0.0178347366426985,68.56254688980806,1.3712509377961613,21.471485963584747,0.43819359109356626,0.0178347366426985,21.471485963584747,0.0,-0.041891944634221634,0.041891944634222106,3.0889901850181047,0.061779803700361846,-1.1234306174284576,-0.022927155457723614,0.041891944634222106,-1.0843233107151313
421a1b20-b9e1-4cfe-b1dc-b51bd554e579,griewank,value,logei,11,exact,False,gaussian,0.25,0,50,0,1,2,1096.3402760066645,2.714274901978836,0.039580913680135,83.81798721268655,1.676359744253731,26.563549315278816,0.5421132513322208,0.1955516392051834,28.87718066509297,"x0,x1,x2,x3,x4,x5",-69.77955193800335,-443.40469564898035,416.1961148021012,711.8335013093259,265.28044698280206,-500.1852013885283,1096.3402760066645,2.736021079016272,0.0178347366426985,68.56254688980806,1.3712509377961613,21.471485963584747,0.43819359109356626,0.0178347366426985,21.471485963584747,0.0,-0.021746177037435643,0.0217461770374365,15.255440322878485,0.30510880645756977,5.092063351694069,0.10391966023865451,0.1777169025624849,7.405694701508221
