iteration,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-3.4605544678887856,9.74553686675851,-3.625783230289665,5.770978716400579,7.3979302339243205,-2.178303869216121,-1.2423625375440235,-2.5450219382129387,-7.860928070544513,-0.42069091674566117,-5.172957098306354,0.4104892994768138,0.4104892994768138,False,0.0,logpi,0.0,False,8,2f1271b4-4d14-415d-b413-02a2063fc172,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.4104892994768138,2.2139910323017986,2.2139910323017986,2.2139910323017986,2.2139910323017986,0.4104892994768138,2.2139910323017986,levy_10
2,-4.857095028977405,-6.305368863311703,-6.122709021913786,6.276553403100419,-1.5403162371154728,-4.881589896835479,1.8180570353082324,2.085445921169116,2.937160541203758,8.22712760897048,-6.9958777607606315,0.2824822027103648,0.2824822027103648,False,0.0,logpi,0.0,False,8,2f1271b4-4d14-415d-b413-02a2063fc172,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.4104892994768138,2.3419981290682474,4.5559891613700465,2.2139910323017986,2.2779945806850233,0.4104892994768138,2.2139910323017986,levy_10
3,-2.5722574311520763,-4.307587249783749,-9.664358953510986,-6.36892125274541,-2.1066283740279435,-2.1337857982735153,2.3345588881400197,-0.954669423457073,2.1466133514294974,-5.538800291732544,-7.320257364012419,-0.3949587224150516,-0.3949587224150516,False,0.0,logpi,0.0,False,8,2f1271b4-4d14-415d-b413-02a2063fc172,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.4104892994768138,3.019439054193664,7.5754282155637105,2.2139910323017986,2.525142738521237,0.4104892994768138,2.2139910323017986,levy_10
4,-3.4142124657649227,-8.07783132943706,-2.6832017066440805,-0.7964138502008424,4.379772877790282,7.3404973867082575,-8.963286949666518,9.12191821331799,4.402028504307356,9.775471973463084,-7.624457814034196,-0.35953658243578,-0.35953658243578,False,0.0,logpi,0.0,False,8,2f1271b4-4d14-415d-b413-02a2063fc172,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.4104892994768138,2.984016914214392,10.559445129778103,2.2139910323017986,2.639861282444526,0.4104892994768138,2.2139910323017986,levy_10
5,-2.499564886034009,0.045080238101624204,4.944469240369569,-3.7793810035347697,-1.0019144783080218,-4.47681294798707,-1.0166967459785354,0.19948015802741992,1.30055879529049,4.083814301840809,-5.1636002684237425,2.0834676156006213,2.0834676156006213,False,0.0,logpi,0.0,False,8,2f1271b4-4d14-415d-b413-02a2063fc172,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,0.541012716177991,11.100457845956093,0.541012716177991,2.2200915691912186,2.0834676156006213,0.541012716177991,levy_10
6,-2.4945811090663423,0.07711973409380414,5.074337952372952,-3.8004844151381456,-1.0731563931006587,-4.592464896259126,-0.9592250825360356,0.14793836530283042,1.3102575813958064,4.109189041717653,-5.138864552885765,2.04008658218265,2.04008658218265,False,0.0,logpi,0.596345400030259,False,8,2f1271b4-4d14-415d-b413-02a2063fc172,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,0.5843937495959621,11.684851595552056,0.541012716177991,1.9474752659253427,2.0834676156006213,0.541012716177991,levy_10
7,-2.4937326081102853,0.08029690037023961,5.0913950515874795,-3.8045708206202433,-1.0821205537129475,-4.605923406809581,-0.9530016659993229,0.14229291639973135,1.3122346273860859,4.112636391486322,-5.135845607923073,2.0341392640438425,2.0341392640438425,False,0.0,logpi,0.6903605000115931,False,8,2f1271b4-4d14-415d-b413-02a2063fc172,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,0.5903410677347698,12.275192663286825,0.541012716177991,1.7535989518981179,2.0834676156006213,0.541012716177991,levy_10
8,-2.495158580056466,0.07452800439962887,5.063304482149735,-3.7978373898140974,-1.0673985190183901,-4.58345777666462,-0.9635159719627393,0.15198632379653143,1.3093251832219748,4.107412211524214,-5.140900519004399,2.043863834728357,2.043863834728357,False,0.0,logpi,0.6175881000235677,False,8,2f1271b4-4d14-415d-b413-02a2063fc172,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,0.5806164970502552,12.855809160337081,0.541012716177991,1.6069761450421352,2.0834676156006213,0.541012716177991,levy_10
9,-2.49680914643954,0.06790412489052682,5.02998833032441,-3.7899414032445433,-1.049672953789826,-4.55653670095727,-0.9762144160544389,0.1635260801872518,1.3057076233143023,4.101071542132427,-5.146894539151991,2.0550255630112093,2.0550255630112093,False,0.0,logpi,0.6806027999846265,False,8,2f1271b4-4d14-415d-b413-02a2063fc172,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,0.569454768767403,13.425263929104485,0.541012716177991,1.4916959921227206,2.0834676156006213,0.541012716177991,levy_10
10,-2.4991563081332435,0.05666307799055216,4.977754875661011,-3.7792516775686553,-1.0221518085961545,-4.51352292679766,-0.9965981779403149,0.18205653320662665,1.300737364667425,4.090545329599072,-5.1564359902624926,2.071820908755202,2.071820908755202,False,0.0,logpi,0.779983300017193,False,8,2f1271b4-4d14-415d-b413-02a2063fc172,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,0.5526594230234103,13.977923352127895,0.541012716177991,1.3977923352127894,2.0834676156006213,0.541012716177991,levy_10
