iteration,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,9.120034192579507,-5.846363798417062,6.568897705490613,-7.014357538359595,0.25609232873129706,-7.2816079195898675,3.7807295956226223,6.834954486245579,-1.4898200519004678,9.138520069067326,6.506658127695964,-1.157811806498557,7.025858886112662,True,8.18367069261122,logei,0.0,False,10,095c61be-05d0-42f0-9104-1168810e4a16,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-1.157811806498557,3.7822921382771693,3.7822921382771693,3.7822921382771693,3.7822921382771693,-1.157811806498557,3.7822921382771693,levy_10
2,-3.2356937505684797,1.5152109588902718,5.066037294169538,6.54207874049591,8.668769417031626,-7.100106101275454,4.911604220878749,-7.212972122643553,8.130575122258538,-5.477711326509452,7.064794998112124,-0.20877564190001702,2.7941352212173163,True,3.002910863117333,logei,0.0,False,10,095c61be-05d0-42f0-9104-1168810e4a16,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.20877564190001702,2.833255973678629,6.615548111955798,2.833255973678629,3.307774055977899,-1.157811806498557,3.7822921382771693,levy_10
3,-3.873642689357524,9.396607364126435,0.3566842723373931,-3.550508824678773,-4.351329656706408,2.11729991639352,-3.324710865613234,3.5729754701628575,-6.911498590782119,-5.0044896120743365,7.397884921122195,0.45606599894833727,3.234074130690921,True,2.7780081317425838,logei,0.0,False,10,095c61be-05d0-42f0-9104-1168810e4a16,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.45606599894833727,2.168414332830275,8.783962444786074,2.168414332830275,2.9279874815953577,-1.157811806498557,3.7822921382771693,levy_10
4,2.0073564087183815,-4.760338880589325,-7.011701988380235,-7.2642170102962105,-5.021581248170072,-2.3435066685918553,2.98158113248871,6.751275201221233,5.52063894020953,-3.2096884953116263,-7.028625234553525,0.27876479459721293,-1.9249165929345684,True,-2.2036813875317813,logei,0.0,False,10,095c61be-05d0-42f0-9104-1168810e4a16,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.45606599894833727,2.345715537181399,11.129677981967472,2.168414332830275,2.782419495491868,-1.157811806498557,3.7822921382771693,levy_10
5,-0.8596122661526415,-1.242712846223995,1.4843517980603984,-2.534615529594186,2.676501147241977,-7.707112820416979,-5.338190515371233,5.344820340774543,9.742485437801879,6.160021586447218,6.859312880498479,0.1399951525674407,-3.931900676766086,True,-4.071895829333527,logei,0.0,False,10,095c61be-05d0-42f0-9104-1168810e4a16,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.45606599894833727,2.4844851792111715,13.614163161178643,2.168414332830275,2.7228326322357286,-1.157811806498557,3.7822921382771693,levy_10
6,9.062401163617553,-3.819465214240281,8.349534828359179,-6.718832417727606,0.16953342039099017,-6.427332564549007,3.7515428780899724,6.277182292186628,-4.796898367189096,8.922477923741388,8.909071225232665,-0.8893067577840748,-4.8805527999754785,True,-3.9912460421914036,logei,0.6093576999846846,False,10,095c61be-05d0-42f0-9104-1168810e4a16,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.45606599894833727,3.513787089562687,17.12795025074133,2.168414332830275,2.8546583751235546,-1.157811806498557,3.7822921382771693,levy_10
7,9.135218382050471,-6.36994672502106,6.110457203150548,-7.090590518357666,0.2787475010190377,-7.502075036181856,3.788386508920163,6.978952515531528,-0.6371079563373424,9.195008579879982,5.888896759589566,-1.171770154562784,5.459752174199162,True,6.631522328761946,logei,0.6673706999863498,False,10,095c61be-05d0-42f0-9104-1168810e4a16,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.45606599894833727,3.796250486341396,20.924200737082725,2.168414332830275,2.989171533868961,-1.157811806498557,3.7822921382771693,levy_10
8,5.708367102556854,-2.4182224655850697,4.048901205276599,-6.235441195590987,-0.9836808672691904,-5.138328444446696,1.9709362878488035,6.18381488256813,-1.5329421154784162,5.390162136631252,5.209039682480291,0.5183090531770647,1.3349061554786557,True,0.816597102301591,logei,1.3839628999703564,False,10,095c61be-05d0-42f0-9104-1168810e4a16,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.5183090531770647,2.106171278601548,23.03037201568427,2.106171278601548,2.878796501960534,-1.157811806498557,3.7822921382771693,levy_10
9,10.0,-7.392164082468583,7.997124047401221,-7.381712588549729,0.8723172334081785,-8.286713972812642,4.6909474229671995,7.1134516203722535,-1.7626181913869754,10.0,7.36723235606022,-0.9651345978351199,6.755925950866064,True,7.721060548701184,logei,0.9573960999841802,False,10,095c61be-05d0-42f0-9104-1168810e4a16,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.5183090531770647,3.5896149296137323,26.619986945298002,2.106171278601548,2.9577763272553335,-1.157811806498557,3.7822921382771693,levy_10
10,10.0,-4.0380946504329405,4.555242085372808,-5.014275192476395,0.09616163933166988,-4.3301386511382445,1.5379517294622265,6.249791225639385,-1.4740928393278776,10.0,10.0,-0.4017142601509575,-4.97172977982573,True,-4.570015519674772,logei,1.30832409998402,False,10,095c61be-05d0-42f0-9104-1168810e4a16,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.5183090531770647,3.0261945919295696,29.646181537227573,2.106171278601548,2.9646181537227574,-1.157811806498557,3.7822921382771693,levy_10
