iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,noise_effort,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,1.9637953256775056,2.818680285825393,2.436888465969028,0.7075092536100441,0.9430001955324466,0.90007361838061,0.7636580941743538,True,-0.13641552420625613,qnei,0.0,False,0.75,7,9c09beb9-5237-4b4e-9dde-f4af72d05008,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4",8.047721166688978,0.90007361838061,7.147647548308369,7.147647548308369,7.147647548308369,7.147647548308369,0.90007361838061,7.147647548308369,michalewicz
2,2.7443490865749487,0.016541442142122352,2.5799651661104637,2.5040674617684413,1.4700610102117195,-0.07730669503760453,0.809994982290964,True,0.8873016773285686,qnei,0.0,False,0.75,7,9c09beb9-5237-4b4e-9dde-f4af72d05008,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4",8.047721166688978,0.90007361838061,8.125027861726583,15.272675410034951,7.147647548308369,7.636337705017476,-0.07730669503760453,8.125027861726583,michalewicz
3,0.952004445895042,0.8746998575470308,0.8006964241976576,1.398248452847806,1.5850851037238267,-1.04660950384501,-1.1040032614320585,True,-0.057393757587048455,qnei,0.0,False,0.75,7,9c09beb9-5237-4b4e-9dde-f4af72d05008,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4",8.047721166688978,0.90007361838061,9.094330670533989,24.36700608056894,7.147647548308369,8.122335360189647,-0.07730669503760453,8.125027861726583,michalewicz
4,1.7388632150586287,3.127456377084045,2.4902208621823125,1.954633696428515,3.1069099346504863,0.40980425343275584,0.8190730586413495,True,0.40926880520859366,qnei,0.0,False,0.75,7,9c09beb9-5237-4b4e-9dde-f4af72d05008,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4",8.047721166688978,0.90007361838061,7.637916913256222,32.00492299382516,7.147647548308369,8.00123074845629,0.40980425343275584,7.637916913256222,michalewicz
5,0.6764122246309393,0.5033209485844836,1.9243499208169526,0.1380478893954662,0.11209290167316548,-1.0539382228456007,-0.5252106293257791,True,0.5287275935198216,qnei,0.0,False,0.75,7,9c09beb9-5237-4b4e-9dde-f4af72d05008,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4",8.047721166688978,0.90007361838061,9.101659389534579,41.106582383359736,7.147647548308369,8.221316476671948,0.40980425343275584,7.637916913256222,michalewicz
6,2.6130161751726484,3.141592653589793,3.0570080663552317,1.5865087600252195,2.6867561492182066,-0.9662581637542208,-0.9310433074881002,True,0.03521485626612064,qnei,0.49363540002377704,False,0.75,7,9c09beb9-5237-4b4e-9dde-f4af72d05008,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4",8.047721166688978,0.90007361838061,9.013979330443199,50.120561713802935,7.147647548308369,8.35342695230049,0.40980425343275584,7.637916913256222,michalewicz
7,1.6257800548475363,3.141592653589793,2.597183646543842,0.39422631682662423,0.41659633752188635,-1.048481623133925,-2.0088961314432536,True,-0.9604145083093287,qnei,0.3713465000037104,False,0.75,7,9c09beb9-5237-4b4e-9dde-f4af72d05008,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4",8.047721166688978,0.90007361838061,9.096202789822904,59.21676450362584,7.147647548308369,8.459537786232262,0.40980425343275584,7.637916913256222,michalewicz
8,2.284133978505409,1.9134684808116214,2.5485235428967714,1.3127007051438409,1.1132111173858357,0.6642443480723689,3.6447915206547283,True,2.9805471725823596,qnei,0.38076820003334433,False,0.75,7,9c09beb9-5237-4b4e-9dde-f4af72d05008,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4",8.047721166688978,0.90007361838061,7.383476818616609,66.60024132224245,7.147647548308369,8.325030165280307,0.6642443480723689,7.383476818616609,michalewicz
9,2.4389149142678854,1.6956548560851243,2.057296126590132,1.1876765051379767,1.1147786198498277,1.7649385382547542,2.2440588365496676,True,0.4791202982949134,qnei,0.4537897999980487,False,0.75,7,9c09beb9-5237-4b4e-9dde-f4af72d05008,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4",8.047721166688978,1.7649385382547542,6.282782628434224,72.88302395067667,6.282782628434224,8.098113772297408,0.6642443480723689,7.383476818616609,michalewicz
10,2.5273031888040705,1.9295295572142335,2.8190772064942364,1.465723730748849,1.2371667515302351,-0.6281100494990518,-0.9936112468481162,True,-0.3655011973490644,qnei,0.3861567000276409,False,0.75,7,9c09beb9-5237-4b4e-9dde-f4af72d05008,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4",8.047721166688978,1.7649385382547542,8.67583121618803,81.5588551668647,6.282782628434224,8.155885516686471,0.6642443480723689,7.383476818616609,michalewicz
