iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,noise_effort,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.028689008371944547,0.14792608457745593,0.9282110229603695,1.571302229950474,2.208195085769236,True,0.6368928558187621,logei,0.0,False,0.75,11,653687a8-90a2-417c-adc6-696d33a19e7c,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,6.395861733341463,6.395861733341463,6.395861733341463,6.395861733341463,1.571302229950474,6.395861733341463,hartmann_6
2,0.07042057615419683,0.12977394939929798,0.9483284532917751,0.6218835927963828,0.368993123729791,0.5113900218032627,0.37926057518372475,0.7003718853223031,True,0.32111131013857835,logei,0.0,False,0.75,11,653687a8-90a2-417c-adc6-696d33a19e7c,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,7.587903388108212,13.983765121449675,6.395861733341463,6.991882560724838,1.571302229950474,6.395861733341463,hartmann_6
3,0.6628429525167993,0.2753088157611293,0.13796807286695534,0.7880395945039919,0.6703605841024838,0.5123823134831604,-0.6412990271898988,-0.9516151112827982,True,-0.31031608409289935,logei,0.0,False,0.75,11,653687a8-90a2-417c-adc6-696d33a19e7c,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,8.608462990481836,22.59222811193151,6.395861733341463,7.530742703977171,1.571302229950474,6.395861733341463,hartmann_6
4,0.8167364359696581,0.5490752688700263,0.9809136392973055,0.20450946133004488,0.5537303628652278,0.4836246969233877,-0.45831383618453114,-1.0449517692153596,True,-0.5866379330308285,logei,0.0,False,0.75,11,653687a8-90a2-417c-adc6-696d33a19e7c,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,8.425477799476468,31.01770591140798,6.395861733341463,7.754426477851995,1.571302229950474,6.395861733341463,hartmann_6
5,0.3532748550604481,0.5915953039490435,0.23530123166758055,0.8022026837784835,0.8673335518424147,0.12875967122785104,1.3104474652198819,1.2742443877837641,True,-0.036203077436117725,logei,0.0,False,0.75,11,653687a8-90a2-417c-adc6-696d33a19e7c,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,6.656716498072055,37.67442240948004,6.395861733341463,7.5348844818960075,1.571302229950474,6.395861733341463,hartmann_6
6,0.0,0.0,1.0,0.2621694659039319,0.0,0.983917391641378,-0.07719433296280166,-0.6625157703336545,True,-0.5853214373708528,logei,0.512216700008139,False,0.75,11,653687a8-90a2-417c-adc6-696d33a19e7c,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,8.044358296254739,45.71878070573477,6.395861733341463,7.619796784289129,1.571302229950474,6.395861733341463,hartmann_6
7,0.13584015853704867,0.556155353936711,0.5834017942493328,0.4040340262705,0.4777248210288207,0.48438206892922453,1.6453175143218197,1.502982397339839,True,-0.14233511698198065,logei,0.5403823999804445,False,0.75,11,653687a8-90a2-417c-adc6-696d33a19e7c,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.6453175143218197,6.321846448970117,52.04062715470489,6.321846448970117,7.434375307814984,1.571302229950474,6.395861733341463,hartmann_6
8,0.2351286233761119,0.45825830642887494,0.2789588462995816,0.0036918843449905785,0.15439046234362158,1.0,0.0788018340037052,1.0713505421834506,True,0.9925487081797454,logei,0.3029914999497123,False,0.75,11,653687a8-90a2-417c-adc6-696d33a19e7c,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.6453175143218197,7.8883621292882316,59.928989283993126,6.321846448970117,7.491123660499141,1.571302229950474,6.395861733341463,hartmann_6
9,0.12337749954620494,0.506426360145853,0.9133613704397368,0.03466747991319489,0.11173932990612716,0.9483881294608943,2.19385384398547,2.9522076653875,True,0.75835382140203,logei,0.5181544999941252,False,0.75,11,653687a8-90a2-417c-adc6-696d33a19e7c,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.19385384398547,5.773310119306467,65.70229940329959,5.773310119306467,7.30025548925551,2.19385384398547,5.773310119306467,hartmann_6
10,0.03459080560786196,0.5656224121252296,1.0,0.0,0.0,1.0,0.7787849088153852,1.4790704647599695,True,0.7002855559445843,logei,0.41920659999595955,False,0.75,11,653687a8-90a2-417c-adc6-696d33a19e7c,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.19385384398547,7.188379054476552,72.89067845777615,5.773310119306467,7.289067845777614,2.19385384398547,5.773310119306467,hartmann_6
11,0.15968079544305605,0.5946900099951309,1.0,0.0,0.0,1.0,0.6544422711810395,2.240915860539041,True,1.5864735893580018,logei,0.3115943999728188,False,0.75,11,653687a8-90a2-417c-adc6-696d33a19e7c,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.19385384398547,7.312721692110897,80.20340014988705,5.773310119306467,7.2912181954442765,2.19385384398547,5.773310119306467,hartmann_6
12,0.16765379973936229,0.42628794367124323,1.0,0.06145767975410075,0.18830562160605932,0.9285896841481104,1.7818155772698754,0.3282173540559252,True,-1.4535982232139502,logei,0.5027328999713063,False,0.75,11,653687a8-90a2-417c-adc6-696d33a19e7c,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.19385384398547,6.185348386022062,86.3887485359091,5.773310119306467,7.199062377992425,2.19385384398547,5.773310119306467,hartmann_6
13,0.180512751210201,0.5312992091407092,1.0,0.022911371131862715,0.06417113679280503,0.9900901303239356,1.140430487793913,1.6575488879707034,True,0.5171184001767903,logei,0.4097108999849297,False,0.75,11,653687a8-90a2-417c-adc6-696d33a19e7c,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.19385384398547,6.826733475498024,93.21548201140712,5.773310119306467,7.170421693185163,2.19385384398547,5.773310119306467,hartmann_6
14,0.1093752852800289,0.5430696292379935,0.9583862100948163,0.015162976757975686,0.06161745161407354,0.9768846247563524,1.457129914275944,-0.5286882846876486,True,-1.9858181989635926,logei,0.43010709999362007,False,0.75,11,653687a8-90a2-417c-adc6-696d33a19e7c,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.19385384398547,6.510034049015993,99.72551606042312,5.773310119306467,7.12325114717308,2.19385384398547,5.773310119306467,hartmann_6
15,0.13851923359198948,0.8058295560723936,0.2613466579930132,0.2243567310861081,0.1330222378309177,0.6612062277082185,0.33730049271884927,-0.028969413716052772,True,-0.36626990643490204,logei,0.26085710001643747,False,0.75,11,653687a8-90a2-417c-adc6-696d33a19e7c,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.19385384398547,7.6298634705730874,107.3553795309962,5.773310119306467,7.157025302066414,2.19385384398547,5.773310119306467,hartmann_6
