run_id,dataset,objective,acquisition,seed,oracle_model,baseline,variant,error_model,jitter_std,jitter_iteration,n_iterations,acq_opt_failures,response_start_iteration,response_end_iteration,response_l2_jitter,final_best_true_jitter,final_simple_regret_true_jitter,final_cum_regret_true_jitter,final_avg_regret_true_jitter,auc_simple_regret_true_jitter,auc_simple_regret_true_postonset_per_iter_jitter,final_inference_simple_regret_true_jitter,auc_inference_simple_regret_true_jitter,param_columns,response_x0,response_x1,response_l2_baseline,final_best_true_baseline,final_simple_regret_true_baseline,final_cum_regret_true_baseline,final_avg_regret_true_baseline,auc_simple_regret_true_baseline,auc_simple_regret_true_postonset_per_iter_baseline,final_inference_simple_regret_true_baseline,auc_inference_simple_regret_true_baseline,response_l2_excess,final_best_true_excess,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true,auc_simple_regret_excess_true_postonset_per_iter,final_inference_simple_regret_excess_true,auc_inference_simple_regret_excess_true
0bd9195c-8361-475a-9161-0d505e7c6ed0,branin,value,logei,10,exact,False,noise-self_report_conf-r0.3,gaussian,0.25,0,50,0,1,2,1.4028993862979968,1.243044550094303,0.0070109158057656,20.120822197282543,0.4024164439456509,0.5259418477861202,0.010733507097675923,0.0384009909762574,5.033524613312992,"x0,x1",-1.2755682435444449,-0.5839968699712659,1.4028993862979968,1.2494564399723989,0.0005990259276698,29.654403358788,0.59308806717576,0.23993627267722434,0.004896658626065802,0.0005990259276698,0.23993627267722434,0.0,-0.006411889878095822,0.0064118898780958,-9.533581161505456,-0.1906716232301091,0.28600557510889585,0.00583684847161012,0.0378019650485876,4.793588340635768
665731d1-3f38-4f02-92a4-88d7902819ef,branin,value,logei,10,exact,False,noise-self_report_conf-r0.3,gaussian,1.0,0,50,0,1,2,1.4028993862979968,1.2495390308678065,0.0005164350322623,29.895055263538964,0.5979011052707793,0.5394447192670542,0.01100907590340927,1.149746116895883,41.43392542532812,"x0,x1",-1.2755682435444449,-0.5839968699712659,1.4028993862979968,1.2494564399723989,0.0005990259276698,29.654403358788,0.59308806717576,0.23993627267722434,0.004896658626065802,0.0005990259276698,0.23993627267722434,0.0,8.259089540763043e-05,-8.25908954075e-05,0.24065190475096543,0.0048130380950193175,0.29950844658982984,0.006112417277343467,1.149147090968213,41.19398915265089
db76d3d3-6380-4d24-ab67-947f4474960f,branin,value,logei,11,exact,False,noise-self_report_conf-r0.3,gaussian,0.25,0,50,0,1,2,6.67169325753929,1.238167862517714,0.0118876033823547,18.62325146429227,0.3724650292858454,6.1352619468095675,0.12520942748590955,0.0403978521608099,9.392655965920563,"x0,x1",4.729281548541579,-4.705888540681705,6.67169325753929,1.2496310635829488,0.0004244023171198,28.401124671066373,0.5680224934213275,5.365550984529151,0.10950104050059492,0.0004244023171198,5.365550984529151,0.0,-0.011463201065234907,0.0114632010652349,-9.777873206774103,-0.19555746413548208,0.7697109622804161,0.015708386985314626,0.0399734498436901,4.027104981391411
c33d5b28-038c-4e7f-87e6-bd036d05a214,branin,value,logei,11,exact,False,noise-self_report_conf-r0.3,gaussian,1.0,0,50,0,1,2,6.67169325753929,1.1674411402659122,0.0826143256341565,31.463108106018986,0.6292621621203797,10.848696027952855,0.2214019597541399,0.0831969151868616,13.13721695368965,"x0,x1",4.729281548541579,-4.705888540681705,6.67169325753929,1.2496310635829488,0.0004244023171198,28.401124671066373,0.5680224934213275,5.365550984529151,0.10950104050059492,0.0004244023171198,5.365550984529151,0.0,-0.08218992331703667,0.0821899233170367,3.0619834349526123,0.061239668699052174,5.483145043423703,0.11190091925354498,0.0827725128697418,7.771665969160499
286aa4b8-e032-4cab-8ac6-c3ea794c0be4,branin,value,logei,7,exact,False,noise-self_report_conf-r0.3,gaussian,0.25,0,50,0,1,2,6.886728545946638,1.2497096538839096,0.000345812016159,14.705692921632702,0.294113858432654,4.973369060757141,0.10149732777055388,0.0318058193050283,6.707812274193916,"x0,x1",1.5059022364052659,-6.720066109789836,6.886728545946638,1.2493769670862929,0.0006784988137757,29.82062217492108,0.5964124434984216,4.3770362574045185,0.08932727055927589,0.0006784988137757,4.3770362574045185,0.0,0.0003326867976167769,-0.00033268679761669996,-15.114929253288379,-0.3022985850657676,0.5963328033526221,0.012170057211277993,0.0311273204912526,2.3307760167893976
8e5fd163-177c-451d-bf95-a1b98bb545af,branin,value,logei,7,exact,False,noise-self_report_conf-r0.3,gaussian,1.0,0,50,0,1,2,6.886728545946638,1.128609528475372,0.1214459374246965,35.17308645438878,0.7034617290877756,9.49362515473308,0.1937474521374098,0.3587490322611931,23.0779465495201,"x0,x1",1.5059022364052659,-6.720066109789836,6.886728545946638,1.2493769670862929,0.0006784988137757,29.82062217492108,0.5964124434984216,4.3770362574045185,0.08932727055927589,0.0006784988137757,4.3770362574045185,0.0,-0.12076743861092076,0.1207674386109208,5.3524642794677,0.107049285589354,5.116588897328561,0.1044201815781339,0.3580705334474174,18.70091029211558
0e9e14a1-a3b0-41c8-b6ec-5714613e0baa,branin,value,logei,8,exact,False,noise-self_report_conf-r0.3,gaussian,0.25,0,50,0,1,2,1.9889955401220238,1.2336651066897568,0.0163903592103118,17.596048934530558,0.3519209786906112,6.279915453616577,0.12816153986972606,0.0776535471074251,7.742894333793395,"x0,x1",-0.08261438120043918,-1.987279075178967,1.9889955401220238,1.24857304362136,0.0014824222787086,26.183344485021056,0.5236668897004211,5.142134439732111,0.10494151917820634,0.0014824222787086,5.142134439732111,0.0,-0.014907936931603194,0.0149079369316032,-8.587295550490499,-0.1717459110098099,1.1377810138844664,0.023220020691519724,0.0761711248287165,2.6007598940612846
1aa34292-4f03-4061-b0f9-b134d67316dc,branin,value,logei,8,exact,False,noise-self_report_conf-r0.3,gaussian,1.0,0,50,0,1,2,1.9889955401220238,1.2371972067155528,0.0128582591845158,20.65756497877561,0.4131512995755122,9.8039509627081,0.20008063189200204,0.0822145877561733,16.42935564216093,"x0,x1",-0.08261438120043918,-1.987279075178967,1.9889955401220238,1.24857304362136,0.0014824222787086,26.183344485021056,0.5236668897004211,5.142134439732111,0.10494151917820634,0.0014824222787086,5.142134439732111,0.0,-0.011375836905807235,0.0113758369058072,-5.525779506245446,-0.11051559012490886,4.66181652297599,0.0951391127137957,0.0807321654774647,11.287221202428821
e2f25e9b-5ef7-4880-83e2-3cd7fd20bb49,branin,value,logei,9,exact,False,noise-self_report_conf-r0.3,gaussian,0.25,0,50,0,1,2,5.587002982534092,1.2415035923988509,0.0085518735012177,28.026247296310423,0.5605249459262085,3.409678414267457,0.06958527376056035,0.1196932599875211,5.503957428534681,"x0,x1",-2.671010539185228,4.907168738326234,5.587002982534092,1.2499401263325824,0.0001153395674862,29.286776809911697,0.5857355361982339,1.5987818569368202,0.03262820116197592,0.0001153395674862,1.5987818569368202,0.0,-0.00843653393373156,0.008436533933731501,-1.2605295136012735,-0.025210590272025435,1.810896557330637,0.03695707259858443,0.1195779204200349,3.9051755715978613
cd973335-1e02-4546-9363-8a1382105cb9,branin,value,logei,9,exact,False,noise-self_report_conf-r0.3,gaussian,1.0,0,50,0,1,2,5.587002982534092,1.093462604652252,0.1565928612478166,55.95058735729805,1.1190117471459609,7.673050201143013,0.1565928612478166,0.750461855022221,38.48433538053719,"x0,x1",-2.671010539185228,4.907168738326234,5.587002982534092,1.2499401263325824,0.0001153395674862,29.286776809911697,0.5857355361982339,1.5987818569368202,0.03262820116197592,0.0001153395674862,1.5987818569368202,0.0,-0.15647752168033047,0.1564775216803304,26.66381054738635,0.5332762109477269,6.074268344206193,0.12396466008584067,0.7503465154547347,36.88555352360037
077dfd64-c869-4e14-8f6c-a2dfbcc6822b,branin,value,qnei,10,exact,False,noise-self_report_conf-r0.3,gaussian,0.25,0,50,0,1,2,1.4028993862979968,1.2394289031125592,0.0106265627875095,35.717748098509624,0.7143549619701924,0.7423703007510842,0.015150414301042536,0.0106265627875095,10.145598140995183,"x0,x1",-1.2755682435444449,-0.5839968699712659,1.4028993862979968,1.250054678687127,7.872129417219043e-07,40.81484628752257,0.8162969257504514,0.20791288233249297,0.004243120047601898,7.872129417219043e-07,0.20791288233249297,0.0,-0.010625775574567786,0.010625775574567778,-5.0970981890129465,-0.10194196378025899,0.5344574184185913,0.010907294253440638,0.010625775574567778,9.93768525866269
