iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,ceiling_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,6.927433679651523,8.158171113360575,-1.9113179401743439,-1.9396202132403633,True,-0.0283022730660194,logei,0.0,False,1.079240990805372,15,7a58544f-5ed3-4dc0-9a32-02bdf6dbafc3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,-1.9113179401743439,3.1613734060744125,3.1613734060744125,3.1613734060744125,3.1613734060744125,-1.9113179401743439,3.1613734060744125,branin
2,3.4440675779285668,0.44838175690418813,1.1062840365306357,0.6187166421722207,True,-0.487567394358415,logei,0.0,False,1.079240990805372,15,7a58544f-5ed3-4dc0-9a32-02bdf6dbafc3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.1062840365306357,0.143771429369433,3.3051448354438455,0.143771429369433,1.6525724177219228,1.1062840365306357,0.143771429369433,branin
3,5.71597257033731,1.4624542672359753,0.39743161360287277,0.11469510600731919,True,-0.2827365075955536,logei,0.0,False,1.079240990805372,15,7a58544f-5ed3-4dc0-9a32-02bdf6dbafc3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.1062840365306357,0.8526238522971958,4.157768687741042,0.143771429369433,1.3859228959136807,1.1062840365306357,0.143771429369433,branin
4,7.187713768754712,3.4535650407583973,0.27081520047570157,0.39472843197690044,True,0.12391323150119887,logei,0.0,False,1.079240990805372,15,7a58544f-5ed3-4dc0-9a32-02bdf6dbafc3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.1062840365306357,0.979240265424367,5.137008953165409,0.143771429369433,1.2842522382913522,1.1062840365306357,0.143771429369433,branin
5,4.570096756088713,9.759378873901753,-2.469006869130824,-2.168244941165926,True,0.30076192796489787,logei,0.0,False,1.079240990805372,15,7a58544f-5ed3-4dc0-9a32-02bdf6dbafc3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.1062840365306357,3.719062335030893,8.8560712881963,0.143771429369433,1.7712142576392602,1.1062840365306357,0.143771429369433,branin
6,0.0,0.0,-1.3919476339504895,-1.827434381340657,True,-0.4354867473901676,logei,0.15988659998402,False,1.079240990805372,15,7a58544f-5ed3-4dc0-9a32-02bdf6dbafc3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.1062840365306357,2.642003099850558,11.49807438804686,0.143771429369433,1.9163457313411432,1.1062840365306357,0.143771429369433,branin
7,3.629265754204202,2.476996587915089,1.1819232150456531,0.8542492114112671,True,-0.32767400363438604,logei,0.13829400000395253,False,1.079240990805372,15,7a58544f-5ed3-4dc0-9a32-02bdf6dbafc3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.1819232150456531,0.06813225085441554,11.566206638901274,0.06813225085441554,1.6523152341287535,1.1819232150456531,0.06813225085441554,branin
8,9.559080150659907,2.847248046215088,1.2427652982291626,1.079240990805372,True,-0.16352430742379065,logei,0.18514769995817915,False,1.079240990805372,15,7a58544f-5ed3-4dc0-9a32-02bdf6dbafc3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.2427652982291626,0.007290167670906067,11.57349680657218,0.007290167670906067,1.4466871008215225,1.2427652982291626,0.007290167670906067,branin
9,9.57895245182947,0.5985466264467565,1.0513326860745351,1.079240990805372,True,0.02790830473083683,logei,0.12344540003687143,False,1.079240990805372,15,7a58544f-5ed3-4dc0-9a32-02bdf6dbafc3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.2427652982291626,0.19872277982553355,11.772219586397714,0.007290167670906067,1.3080243984886348,1.2427652982291626,0.007290167670906067,branin
10,8.83150281147984,1.676484312434714,1.1658772682631942,1.079240990805372,True,-0.08663627745782221,logei,0.1751395000028424,False,1.079240990805372,15,7a58544f-5ed3-4dc0-9a32-02bdf6dbafc3,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1",1.2500554659000687,1.2427652982291626,0.08417819763687451,11.856397784034588,0.007290167670906067,1.1856397784034587,1.2427652982291626,0.007290167670906067,branin
