iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.0033679477896715,0.6524516488288785,2.6026363654825047,0.4689836211867622,1.6110232157240438,-1.0005901198454061,-0.3128294605437434,True,0.6877606593016627,logei,0.0,False,0,10,664e65c3-067a-4ceb-956a-6c703217cfd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4",8.047721166688978,-1.0005901198454061,9.048311286534384,9.048311286534384,9.048311286534384,9.048311286534384,-1.0005901198454061,9.048311286534384,michalewicz
2,0.4270040294696573,2.1646719429357737,2.644428466875382,1.3367759402838328,3.0062717024781365,-0.9041066659867205,-2.101565003013369,True,-1.1974583370266485,logei,0.0,False,1,10,664e65c3-067a-4ceb-956a-6c703217cfd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4",8.047721166688978,-0.9041066659867205,8.951827832675699,18.000139119210083,8.951827832675699,9.000069559605041,-1.0005901198454061,9.048311286534384,michalewicz
3,2.5928597954643946,1.0625347409922794,1.8088051076493177,2.3665676041036434,2.598423652312292,-0.4821873194693632,-4.468543269931315,True,-3.986355950461952,logei,0.0,False,2,10,664e65c3-067a-4ceb-956a-6c703217cfd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4",8.047721166688978,-0.4821873194693632,8.529908486158341,26.530047605368424,8.529908486158341,8.843349201789474,-1.0005901198454061,9.048311286534384,michalewicz
4,2.9324834426054185,0.45551426842114484,2.3423093136775615,0.43778531524264847,2.847944080472264,-0.9783677662708578,2.1169309371862184,True,3.0952987034570763,logei,0.0,False,3,10,664e65c3-067a-4ceb-956a-6c703217cfd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4",8.047721166688978,-0.4821873194693632,9.026088932959835,35.55613653832826,8.529908486158341,8.889034134582065,-0.9783677662708578,9.026088932959835,michalewicz
5,0.7103594437025119,2.680531730054245,0.9623259560190263,3.0468119599852646,1.6268241612762053,-0.1892230366634753,2.1424259756944855,True,2.331649012357961,logei,0.0,False,4,10,664e65c3-067a-4ceb-956a-6c703217cfd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4",8.047721166688978,-0.1892230366634753,8.236944203352454,43.79308074168071,8.236944203352454,8.758616148336142,-0.1892230366634753,8.236944203352454,michalewicz
6,2.8721837841294238,0.0,1.7880671453579944,0.08994417573393204,3.141592653589793,-1.0539378577999687,-0.901023096500627,True,0.15291476129934178,logei,0.32896159996744245,False,0,10,664e65c3-067a-4ceb-956a-6c703217cfd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4",8.047721166688978,-0.1892230366634753,9.101659024488947,52.89473976616966,8.236944203352454,8.815789961028276,-0.1892230366634753,8.236944203352454,michalewicz
7,3.141592653589793,0.3324617894434692,2.661886389068339,0.5280602187818599,3.141592653589793,-1.0539380351129133,-0.8125361304308427,True,0.24140190468207057,logei,0.48785630002385005,False,1,10,664e65c3-067a-4ceb-956a-6c703217cfd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4",8.047721166688978,-0.1892230366634753,9.101659201801892,61.99639896797155,8.236944203352454,8.856628423995936,-0.1892230366634753,8.236944203352454,michalewicz
8,3.141592653589793,0.42975468688238055,2.65052014998153,0.06394916359486105,2.711611376222634,-1.050555358764411,-3.776072320911206,True,-2.725516962146795,logei,0.6362953000352718,False,2,10,664e65c3-067a-4ceb-956a-6c703217cfd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4",8.047721166688978,-0.1892230366634753,9.09827652545339,71.09467549342494,8.236944203352454,8.886834436678118,-0.1892230366634753,8.236944203352454,michalewicz
9,2.804499747566567,0.6702963054017612,2.239086121552311,0.5899479455474931,1.8009926533185887,0.6185571754441033,2.947106158715534,True,2.3285489832714306,logei,0.7454278999939561,False,3,10,664e65c3-067a-4ceb-956a-6c703217cfd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4",8.047721166688978,0.6185571754441033,7.4291639912448755,78.52383948466982,7.4291639912448755,8.724871053852203,0.6185571754441033,7.4291639912448755,michalewicz
10,2.156910547309741,0.0,2.2625993736952843,0.6399425121091774,3.141592653589793,1.5320301986781932,3.371195337145953,True,1.8391651384677599,logei,0.3887727999826893,False,4,10,664e65c3-067a-4ceb-956a-6c703217cfd7,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4",8.047721166688978,1.5320301986781932,6.5156909680107855,85.03953045268061,6.5156909680107855,8.50395304526806,1.5320301986781932,6.5156909680107855,michalewicz
