dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,variant,acquisition,n_seeds,n_acquisitions,mean_rank,mean_rank_normalized,mean_rank_absolute,mean_auc_simple_regret_excess_true,median_auc_simple_regret_excess_true,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_win
power_law_practice,value,exact,drift,0,0.05,anch5x3-detrend,logei,5,2,1.5,0.5,1.4,0.2444962706647079,0.0,0.004989719809483839,7.237728709134774,0.0,True
power_law_practice,value,exact,drift,0,0.05,anch5x3-detrend,qnei,5,2,1.5,0.5,1.6,0.5995207635165661,0.8234888395356812,0.012235117622787057,7.38822925715876,0.0,True
power_law_practice,value,exact,drift,0,0.25,anch5x3-detrend,qnei,5,2,1.1,0.10000000000000009,1.3,-0.18113655973408188,0.0,-0.003696664484369022,6.60757193390811,0.0,True
power_law_practice,value,exact,drift,0,0.25,anch5x3-detrend,logei,5,2,1.9,0.8999999999999999,1.7,1.7039839679246682,1.367206446182328,0.03477518301887079,8.697216406394736,0.0,False
power_law_practice,value,exact,drift,0,1.0,anch5x3-detrend,logei,5,2,1.0,0.0,1.0,11.512177765738642,7.1805363866884475,0.23494240338242128,18.505410204208708,0.0,True
power_law_practice,value,exact,drift,0,1.0,anch5x3-detrend,qnei,5,2,2.0,1.0,2.0,17.641003864775865,13.421532823910479,0.3600204870362422,24.42971235841806,0.0,False
power_law_practice,value,exact,drift,0,5.0,anch5x3-detrend,qnei,5,2,1.4,0.3999999999999999,1.4,15.616910154741252,16.014883157585132,0.31871245213757654,22.405618648383445,0.0,True
power_law_practice,value,exact,drift,0,5.0,anch5x3-detrend,logei,5,2,1.6,0.6000000000000001,1.6,21.274487722496133,24.293320404644824,0.4341732188264517,28.2677201609662,0.0,False
power_law_practice,value,exact,drift,20,0.05,anch5x3-detrend,logei,5,2,1.5,0.5,1.7,0.0,0.0,0.0,6.993232438470068,0.21432737306506663,True
power_law_practice,value,exact,drift,20,0.05,anch5x3-detrend,qnei,5,2,1.5,0.5,1.3,0.0,0.0,0.0,6.788708493642193,-0.0005992900207777874,True
power_law_practice,value,exact,drift,20,0.25,anch5x3-detrend,logei,5,2,1.5,0.5,1.7,0.0,0.0,0.0,6.993232438470068,0.03740358225510696,True
power_law_practice,value,exact,drift,20,0.25,anch5x3-detrend,qnei,5,2,1.5,0.5,1.3,0.0,0.0,0.0,6.788708493642193,-0.001582809289393583,True
power_law_practice,value,exact,drift,20,1.0,anch5x3-detrend,logei,5,2,1.5,0.5,1.7,0.0,0.0,0.0,6.993232438470068,-0.16511215573248372,True
power_law_practice,value,exact,drift,20,1.0,anch5x3-detrend,qnei,5,2,1.5,0.5,1.3,0.0,0.0,0.0,6.788708493642193,-0.028009095046165177,True
power_law_practice,value,exact,drift,20,5.0,anch5x3-detrend,logei,5,2,1.5,0.5,1.7,0.0,0.0,0.0,6.993232438470068,-0.2518315891248104,True
power_law_practice,value,exact,drift,20,5.0,anch5x3-detrend,qnei,5,2,1.5,0.5,1.3,0.0,0.0,0.0,6.788708493642193,-0.48119090887155525,True
power_law_practice,value,exact,gaussian,0,0.05,anch5x3-detrend,logei,5,2,1.5,0.5,1.5,-0.8007935068703003,-0.6650011892271754,-0.016342724630006127,6.192438931599767,0.0,True
power_law_practice,value,exact,gaussian,0,0.05,anch5x3-detrend,qnei,5,2,1.5,0.5,1.5,-0.5925471246135148,0.0,-0.012092798461500302,6.196161369028678,0.0,True
power_law_practice,value,exact,gaussian,0,0.25,anch5x3-detrend,qnei,5,2,1.2,0.19999999999999996,1.2,1.6052508435364565,0.7755787311195617,0.03276022129666238,8.39395933717865,0.0,True
power_law_practice,value,exact,gaussian,0,0.25,anch5x3-detrend,logei,5,2,1.8,0.8,1.8,4.507841886164181,-0.12863230235944734,0.09199677318702411,11.501074324634248,0.0,False
power_law_practice,value,exact,gaussian,0,1.0,anch5x3-detrend,qnei,5,2,1.0,0.0,1.0,7.12582712548833,7.980059834781307,0.14542504337731285,13.914535619130524,0.0,True
power_law_practice,value,exact,gaussian,0,1.0,anch5x3-detrend,logei,5,2,2.0,1.0,2.0,19.42891277657669,19.632711048921728,0.3965084240117692,26.42214521504676,0.0,False
