dataset,objective,acquisition,mean_rank_normalized,mean_rank_absolute,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_wins,conditions
power_law_practice,value,qnei,0.43125,1.35,0.07361573149602778,10.395879336947555,-0.0680013594811707,15,16
power_law_practice,value,logei,0.56875,1.65,0.09979634062242168,11.883253128968729,-0.010270683557035918,11,16
