iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,min_distance_redirect,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.028689008371944547,-1.4784245481883667,-1.311495944168072,True,0.16692860402029464,logei,0.0,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,-1.4784245481883667,3.6317298309089825,3.6317298309089825,3.6317298309089825,3.6317298309089825,-1.4784245481883667,3.6317298309089825,weber_fechner
2,0.14792608457745593,0.9282110229603695,0.07042057615419683,0.12977394939929798,-1.4798016825771119,-1.3886207829161494,True,0.09118089966096243,logei,0.0,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,-1.4784245481883667,3.6331069652977277,7.26483679620671,3.6317298309089825,3.632418398103355,-1.4784245481883667,3.6317298309089825,weber_fechner
3,0.9483284532917751,0.6218835927963828,0.368993123729791,0.5113900218032627,0.9326175632329612,0.9130265852901718,True,-0.01959097794278941,logei,0.0,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,0.9326175632329612,1.2206877194876546,8.485524515694365,1.2206877194876546,2.8285081718981218,0.9326175632329612,1.2206877194876546,weber_fechner
4,0.6628429525167993,0.2753088157611293,0.13796807286695534,0.7880395945039919,-0.006314421514643501,-0.39106094140418446,True,-0.38474651988954095,logei,0.0,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,0.9326175632329612,2.159619704235259,10.645144219929625,1.2206877194876546,2.6612860549824062,0.9326175632329612,1.2206877194876546,weber_fechner
5,0.6703605841024838,0.5123823134831604,0.8167364359696581,0.5490752688700263,1.1114563109305982,1.2194248993594772,True,0.10796858842887902,logei,0.0,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,1.1114563109305982,1.0418489717900177,11.686993191719642,1.0418489717900177,2.3373986383439282,1.1114563109305982,1.0418489717900177,weber_fechner
6,0.7429664073064539,0.0,1.0,0.4908202105061888,-1.0129750996938174,-0.9784738201310272,True,0.034501279562790144,logei,0.2999057999695651,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,1.1114563109305982,3.166280382414433,14.853273574134075,1.0418489717900177,2.4755455956890127,1.1114563109305982,1.0418489717900177,weber_fechner
7,0.6359247413997213,0.6631056059330517,1.0,0.6070149074536979,1.393863562093751,1.3433972785112729,True,-0.050466283582478066,logei,0.29815360001521185,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,1.393863562093751,0.7594417206268649,15.61271529476094,0.7594417206268649,2.230387899251563,1.393863562093751,0.7594417206268649,weber_fechner
8,0.27563203213595505,0.669319695939715,0.669578872979467,0.568733775680009,0.6787626310380643,0.7122350256929353,True,0.03347239465487095,logei,0.23312450002413243,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,1.393863562093751,1.4745426516825515,17.087257946443493,0.7594417206268649,2.1359072433054367,1.393863562093751,0.7594417206268649,weber_fechner
9,0.9594656685778952,0.6082942435506099,1.0,0.6115256224353135,1.5792082451249787,1.6440156929574004,True,0.06480744783242165,logei,0.23369510000338778,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,1.5792082451249787,0.5740970375956371,17.661354984039132,0.5740970375956371,1.9623727760043481,1.5792082451249787,0.5740970375956371,weber_fechner
10,1.0,0.5892345034760343,1.0,0.7355981350728042,1.6873752134950502,1.834077902293922,True,0.14670268879887183,logei,0.265170999977272,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,1.6873752134950502,0.4659300692255657,18.127285053264696,0.4659300692255657,1.8127285053264697,1.6873752134950502,0.4659300692255657,weber_fechner
11,1.0,0.5954927179842474,1.0,0.8490065156722725,1.7731481790084302,1.5498569223028047,True,-0.22329125670562555,logei,0.3301581999985501,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,1.7731481790084302,0.3801571037121856,18.507442156976882,0.3801571037121856,1.6824947415433529,1.6873752134950502,0.4659300692255657,weber_fechner
12,1.0,0.9199704154021339,1.0,0.8960381233364002,2.0454101488546668,1.9706336638554154,True,-0.07477648499925138,logei,0.5070858999970369,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,2.0454101488546668,0.10789513386594907,18.61533729084283,0.10789513386594907,1.551278107570236,2.0454101488546668,0.10789513386594907,weber_fechner
13,1.0,1.0,0.12028297075042933,0.9873296346928249,0.9903467818732582,1.4082026126527514,True,0.4178558307794932,logei,0.2164922999800183,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,2.0454101488546668,1.1629585008473575,19.778295791690187,0.10789513386594907,1.5214073685915528,2.0454101488546668,0.10789513386594907,weber_fechner
14,1.0,0.8112924394872431,1.0,0.8246163475197338,1.9289333336005845,1.5868927329178075,True,-0.342040600682777,logei,0.3169282000162639,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,2.0454101488546668,0.22437194912003133,20.002667740810217,0.10789513386594907,1.428761981486444,2.0454101488546668,0.10789513386594907,weber_fechner
15,1.0,1.0,1.0,1.0,2.153305282720616,2.0933940595450857,True,-0.059911223175530104,logei,0.272039599949494,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.0,20.002667740810217,0.0,1.3335111827206811,2.153305282720616,0.0,weber_fechner
16,0.15815991314985403,1.0,1.0,0.9744967925017454,1.1270694262419003,1.1047469210030545,True,-0.022322505238845824,logei,0.2525533000007272,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,1.0262358564787155,21.028903597288934,0.0,1.3143064748305584,2.153305282720616,0.0,weber_fechner
17,0.7875117515064342,0.9866716598253786,0.8244771601524167,0.8080289402346805,1.785784927792893,1.7708148707431919,True,-0.014970057049701113,logei,0.3152225000085309,False,True,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.36752035492772284,21.396423952216658,0.0,1.2586131736598034,2.153305282720616,0.0,weber_fechner
18,0.0,0.49222933911397804,1.0,0.9136894846737302,-0.8960567882192741,-0.9738341509692482,True,-0.07777736274997404,logei,0.28028060001088306,False,False,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,3.04936207093989,24.445786023156547,0.0,1.358099223508697,2.153305282720616,0.0,weber_fechner
19,0.13056865023288067,0.038081860946426516,0.0029663939626703995,0.02848278134595361,-4.980169191968659,-5.089207349589586,True,-0.10903815762092695,logei,0.24044670001603663,False,True,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,7.133474474689274,31.579260497845823,0.0,1.6620663419918855,2.153305282720616,0.0,weber_fechner
20,0.6699450504188664,0.9554364107892555,0.5710242203780931,0.9876200792467156,1.5855094191360153,1.4513139776595507,True,-0.13419544147646456,logei,0.3330005000461824,False,True,11,459eef46-6ca6-493a-874b-27e86f849b09,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.5677958635846005,32.14705636143042,0.0,1.607352818071521,2.153305282720616,0.0,weber_fechner
