dataset,acquisition,seed,error_model,jitter_std,jitter_iteration,variant,budget,k,tolerance,extra,censored,multiplier
ackley,logei,10,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,5.0,False,1.5
ackley,logei,10,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,7.0,False,1.28
ackley,logei,10,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,-2.0,False,0.8
ackley,logei,10,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,30.0,True,2.2
ackley,logei,11,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,8.0,False,1.8
ackley,logei,11,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,-5.0,False,0.8
ackley,logei,11,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,3.0,False,1.3
ackley,logei,11,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,-10.0,False,0.6
ackley,logei,7,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,-2.0,False,0.8
ackley,logei,7,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,29.0,True,2.16
ackley,logei,7,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,14.0,False,2.4
ackley,logei,7,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,29.0,True,2.16
ackley,logei,8,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,0.0,False,1.0
ackley,logei,8,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,6.0,False,1.24
ackley,logei,8,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,0.0,False,1.0
ackley,logei,8,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,7.0,False,1.28
ackley,logei,9,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,3.0,False,1.3
ackley,logei,9,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,-1.0,False,0.96
ackley,logei,9,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,14.0,False,2.4
ackley,logei,9,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,16.0,False,1.64
ackley,qnei,10,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,0.0,False,1.0
ackley,qnei,10,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,0.0,False,1.0
ackley,qnei,11,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,1.0,False,1.1
ackley,qnei,11,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,-2.0,False,0.92
ackley,qnei,11,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,8.0,False,1.8
ackley,qnei,11,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,6.0,False,1.24
ackley,qnei,7,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,9.0,False,1.9
ackley,qnei,7,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,7.0,False,1.28
ackley,qnei,7,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,9.0,False,1.9
ackley,qnei,7,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,25.0,True,2.0
ackley,qnei,8,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,-1.0,False,0.9
ackley,qnei,8,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,-2.0,False,0.92
ackley,qnei,8,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,25.0,False,3.5
ackley,qnei,8,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,19.0,False,1.76
ackley,qnei,9,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,0.0,False,1.0
ackley,qnei,9,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,27.0,False,2.08
ackley,qnei,9,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,0.0,False,1.0
ackley,qnei,9,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,29.0,True,2.16
branin,logei,10,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,0.0,False,1.0
branin,logei,10,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,26.0,True,2.04
branin,logei,10,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,0.0,False,1.0
branin,logei,10,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,26.0,True,2.04
branin,logei,11,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,11.0,False,2.1
branin,logei,11,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,17.0,False,1.68
branin,logei,11,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,22.0,False,3.2
branin,logei,11,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,37.0,True,2.48
branin,logei,7,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,35.0,False,4.5
branin,logei,7,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,35.0,False,2.4
branin,logei,7,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,1.0,False,1.1
branin,logei,7,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,42.0,True,2.68
branin,logei,8,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,-4.0,False,0.6
branin,logei,8,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,-4.0,False,0.84
branin,logei,8,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,14.0,False,2.4
branin,logei,8,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,14.0,False,1.56
branin,logei,9,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,-2.0,False,0.8
branin,logei,9,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,38.0,True,2.52
branin,logei,9,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,1.0,False,1.1
branin,logei,9,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,38.0,True,2.52
branin,qnei,10,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,0.0,False,1.0
branin,qnei,10,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,-1.0,False,0.96
branin,qnei,10,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,0.0,False,1.0
branin,qnei,10,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,32.0,True,2.28
branin,qnei,11,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,-4.0,False,0.6
branin,qnei,11,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,0.0,False,1.0
branin,qnei,11,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,-4.0,False,0.6
branin,qnei,11,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,30.0,False,2.2
branin,qnei,7,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,22.0,False,3.2
branin,qnei,7,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,18.0,False,1.72
branin,qnei,7,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,8.0,False,1.8
branin,qnei,7,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,4.0,False,1.16
branin,qnei,8,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,-3.0,False,0.7
branin,qnei,8,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,-10.0,False,0.6
branin,qnei,8,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,-3.0,False,0.7
branin,qnei,8,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,19.0,False,1.76
branin,qnei,9,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,-1.0,False,0.9
branin,qnei,9,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,-6.0,False,0.76
branin,qnei,9,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,-2.0,False,0.8
branin,qnei,9,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,10.0,False,1.4
eggholder,logei,10,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,0.0,False,1.0
eggholder,logei,10,gaussian,0.25,0,rater-roundrobin5-tau2_raterfit-backfit,50,25,0.01,0.0,False,1.0
eggholder,logei,10,gaussian,1.0,0,rater-roundrobin5-tau2_raterfit-backfit,50,10,0.01,0.0,False,1.0
