model,term,coefficient,ci_low,ci_high,p_bootstrap,bootstrap_reps_used,r_squared,n_cells,n_clusters,p_fdr
primary,const,1.011308156370216,0.3536987500645677,1.4438899379038763,0.007,2000,0.6506012187106007,160,20,
primary,log_noise,0.626777554295649,0.19996749552618642,1.15561752667861,0.0005,2000,0.6506012187106007,160,20,0.00125
primary,dim,-0.1408683452417818,-1.517278020623372,0.4397759812160316,0.923,2000,0.6506012187106007,160,20,0.923
primary,log_opt_z,2.08480152860915,0.31137048384433524,2.752976972968184,0.0005,2000,0.6506012187106007,160,20,0.00125
primary,ruggedness,-0.39528661162772455,-1.1411111104001892,0.6568963916465675,0.64,2000,0.6506012187106007,160,20,0.7999999999999999
primary,log_tail_ratio,0.4937387221583375,-0.06478419561391802,1.30226115275727,0.091,2000,0.6506012187106007,160,20,0.15166666666666667
primary,onset_20,0.10396964814215925,-0.1143655844563391,0.3887316237297363,0.46,2000,0.6506012187106007,160,20,
sensitivity,const,1.011308156370217,0.46062803080271797,1.5164744084365032,0.001,2000,0.7318788883595506,160,20,
sensitivity,log_noise,0.6267775542956512,0.1999674955261863,1.1556175266786084,0.0005,2000,0.7318788883595506,160,20,0.0035
sensitivity,dim,-0.09781803988426027,-0.7341601877996748,0.5442223251075158,0.92,2000,0.7318788883595506,160,20,0.92
sensitivity,log_opt_z,4.0010937943924745,-0.10499541495544723,5.637915968725785,0.067,2000,0.7318788883595506,160,20,0.23450000000000001
sensitivity,ruggedness,-0.2210320644526481,-0.6241693745243126,0.6701050928627332,0.678,2000,0.7318788883595506,160,20,0.92
sensitivity,log_tail_ratio,0.2634801270054826,-0.28240925793658783,0.9624892786448088,0.353,2000,0.7318788883595506,160,20,0.61775
sensitivity,log_sparsity,1.6864909327773168,-0.32000312183170077,2.623700343908727,0.16,2000,0.7318788883595506,160,20,0.37333333333333335
sensitivity,skew,-0.5156458324803297,-2.277153830482822,1.1045964697304667,0.842,2000,0.7318788883595506,160,20,0.92
sensitivity,onset_20,0.10396964814215637,-0.11436558445633911,0.3887316237297297,0.46,2000,0.7318788883595506,160,20,
