error_model,jitter_std,jitter_iteration,acquisition,mean_rank_fragility,mean_fragility,median_fragility,mean_absolute_loss,n_benchmarks
slip,0.01,0,logei,1.45,0.007855161437370872,0.0006857648492939289,0.24956208127311513,20
slip,0.01,0,qnei,1.55,0.0006566349903327703,0.00035759123883751073,0.2585576827387904,20
slip,0.01,20,logei,1.5,0.019378469504732588,0.00066209242267483,0.1487106982513491,20
slip,0.01,20,qnei,1.5,0.005075924489018173,0.00042583723124113625,0.15647851304925445,20
slip,0.05,0,qnei,1.45,0.048894746945333585,0.04024755347484328,0.30679579469379115,20
slip,0.05,0,logei,1.55,0.05311321971078289,0.04229549109257989,0.29482013954652714,20
slip,0.05,20,qnei,1.4,0.02556939040796567,0.001698602170529875,0.176971978968202,20
slip,0.05,20,logei,1.6,0.06928169761680755,0.00748158594012434,0.19861392636342404,20
slip,0.15,0,qnei,1.35,0.12345318236063682,0.08329102377661168,0.3813542301090944,20
slip,0.15,0,logei,1.65,0.1372959883461836,0.13857376056028814,0.37900290818192783,20
slip,0.15,20,logei,1.5,0.111122943709044,0.10468316814253445,0.24045517245566045,20
slip,0.15,20,qnei,1.5,0.10379702738021127,0.03956180665371117,0.2551996159404476,20
slip,0.4,0,qnei,1.4,0.2309541497680883,0.17926318714672151,0.488855197516546,20
slip,0.4,0,logei,1.6,0.2465772198392556,0.20628110778574588,0.4882841396749999,20
slip,0.4,20,qnei,1.425,0.16944516321320088,0.1348692314179749,0.3208477517734372,20
slip,0.4,20,logei,1.575,0.18106515813308943,0.17783133807824753,0.31039738687970597,20
