error_model,jitter_std,jitter_iteration,dataset,acquisition,fragility,absolute_loss,inference_excess,acq_failures,seeds
slip,0.01,0,ackley,logei,-0.08294139107566185,0.5050928002500495,1.0653879286682122,0,5
slip,0.01,0,ackley,qnei,0.007426974004768649,0.5591367553880987,1.6598653651859963,0,5
slip,0.01,0,branin,logei,-3.4810614509835426e-05,0.05682588113970355,0.004575418897677016,0,5
slip,0.01,0,branin,qnei,-0.0011974013628043426,0.053611054850714344,0.00106642581829496,0,5
slip,0.01,0,eggholder,logei,0.0825158887722425,0.3515863187411197,0.1952942962775998,0,5
slip,0.01,0,eggholder,qnei,0.06252987533963461,0.36723092465862195,0.44174588695523004,0,5
slip,0.01,0,griewank,logei,0.019846379478742106,0.17965161817209976,0.004564053363341919,0,5
slip,0.01,0,griewank,qnei,-0.002540707706292606,0.19839340968381353,0.0021953580106479397,0,5
slip,0.01,0,hartmann_3,logei,0.011836678102582104,0.14446387744902847,0.01416470253806262,0,5
slip,0.01,0,hartmann_3,qnei,0.03125583632485633,0.16482467889847405,0.00930572362118222,0,5
slip,0.01,0,hartmann_6,logei,0.03305657857009581,0.24776877330111807,0.23372986630902037,0,5
slip,0.01,0,hartmann_6,qnei,0.03968709528294118,0.2856406572049309,0.0712136021909366,0,5
slip,0.01,0,hicks_law,logei,0.005705496418772676,0.10806366923254729,0.0,0,5
slip,0.01,0,hicks_law,qnei,0.02289366576647489,0.12539983578582678,0.0,0,5
slip,0.01,0,levy_10,logei,-0.024226305148423912,0.2538730276688409,0.07835345186420264,0,5
slip,0.01,0,levy_10,qnei,0.018484405677267335,0.30821577282693946,0.03335239956081601,0,5
slip,0.01,0,michalewicz,logei,-0.0046853758164753624,0.5640054361690122,0.5519317502028025,0,5
slip,0.01,0,michalewicz,qnei,0.013723273510179232,0.6083413400874494,0.6424640838007721,0,5
slip,0.01,0,moving_peaks,logei,-0.014789408040998531,0.31664495058982367,0.030112873374424497,0,5
slip,0.01,0,moving_peaks,qnei,-0.051575403050085324,0.3102680281817083,0.017562561412303355,0,5
slip,0.01,0,powell,logei,0.0013322271456816372,0.04581282409718844,-0.00195600436575048,0,5
slip,0.01,0,powell,qnei,-0.003297166968129183,0.041000365463582926,-0.0002256846047144199,0,5
slip,0.01,0,power_law_practice,logei,-0.007802589159453317,0.07267882729489517,0.0,0,5
slip,0.01,0,power_law_practice,qnei,-0.004657176274944969,0.07403272803331012,0.0,0,5
slip,0.01,0,rastrigin,logei,0.048746857163581105,0.4211918473791947,0.4797892947326822,0,5
slip,0.01,0,rastrigin,qnei,-0.12816660119778547,0.3678198738623497,-0.017692046379746508,0,5
slip,0.01,0,rosenbrock,logei,0.0049311289147176566,0.05604018049658395,0.00031242484181331995,0,5
slip,0.01,0,rosenbrock,qnei,0.00024470190889347676,0.052192811686647814,0.002854429882709,0,5
slip,0.01,0,schwefel,logei,0.0017576355768114892,0.44278557696832593,0.19695617999989548,0,5
slip,0.01,0,schwefel,qnei,0.04983915713155426,0.49594963856405216,0.06621073204215311,0,5
slip,0.01,0,shekel,logei,0.1466142494384632,0.8502830228357331,20.359865935578515,0,5
slip,0.01,0,shekel,qnei,-0.015694691642918524,0.783137844773477,3.676650120182932,0,5
slip,0.01,0,steering_law,logei,3.930255290622055e-05,0.0744520923896029,0.0006638057557908433,0,5
slip,0.01,0,steering_law,qnei,-0.0016339564117869806,0.07253839981917114,0.00014876178698311796,0,5
slip,0.01,0,stevens,logei,-0.0029441747837196794,0.07383583393397845,0.0,0,5
slip,0.01,0,stevens,qnei,0.004542618617989902,0.08087755828044339,0.0,0,5
slip,0.01,0,weber_fechner,logei,-0.0029437405110646513,0.07292834184301134,0.0,0,5
slip,0.01,0,weber_fechner,qnei,0.00047048056878154466,0.07733186159480024,0.0,0,5
slip,0.01,0,yerkes_dodson,logei,-0.0589113982368719,0.15325672551044534,0.04252980667731886,0,5
slip,0.01,0,yerkes_dodson,qnei,-0.02920227971193861,0.14521011513139562,0.006356995808345719,0,5
slip,0.01,20,ackley,logei,-0.07923226503503802,0.314199350224238,1.6316987436669241,0,5
slip,0.01,20,ackley,qnei,0.014679193732353362,0.3579005923554614,0.7672208339301128,0,5
slip,0.01,20,branin,logei,0.004260589471271002,0.006831289724789013,0.0024044334628034597,0,5
slip,0.01,20,branin,qnei,0.0004255488181684616,0.0005840551780611902,0.0008082313151222285,0,5
slip,0.01,20,eggholder,logei,0.02690383667467705,0.16258586016926255,0.09522885253431487,0,5
slip,0.01,20,eggholder,qnei,-0.057853428020465024,0.1357664433663155,-0.047782416929618064,0,5
slip,0.01,20,griewank,logei,0.0004870809412685129,0.007678556852128685,0.005377395828930901,0,5
slip,0.01,20,griewank,qnei,-0.007905321842446593,0.011468560840798005,-0.0105939463712726,0,5
slip,0.01,20,hartmann_3,logei,0.0007145258199705019,0.002750787786193385,0.01009594238227422,0,5
slip,0.01,20,hartmann_3,qnei,0.0009823623111552267,0.0029685153314239544,0.0040562284717912,0,5
slip,0.01,20,hartmann_6,logei,0.012489088453274299,0.0505121821563395,0.00921863299929716,0,5
slip,0.01,20,hartmann_6,qnei,-0.011750718845611312,0.06670264823863228,-0.140825646821132,0,5
slip,0.01,20,hicks_law,logei,0.0,0.0,0.0,0,5
slip,0.01,20,hicks_law,qnei,0.0,0.0,0.0,0,5
slip,0.01,20,levy_10,logei,0.010473087833967273,0.15701178582518122,0.0698159347826994,0,5
slip,0.01,20,levy_10,qnei,-0.02800021510657715,0.15518056893973226,-0.11038174238882581,0,5
slip,0.01,20,michalewicz,logei,0.09648199034790875,0.5199634571883622,1.5260340214676584,0,5
slip,0.01,20,michalewicz,qnei,0.14395146247312177,0.6058977182003908,1.3724317858454878,0,5
slip,0.01,20,moving_peaks,logei,-0.02552380782415705,0.2043234270323513,-0.0053433279803688834,0,5
slip,0.01,20,moving_peaks,qnei,-0.004202640354156931,0.2489809252119599,-0.01991735252595709,0,5
slip,0.01,20,powell,logei,0.0006096590253791582,0.006778177081774241,-0.0008994213183480999,0,5
slip,0.01,20,powell,qnei,0.0007360070044904242,0.006629270819489353,0.0005742609687941,0,5
slip,0.01,20,power_law_practice,logei,0.0,0.0,0.0,0,5
slip,0.01,20,power_law_practice,qnei,0.00028998968245768595,0.00028998968245768595,0.0,0,5
slip,0.01,20,rastrigin,logei,0.04601345065534949,0.29754668598951806,0.3415767905069353,0,5
slip,0.01,20,rastrigin,qnei,0.03057861516722855,0.4258900003162848,0.626176443202413,0,5
slip,0.01,20,rosenbrock,logei,0.001327718481221901,0.004754510885939685,0.0006793196999371202,0,5
slip,0.01,20,rosenbrock,qnei,0.0006494331659578101,0.0046128381045187055,-3.066468266574012e-05,0,5
slip,0.01,20,schwefel,logei,0.14729453501285408,0.46912106912060214,0.681414158259142,0,5
slip,0.01,20,schwefel,qnei,0.022456529729637277,0.3769493822373408,0.16269249339609163,0,5
slip,0.01,20,shekel,logei,0.17069440580137918,0.7333890007614612,15.638978072925989,0,5
slip,0.01,20,shekel,qnei,-0.01290709352236396,0.708501463251413,0.26809309610944965,0,5
slip,0.01,20,steering_law,logei,0.00018174186943648265,0.0002202085541798032,0.00016075679429854197,0,5
slip,0.01,20,steering_law,qnei,0.0004261256443138108,0.0005003221519787506,0.0005072176771795374,0,5
slip,0.01,20,stevens,logei,0.0,0.0,0.0,0,5
slip,0.01,20,stevens,qnei,0.0,0.0,0.0,0,5
slip,0.01,20,weber_fechner,logei,0.0,0.0,0.0,0,5
slip,0.01,20,weber_fechner,qnei,0.0012148018456833165,0.0018495666303568995,0.00143164356802668,0,5
slip,0.01,20,yerkes_dodson,logei,-0.02560624743411083,0.03654761567466081,0.048523620109562036,0,5
slip,0.01,20,yerkes_dodson,qnei,0.00774783789741675,0.01889740012847451,0.00519818184388752,0,5
slip,0.05,0,ackley,logei,0.08426375273836398,0.6722979440640754,7.799945621475862,0,5
slip,0.05,0,ackley,qnei,0.11466048296772464,0.6663702643510547,5.484482194082458,0,5
slip,0.05,0,branin,logei,-0.006819170422350258,0.05004152133186307,0.07829868555414822,0,5
slip,0.05,0,branin,qnei,0.008289408416474898,0.06309786462999357,0.02429538176434548,0,5
slip,0.05,0,eggholder,logei,0.10423696558940083,0.373307395558278,1.6790584828469501,0,5
slip,0.05,0,eggholder,qnei,0.09343606290224911,0.3981371122212365,2.266552385032245,0,5
slip,0.05,0,griewank,logei,0.06601357459686218,0.22581881329021983,0.06326854060161145,0,5
slip,0.05,0,griewank,qnei,0.07148198444545799,0.27241610183556414,0.15676344539788709,0,5
slip,0.05,0,hartmann_3,logei,0.06985943501628297,0.20248663436272932,0.11670912636911694,0,5
slip,0.05,0,hartmann_3,qnei,0.05895519682535766,0.1925240393989754,0.26824532302948995,0,5
slip,0.05,0,hartmann_6,logei,0.12433837809333226,0.3390505728243545,0.6384045240549991,0,5
slip,0.05,0,hartmann_6,qnei,0.07732146058920998,0.3232750225111997,0.6202276975169896,0,5
slip,0.05,0,hicks_law,logei,-0.004285882889687274,0.09807228992408733,0.0,0,5
slip,0.05,0,hicks_law,qnei,0.05741688253773951,0.1599230525570914,0.0,0,5
slip,0.05,0,levy_10,logei,0.00047134214208653934,0.2785706749593514,0.26557222908336,0,5
slip,0.05,0,levy_10,qnei,0.05456819468887518,0.3442995618385473,0.09991606081069634,0,5
slip,0.05,0,michalewicz,logei,0.16668040578372437,0.735371217769212,4.933258823009688,0,5
slip,0.05,0,michalewicz,qnei,0.18528177000579854,0.7798998365830687,3.7383317359627193,0,5
slip,0.05,0,moving_peaks,logei,0.057684234078771504,0.38911859270959365,0.6946629277347502,0,5
slip,0.05,0,moving_peaks,qnei,-0.012066143114086453,0.34977728811770714,0.6713587573698878,0,5
slip,0.05,0,powell,logei,7.494488125367864e-05,0.04455554183276059,0.0036272966445745,0,5
slip,0.05,0,powell,qnei,0.00650817688235394,0.050805709314066104,0.00507553783224852,0,5
slip,0.05,0,power_law_practice,logei,-0.008606291498872144,0.07187512495547636,0.0,0,5
slip,0.05,0,power_law_practice,qnei,0.01565053560879872,0.09434043991705385,0.010926343580809999,0,5
slip,0.05,0,rastrigin,logei,0.06597452524106655,0.4384195154566801,2.0654380136772374,0,5
slip,0.05,0,rastrigin,qnei,-0.017644259805085882,0.4783422152550493,1.3922380684284033,0,5
slip,0.05,0,rosenbrock,logei,0.009122713741660913,0.06023176532352725,0.00516817782041758,0,5
slip,0.05,0,rosenbrock,qnei,0.0037568450553316034,0.05570495483308595,0.00135894272768514,0,5
slip,0.05,0,schwefel,logei,0.1087324982401928,0.5497604396317073,3.3255566910806222,0,5
slip,0.05,0,schwefel,qnei,0.10695791674182002,0.553068398174318,2.1550674465024207,0,5
slip,0.05,0,shekel,logei,0.18748623230141476,0.8911550056986846,26.820356750313913,0,5
slip,0.05,0,shekel,qnei,0.11362277784970612,0.9124553142661016,9.630090613124185,0,5
slip,0.05,0,steering_law,logei,-0.00012360247000058224,0.07428918736669611,0.0013894877399702832,0,5
slip,0.05,0,steering_law,qnei,-0.004057603296725413,0.07011475293423274,0.0008673887781021683,0,5
slip,0.05,0,stevens,logei,0.0028324633519146865,0.07961247206961283,0.0,0,5
slip,0.05,0,stevens,qnei,0.011149649608311355,0.08748458927076484,0.0,0,5
slip,0.05,0,weber_fechner,logei,0.007421127593851599,0.0832932099479276,0.0240697400579244,0,5
slip,0.05,0,weber_fechner,qnei,0.006678687736548899,0.08354006876256762,0.02153451608908828,0,5
slip,0.05,0,yerkes_dodson,logei,0.026906748106388285,0.23907487185370555,0.24167216379489598,0,5
slip,0.05,0,yerkes_dodson,qnei,0.02592691226081138,0.20033930710414563,0.20829923717352417,0,5
slip,0.05,20,ackley,logei,0.08088320833978034,0.47431482359905636,8.071002682578424,0,5
slip,0.05,20,ackley,qnei,0.07140368306182823,0.4146250816849363,3.259621386480583,0,5
slip,0.05,20,branin,logei,0.006079308430537124,0.00865000868405512,0.03766401389663314,0,5
slip,0.05,20,branin,qnei,0.0020367988246685685,0.002195305184561322,0.06317513308339726,0,5
slip,0.05,20,eggholder,logei,0.1878130738838612,0.32349509737844667,1.099294648076988,0,5
slip,0.05,20,eggholder,qnei,0.049018733075724755,0.2426386044625053,0.891907179098806,0,5
slip,0.05,20,griewank,logei,0.008883863449711557,0.016075339360571744,0.03976190382088,0,5
slip,0.05,20,griewank,qnei,0.0107527241270715,0.03012660681031614,0.013511509175289118,0,5
slip,0.05,20,hartmann_3,logei,0.0027287389277833546,0.004765000894006251,0.07307256782840578,0,5
slip,0.05,20,hartmann_3,qnei,0.00471186219293657,0.006698015213205297,0.045216784042315286,0,5
slip,0.05,20,hartmann_6,logei,0.17294255169401326,0.21096564539707846,1.40843801610898,0,5
slip,0.05,20,hartmann_6,qnei,0.029828159797551795,0.1082815268817954,0.4126255811470002,0,5
slip,0.05,20,hicks_law,logei,0.0,0.0,0.0,0,5
slip,0.05,20,hicks_law,qnei,3.2878219128029465e-17,3.2878219128029465e-17,1.7763568394002506e-16,0,5
