dataset,error_model,jitter_std,jitter_iteration,mean,std,count,dz
griewank,slip,0.01,20,-0.01021438292383425,0.016076847767045106,10,-0.6353473685788115
yerkes_dodson,slip,0.01,0,-0.1557591011497101,0.2657390512397074,10,-0.5861355356808625
power_law_practice,slip,0.01,0,-0.010700288937727589,0.01978872598340187,10,-0.5407265200752508
moving_peaks,slip,0.01,0,-0.09813695715330285,0.18572846992495676,10,-0.5283894127429947
weber_fechner,slip,0.15,20,-0.0006834211820613,0.0014890693980213253,10,-0.45895858377684057
rastrigin,slip,0.01,0,-0.1445018048842574,0.4528604593580219,10,-0.3190868222169455
ackley,slip,0.01,0,-0.7590122892608391,2.535309671496777,10,-0.2993765605022676
ackley,slip,0.01,20,-0.6488373522405755,2.4130028011759954,10,-0.2688920841386341
moving_peaks,slip,0.01,20,-0.04395798199728489,0.21039964411382472,10,-0.20892612334222357
